Real trace file: /workspace/prism-exp/exp/workloads/paper-faithful-v4/bursty_r8_s3.pkl
[PRISM_DIRECT] 3372 requests, span 419.5s
Starting TP benchmark: paper-faithful-v4_bursty_rate8_seed3
Generated 3372 requests
Request model_2#0 arrives at 188643.698106162, sleeping for 0.08008198926108889 seconds
Request model_5#0 arrives at 188643.779282905, sleeping for 0.023888574971351773 seconds
Request model_1#0 arrives at 188643.803448846, sleeping for 0.10107044407050125 seconds
Request model_3#0 arrives at 188643.905068004, sleeping for 0.09783230343600735 seconds
Request model_2#1 arrives at 188644.00366344, sleeping for 0.026734511309769005 seconds
Request model_6#0 arrives at 188644.03133278, sleeping for 0.18295124152791686 seconds
Request model_6#1 arrives at 188644.214707601, sleeping for 0.49973651010077447 seconds
Request model_6#2 arrives at 188644.715378358, sleeping for 0.04515395115595311 seconds
Request model_5#1 arrives at 188644.760937642, sleeping for 0.5782058504701126 seconds
Request model_3#1 arrives at 188645.340409458, sleeping for 0.22227413262589835 seconds
Request model_1#1 arrives at 188645.563984693, sleeping for 0.1300266296893824 seconds
Request model_6#3 arrives at 188645.694603271, sleeping for 0.16514847942744382 seconds
Request model_2#2 arrives at 188645.860633175, sleeping for 0.04834941812441684 seconds
Request model_2#3 arrives at 188645.909712239, sleeping for 0.21630819022539072 seconds
Request model_1#2 arrives at 188646.126819012, sleeping for 0.5851764904509764 seconds
Request model_3#2 arrives at 188646.713321149, sleeping for 0.022081568167777732 seconds
Request model_6#4 arrives at 188646.736051345, sleeping for 0.1291202008142136 seconds
Request model_6#5 arrives at 188646.865770639, sleeping for 0.022856923285871744 seconds
Request model_6#6 arrives at 188646.889635523, sleeping for 0.22842652589315549 seconds
Request model_6#7 arrives at 188647.118883038, sleeping for 0.08284569048555568 seconds
Request model_6#8 arrives at 188647.202645703, sleeping for 0.07705672716838308 seconds
Request model_6#9 arrives at 188647.280387063, sleeping for 0.21553595986915752 seconds
Request model_3#3 arrives at 188647.497218447, sleeping for 0.005481590225826949 seconds
Request model_6#10 arrives at 188647.502952871, sleeping for 0.08184078292106278 seconds
Request model_3#4 arrives at 188647.585755751, sleeping for 0.21435536158969626 seconds
Request model_3#5 arrives at 188647.800597896, sleeping for 0.18828380378545262 seconds
Request model_6#11 arrives at 188647.989404703, sleeping for 0.007525498513132334 seconds
Request model_3#6 arrives at 188647.998016599, sleeping for 0.11232143297092989 seconds
Request model_1#3 arrives at 188648.110573825, sleeping for 0.09686537951347418 seconds
Request model_6#12 arrives at 188648.207594017, sleeping for 0.13953664794098586 seconds
Request model_6#13 arrives at 188648.34785661, sleeping for 0.22665520902955905 seconds
Request model_6#14 arrives at 188648.575103595, sleeping for 0.03538630827097222 seconds
Request model_3#7 arrives at 188648.61205461, sleeping for 0.05096790942479856 seconds
Request model_3#8 arrives at 188648.663639578, sleeping for 0.017011063260724768 seconds
Request model_6#15 arrives at 188648.681219048, sleeping for 0 seconds
Request model_3#9 arrives at 188648.681619438, sleeping for 0.005928448314080015 seconds
Request model_3#10 arrives at 188648.68829848, sleeping for 0.026315319002605975 seconds
Request model_6#16 arrives at 188648.71596778, sleeping for 0.05964397746720351 seconds
Request model_3#11 arrives at 188648.776541571, sleeping for 0.198454660421703 seconds
Request model_1#4 arrives at 188648.976328012, sleeping for 0.0758286110649351 seconds
Request model_3#12 arrives at 188649.053239197, sleeping for 0.09683736020815559 seconds
Request model_2#4 arrives at 188649.150980954, sleeping for 0.06530925908009522 seconds
Request model_2#5 arrives at 188649.216656089, sleeping for 0.09868606543750502 seconds
Request model_1#5 arrives at 188649.316273465, sleeping for 0.12419170868815854 seconds
Request model_5#2 arrives at 188649.44107286, sleeping for 0.2605715983081609 seconds
Request model_3#13 arrives at 188649.702727988, sleeping for 0.255571869231062 seconds
Request model_3#14 arrives at 188649.959498201, sleeping for 0.09735897908103652 seconds
Request model_3#15 arrives at 188650.057329524, sleeping for 0.1262074856495019 seconds
Request model_6#17 arrives at 188650.183970054, sleeping for 0.27417435380630195 seconds
Request model_6#18 arrives at 188650.459033959, sleeping for 0.05296978401020169 seconds
Request model_1#6 arrives at 188650.513381275, sleeping for 0.09197883491287939 seconds
Request model_1#7 arrives at 188650.605635384, sleeping for 0.5880162200483028 seconds
Request model_6#19 arrives at 188651.19465122, sleeping for 0.019320122781209648 seconds
Request model_2#6 arrives at 188651.214410101, sleeping for 0.06859562857425772 seconds
Request model_6#20 arrives at 188651.284105551, sleeping for 0.14628966475720517 seconds
Request model_3#16 arrives at 188651.430861982, sleeping for 0.0770294438698329 seconds
Request model_6#21 arrives at 188651.508498027, sleeping for 0.053792086138855666 seconds
Request model_3#17 arrives at 188651.563170444, sleeping for 0.06529809135827236 seconds
Request model_3#18 arrives at 188651.628838256, sleeping for 0.12694564470439218 seconds
Request model_1#8 arrives at 188651.756500897, sleeping for 0.0704164482303895 seconds
Request model_3#19 arrives at 188651.827121668, sleeping for 0.055568741488968953 seconds
Request model_3#20 arrives at 188651.882968938, sleeping for 0.10332361297332682 seconds
Request model_6#22 arrives at 188651.986923505, sleeping for 0.04250356418197043 seconds
Request model_3#21 arrives at 188652.030515832, sleeping for 0.04361413331935182 seconds
Request model_3#22 arrives at 188652.075139726, sleeping for 0.019077310600550845 seconds
Request model_1#9 arrives at 188652.094887186, sleeping for 0.05160540094948374 seconds
Request model_5#3 arrives at 188652.148550387, sleeping for 0.11450873958528973 seconds
Request model_3#23 arrives at 188652.26421571, sleeping for 0.007788855378748849 seconds
Request model_6#23 arrives at 188652.273012739, sleeping for 0.24776066371123306 seconds
Request model_6#24 arrives at 188652.521760276, sleeping for 0.29703469946980476 seconds
Request model_3#24 arrives at 188652.819414989, sleeping for 0.18130733145517297 seconds
Request model_6#25 arrives at 188653.001465761, sleeping for 0.17950138010201044 seconds
Request model_6#26 arrives at 188653.182040494, sleeping for 0.2608120930381119 seconds
Request model_1#10 arrives at 188653.443550913, sleeping for 0.08826068040798418 seconds
Request model_6#27 arrives at 188653.53237605, sleeping for 0.028742635768139735 seconds
Request model_1#11 arrives at 188653.562038706, sleeping for 0.09982186742126942 seconds
Request model_1#12 arrives at 188653.662784649, sleeping for 0.10704720686771907 seconds
Request model_6#28 arrives at 188653.77059723, sleeping for 0.0850663016026374 seconds
Request model_3#25 arrives at 188653.856051484, sleeping for 0.008321438654093072 seconds
Request model_6#29 arrives at 188653.864755841, sleeping for 0.013925056264270097 seconds
Request model_3#26 arrives at 188653.879393872, sleeping for 0.21421457032556646 seconds
Request model_6#30 arrives at 188654.094198116, sleeping for 0.10533283511176705 seconds
Request model_6#31 arrives at 188654.200482622, sleeping for 0.15473183058202267 seconds
Request model_3#27 arrives at 188654.356264794, sleeping for 0.061151614296250045 seconds
Request model_3#28 arrives at 188654.417837373, sleeping for 0.22559493899461813 seconds
Request model_3#29 arrives at 188654.645320975, sleeping for 0.3439939734817017 seconds
Request model_3#30 arrives at 188654.990634404, sleeping for 0.15874971248558722 seconds
Request model_3#31 arrives at 188655.151370519, sleeping for 0.306573236361146 seconds
Request model_3#32 arrives at 188655.458989729, sleeping for 0.010215026733931154 seconds
Request model_2#7 arrives at 188655.469591515, sleeping for 0.12093636876670644 seconds
Request model_6#32 arrives at 188655.591373631, sleeping for 0.03773748761159368 seconds
Request model_3#33 arrives at 188655.629818168, sleeping for 0.04490133296349086 seconds
Request model_1#13 arrives at 188655.675297895, sleeping for 0.02983964470331557 seconds
Request model_2#8 arrives at 188655.705750562, sleeping for 0.009239965787855908 seconds
Request model_3#34 arrives at 188655.716907315, sleeping for 0.147042989206966 seconds
Request model_1#14 arrives at 188655.864915871, sleeping for 0.16865785061963834 seconds
Request model_1#15 arrives at 188656.035233996, sleeping for 0.37111696804640815 seconds
Request model_1#16 arrives at 188656.406801328, sleeping for 0.0894628023088444 seconds
Request model_3#35 arrives at 188656.496555884, sleeping for 0.12021280155749992 seconds
Request model_1#17 arrives at 188656.617503376, sleeping for 0.007213290606159717 seconds
Request model_6#33 arrives at 188656.625136201, sleeping for 0.06558320712065324 seconds
Request model_3#36 arrives at 188656.691793944, sleeping for 0.09193083373247646 seconds
Request model_3#37 arrives at 188656.784502943, sleeping for 0.7479029743408319 seconds
Request model_3#38 arrives at 188657.533632503, sleeping for 0.04190163794555701 seconds
Request model_1#18 arrives at 188657.576270104, sleeping for 0.3778052026464138 seconds
Request model_3#39 arrives at 188657.954878967, sleeping for 0.00256917136721313 seconds
Request model_3#40 arrives at 188657.95850901, sleeping for 0.4190368531853892 seconds
Request model_3#41 arrives at 188658.378755746, sleeping for 0.057800635520834476 seconds
Request model_6#34 arrives at 188658.437367128, sleeping for 0.036779419548111036 seconds
Request model_1#19 arrives at 188658.474939131, sleeping for 0.001069211633875966 seconds
Request model_6#35 arrives at 188658.476500608, sleeping for 0.018475452321581542 seconds
Request model_3#42 arrives at 188658.496028352, sleeping for 0.02639570998144336 seconds
Request model_1#20 arrives at 188658.523595843, sleeping for 0.08332361956126988 seconds
Request model_1#21 arrives at 188658.607481305, sleeping for 0.19242244694032706 seconds
Request model_1#22 arrives at 188658.800164751, sleeping for 0.18633006999152713 seconds
Request model_6#36 arrives at 188658.987089337, sleeping for 0.03331297330441885 seconds
Request model_6#37 arrives at 188659.0213685, sleeping for 0.0034917529847007245 seconds
Request model_1#23 arrives at 188659.024983586, sleeping for 0.008953769429353997 seconds
Request model_6#38 arrives at 188659.03558438, sleeping for 0.18395811194204725 seconds
Request model_3#43 arrives at 188659.220265917, sleeping for 0.0706379278562963 seconds
Request model_3#44 arrives at 188659.292926691, sleeping for 0.03015836435952224 seconds
