request_id,model,gpu_id,alg2_seq,dispatch_ts,backend_admit_ts,prefill_start_ts,prefill_complete_ts,order_ok
35926a096b904edea36f392d75401658,model_1,0,1,1787384355.2691984,1787384355.2754042,1787384355.3152313,1787384356.0145483,True
928af8f8623f4bd89bc836e3c0be1127,model_4,0,2,1787384355.2704298,1787384355.3199906,1787384355.3693302,1787384356.0469978,True
dd7ad36ef34142e4896b642537b50146,model_5,0,3,1787384355.27138,1787384355.3734474,1787384355.4112308,1787384356.031447,True
A,model_1,0,4,1787384358.0470874,1787384358.0510004,1787384358.0525951,1787384358.0951953,True
B,model_4,0,5,1787384358.0475383,1787384358.0571072,1787384358.0616407,1787384358.1146617,True
C,model_1,0,6,1787384358.0478163,1787384358.0978186,1787384358.0990345,1787384358.110928,True
15e1ead67ae149cfb19f8ba7f973d29b,model_6,1,1,1787384355.2685058,1787384355.2720068,1787384355.308293,1787384355.9504435,True
5bbfd3f83fd54b95bf4f03eacaf0001c,model_2,1,2,1787384355.2690516,1787384355.311882,1787384355.3484366,1787384356.0223424,True
83e487db46c44811810e7d01b7d56e26,model_3,1,3,1787384355.2694428,1787384355.3501,1787384355.384504,1787384356.057716,True
