migration_id,model,source_gpu,target_gpu,migration_decision,target_prepare_start,target_prepare_end,target_ready,source_quiesce_request,source_quiesce_begin,request_drain_start,request_drain_end,kv_stash_start,kv_stash_end,weight_transfer_start,weight_transfer_end,kv_transfer_start,kv_transfer_end,target_inject_start,target_inject_end,routing_switch_start,routing_switch_end,source_release,first_request_on_target,first_decode_on_target,target_prepare_s,target_ready_to_quiesce_s,quiesce_control_s,request_drain_s,kv_stash_s,weight_transfer_s,kv_transfer_s,target_inject_total_s,kv_inject_s,routing_switch_s,routing_to_first_request_s,first_request_to_first_decode_s,exposed_downtime_s,total_migration_wall_s
1,model_6,1,0,1787385715.6971912,1787385715.6994972,1787385718.8732274,1787385718.8690846,1787385718.873839,1787385718.8951852,1787385718.8954425,1787385719.9589124,1787385719.9592874,1787385721.1338406,1787385715.8953576,1787385718.097935,1787385724.4610121,1787385730.212841,1787385722.6024973,1787385730.3826764,1787385730.3862548,1787385730.3862643,1787385722.5942771,1787385730.442872,1787385732.5168915,3.1695873737335205,0.026100635528564453,0.021346330642700195,1.0634698867797852,1.1745531558990479,2.2025773525238037,5.751828908920288,7.780179023742676,2.0283501148223877,9.5367431640625e-06,0.056607723236083984,2.074019432067871,11.54768681526184,16.819700241088867
2,model_4,0,1,1787385746.2231317,1787385746.2276037,1787385747.7456071,1787385747.7427685,1787385747.7462034,1787385747.8544066,1787385747.8545525,1787385749.3076353,1787385749.3079383,1787385752.2159674,1787385746.544562,1787385746.9673362,1787385758.4575474,1787385765.8046105,1787385753.6831145,1787385766.1247244,1787385766.1288676,1787385766.128884,1787385753.6735957,1787385767.1402583,1787385778.3680658,1.515164852142334,0.11163806915283203,0.10820317268371582,1.453082799911499,2.908029079437256,0.422774076461792,7.347063064575195,12.441609859466553,5.094546794891357,1.6450881958007812e-05,1.0113742351531982,11.227807521820068,19.28585171699524,32.14493417739868
3,model_1,0,1,1787385776.3200698,1787385776.3214395,1787385777.967411,1787385777.9644017,1787385777.9682934,1787385777.976457,1787385777.976688,1787385778.2058904,1787385778.2060912,1787385779.7572582,1787385776.4374704,1787385776.633833,1787385783.6813464,1787385796.7195697,1787385781.0156865,1787385797.0073078,1787385797.0103588,1787385797.0103683,1787385781.0058455,1787385797.0457795,1787385801.2901988,1.6429622173309326,0.012055397033691406,0.008163690567016602,0.2292025089263916,1.5511670112609863,0.19636249542236328,13.038223266601562,15.991621255874634,2.9533979892730713,9.5367431640625e-06,0.03541111946105957,4.24441933631897,19.06932234764099,24.970129013061523
4,model_4,1,0,1787385827.7973135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
