Real trace file: /workspace/prism-exp/exp/workloads/paper-faithful-v4/steady_r8_s3.pkl
[PRISM_DIRECT] 3372 requests, span 419.6s
Starting TP benchmark: paper-faithful-v4_steady_rate8_seed3
Generated 3372 requests
Request model_4#7 arrives at 123681.429064766, sleeping for 0.2976471839356236 seconds
Request model_5#17 arrives at 123681.727539004, sleeping for 0 seconds
Request model_5#18 arrives at 123681.728021595, sleeping for 0.11338494438678026 seconds
Request model_4#8 arrives at 123681.842529298, sleeping for 0.006885807495564222 seconds
Request model_1#8 arrives at 123681.850270771, sleeping for 0.022374792650225572 seconds
Request model_6#32 arrives at 123681.873031387, sleeping for 0.09059055772377178 seconds
Request model_4#9 arrives at 123681.964061473, sleeping for 0.03436934885394294 seconds
Request model_3#9 arrives at 123681.999434349, sleeping for 0.014305568547570147 seconds
Request model_6#33 arrives at 123682.014173903, sleeping for 0.13437036484538112 seconds
Request model_4#10 arrives at 123682.14998245, sleeping for 0.02770257371594198 seconds
Request model_2#6 arrives at 123682.177994735, sleeping for 0.028764136601239443 seconds
Request model_5#19 arrives at 123682.207751863, sleeping for 0.13309952737472486 seconds
Request model_4#11 arrives at 123682.341599067, sleeping for 0.26851579661888536 seconds
Request model_6#34 arrives at 123682.610444018, sleeping for 0.08581192477140576 seconds
Request model_4#12 arrives at 123682.697051356, sleeping for 0.0011588214401854202 seconds
Request model_3#10 arrives at 123682.698757259, sleeping for 0.18756242650852073 seconds
Request model_5#20 arrives at 123682.887540361, sleeping for 0.07947902190790046 seconds
Request model_4#13 arrives at 123682.967765399, sleeping for 0.04766413562174421 seconds
Request model_1#9 arrives at 123683.015866596, sleeping for 0.01745303902134765 seconds
Request model_2#7 arrives at 123683.033701285, sleeping for 0.19389992799551692 seconds
Request model_2#8 arrives at 123683.228605817, sleeping for 0.10995542637829203 seconds
Request model_4#14 arrives at 123683.339732795, sleeping for 0.0202868755441159 seconds
Request model_6#35 arrives at 123683.360496448, sleeping for 0.00620172631170135 seconds
Request model_4#15 arrives at 123683.367037838, sleeping for 0.22149850697314832 seconds
Request model_3#11 arrives at 123683.589681845, sleeping for 0.09145282028475776 seconds
Request model_2#9 arrives at 123683.683108024, sleeping for 0.0028617319621844217 seconds
Request model_6#36 arrives at 123683.686381599, sleeping for 0.5594288358843187 seconds
Request model_6#37 arrives at 123684.246121515, sleeping for 0.18520087921933737 seconds
Request model_6#38 arrives at 123684.432627024, sleeping for 0.15397290006512776 seconds
Request model_6#39 arrives at 123684.587433321, sleeping for 0.005707067015464418 seconds
Request model_3#12 arrives at 123684.593770161, sleeping for 0.013598804580396973 seconds
Request model_4#16 arrives at 123684.609053836, sleeping for 0.015239936503348872 seconds
Request model_6#40 arrives at 123684.625215142, sleeping for 0.026991675287717953 seconds
Request model_4#17 arrives at 123684.653394377, sleeping for 0.5239836943510454 seconds
Request model_6#41 arrives at 123685.178578667, sleeping for 0.01595623001048807 seconds
Request model_5#21 arrives at 123685.195388644, sleeping for 0.43493416492128745 seconds
Request model_6#42 arrives at 123685.631139451, sleeping for 0.22019024517794605 seconds
Request model_5#22 arrives at 123685.851889464, sleeping for 0.05579777422826737 seconds
Request model_4#18 arrives at 123685.908112194, sleeping for 0.09087350446498021 seconds
Request model_1#10 arrives at 123686.000054141, sleeping for 0.1030087879189523 seconds
Request model_6#43 arrives at 123686.104873988, sleeping for 0.1176371989567997 seconds
Request model_2#10 arrives at 123686.222786327, sleeping for 0.04792184388497844 seconds
Request model_6#44 arrives at 123686.271640925, sleeping for 0.03004265666822903 seconds
Request model_6#45 arrives at 123686.302386914, sleeping for 0.022696025378536433 seconds
Request model_4#19 arrives at 123686.326145672, sleeping for 0.29458979798073415 seconds
Request model_3#13 arrives at 123686.621063694, sleeping for 0.0015528139629168436 seconds
Request model_6#46 arrives at 123686.623698398, sleeping for 0.019675546427606605 seconds
Request model_4#20 arrives at 123686.644328221, sleeping for 0.08064147029654123 seconds
Request model_5#23 arrives at 123686.725832162, sleeping for 0.010434613941470161 seconds
Request model_2#11 arrives at 123686.737026899, sleeping for 0.1600660859257914 seconds
Request model_6#47 arrives at 123686.898757398, sleeping for 0.01127650983107742 seconds
Request model_4#21 arrives at 123686.910940658, sleeping for 0.09822590748080984 seconds
Request model_3#14 arrives at 123687.010326917, sleeping for 0.005121106602018699 seconds
Request model_4#22 arrives at 123687.015678705, sleeping for 0.02903379953932017 seconds
Request model_4#23 arrives at 123687.045179602, sleeping for 0.07600571699731518 seconds
Request model_3#15 arrives at 123687.121588465, sleeping for 0.019228576711611822 seconds
Request model_3#16 arrives at 123687.141980067, sleeping for 0.012743769068038091 seconds
Request model_5#24 arrives at 123687.155356788, sleeping for 0.18609091971302405 seconds
Request model_6#48 arrives at 123687.342407868, sleeping for 0.17898926681664307 seconds
Request model_4#24 arrives at 123687.522059055, sleeping for 0.11679527290107217 seconds
Request model_3#17 arrives at 123687.639905523, sleeping for 0.2332554848107975 seconds
Request model_5#25 arrives at 123687.874668299, sleeping for 0.030990511484560557 seconds
Request model_4#25 arrives at 123687.906110559, sleeping for 0.02221465387265198 seconds
Request model_4#26 arrives at 123687.929417846, sleeping for 0.20611214550444856 seconds
Request model_1#11 arrives at 123688.136608397, sleeping for 0.06367923739890102 seconds
Request model_5#26 arrives at 123688.20051586, sleeping for 0.04474769762600772 seconds
Request model_4#27 arrives at 123688.245603642, sleeping for 0.6682656471675728 seconds
Request model_2#12 arrives at 123688.914614391, sleeping for 0.089324947737623 seconds
Request model_3#18 arrives at 123689.005101026, sleeping for 0.054334758810000494 seconds
Request model_3#19 arrives at 123689.059673893, sleeping for 0.03267546104325447 seconds
Request model_2#13 arrives at 123689.093049246, sleeping for 0.3338167079782579 seconds
Request model_4#28 arrives at 123689.428064202, sleeping for 0.18150557688204572 seconds
Request model_3#20 arrives at 123689.610549013, sleeping for 0.38926804800576065 seconds
Request model_1#12 arrives at 123690.000153686, sleeping for 0.27134217877755873 seconds
Request model_3#21 arrives at 123690.272584281, sleeping for 0.2864034308004193 seconds
Request model_4#29 arrives at 123690.55987058, sleeping for 0.08485051736352034 seconds
Request model_6#49 arrives at 123690.645173537, sleeping for 0.11206882991245948 seconds
Request model_5#27 arrives at 123690.758322828, sleeping for 0.09033872402505949 seconds
Request model_5#28 arrives at 123690.849064693, sleeping for 0.25146959294215776 seconds
Request model_3#22 arrives at 123691.101128345, sleeping for 0.1175551168853417 seconds
Request model_2#14 arrives at 123691.219541684, sleeping for 0.16778936349146534 seconds
Request model_4#30 arrives at 123691.388550604, sleeping for 0.19250552471203264 seconds
Request model_6#50 arrives at 123691.582285884, sleeping for 0.11424919274577405 seconds
Request model_4#31 arrives at 123691.697630828, sleeping for 0.0652458318072604 seconds
Request model_4#32 arrives at 123691.763957664, sleeping for 0.06677070197474677 seconds
Request model_1#13 arrives at 123691.831440802, sleeping for 0.027865050942637026 seconds
Request model_3#23 arrives at 123691.859749417, sleeping for 0.014962888628360815 seconds
Request model_1#14 arrives at 123691.875031392, sleeping for 0.07561448164051399 seconds
Request model_3#24 arrives at 123691.951561764, sleeping for 0.040741697914199904 seconds
Request model_5#29 arrives at 123691.99294325, sleeping for 0.07390895462594926 seconds
Request model_5#30 arrives at 123692.068680791, sleeping for 0.0013811264070682228 seconds
Request model_5#31 arrives at 123692.070917375, sleeping for 0.10568525076087099 seconds
Request model_6#51 arrives at 123692.177217064, sleeping for 0.09686377477191854 seconds
Request model_3#25 arrives at 123692.27488979, sleeping for 0.14493153669172898 seconds
Request model_5#32 arrives at 123692.421788135, sleeping for 0.004625019850209355 seconds
Request model_4#33 arrives at 123692.427092333, sleeping for 0.01532070359098725 seconds
Request model_5#33 arrives at 123692.443370769, sleeping for 0.09760143861058168 seconds
Request model_4#34 arrives at 123692.541398626, sleeping for 0.08063671097625047 seconds
Request model_6#52 arrives at 123692.622760316, sleeping for 0.013093540008412674 seconds
Request model_6#53 arrives at 123692.63799603, sleeping for 0.18192156172881369 seconds
Request model_2#15 arrives at 123692.820381792, sleeping for 0.029568651152658276 seconds
Request model_6#54 arrives at 123692.85065819, sleeping for 0.16965931275626644 seconds
Request model_4#35 arrives at 123693.021063432, sleeping for 0.20396788817015477 seconds
Request model_6#55 arrives at 123693.225550669, sleeping for 0.0885416046512546 seconds
Request model_6#56 arrives at 123693.314972351, sleeping for 0.06665830053680111 seconds
Request model_6#57 arrives at 123693.382409289, sleeping for 0.14286914536205586 seconds
Request model_5#34 arrives at 123693.526474349, sleeping for 0.5616930397809483 seconds
Request model_2#16 arrives at 123694.09027216, sleeping for 0.5113506507332204 seconds
Request model_3#26 arrives at 123694.602778098, sleeping for 0.0009862655570032075 seconds
Request model_3#27 arrives at 123694.60392168, sleeping for 0.12143557332456112 seconds
Request model_5#35 arrives at 123694.726157715, sleeping for 0.43011167165241204 seconds
Request model_5#36 arrives at 123695.156611642, sleeping for 0.2988596003560815 seconds
Request model_5#37 arrives at 123695.45582881, sleeping for 0.036411848064744845 seconds
Request model_4#36 arrives at 123695.494118921, sleeping for 0.058895998663501814 seconds
Request model_5#38 arrives at 123695.553392365, sleeping for 0.011365537749952637 seconds
Request model_6#58 arrives at 123695.565677805, sleeping for 0.27236425182491075 seconds
Request model_6#59 arrives at 123695.838892601, sleeping for 0.0588559931202326 seconds
Request model_2#17 arrives at 123695.898265496, sleeping for 0.15051508106989786 seconds
Request model_6#60 arrives at 123696.049727837, sleeping for 0.14150476787472144 seconds
Request model_6#61 arrives at 123696.192235445, sleeping for 0.23534793978615198 seconds
Request model_5#39 arrives at 123696.428721562, sleeping for 0.27315268640813883 seconds
Request model_5#40 arrives at 123696.70316158, sleeping for 0.057803479343419895 seconds
Request model_6#62 arrives at 123696.761361063, sleeping for 0.05783044577401597 seconds
Request model_6#63 arrives at 123696.819727056, sleeping for 0.2152893995080376 seconds
Request model_1#15 arrives at 123697.036114932, sleeping for 0.03546727188222576 seconds
Request model_1#16 arrives at 123697.07248741, sleeping for 0.04229751173988916 seconds
Request model_4#37 arrives at 123697.115842379, sleeping for 0.0639021151146153 seconds
Request model_5#41 arrives at 123697.180381022, sleeping for 0.43344582193822134 seconds
Request model_1#17 arrives at 123697.615179686, sleeping for 0.14440428190573584 seconds
Request model_5#42 arrives at 123697.760753388, sleeping for 0.005969048099359497 seconds
Request model_3#28 arrives at 123697.766977168, sleeping for 0.22577067418023944 seconds
Request model_2#18 arrives at 123697.993335619, sleeping for 0.1526018078875495 seconds
Request model_5#43 arrives at 123698.146415143, sleeping for 0.013830485826474614 seconds
Request model_6#64 arrives at 123698.161670878, sleeping for 0.05010747260530479 seconds
Request model_2#19 arrives at 123698.212950179, sleeping for 0.03691775804327335 seconds
Request model_6#65 arrives at 123698.251290051, sleeping for 0.04237263149116188 seconds
Request model_3#29 arrives at 123698.29458432, sleeping for 0.003967081938753836 seconds
Request model_3#30 arrives at 123698.299165207, sleeping for 0.09047958052542526 seconds
Request model_5#44 arrives at 123698.390499923, sleeping for 0.042230648701661266 seconds
Request model_4#38 arrives at 123698.433885612, sleeping for 0.1922353865520563 seconds
Request model_3#31 arrives at 123698.626359529, sleeping for 0.026681054776418023 seconds
Request model_4#39 arrives at 123698.654626934, sleeping for 0 seconds
Request model_1#18 arrives at 123698.655311065, sleeping for 0.009546446468448266 seconds
Request model_6#66 arrives at 123698.665350761, sleeping for 0.07571510325942654 seconds
Request model_2#20 arrives at 123698.741581643, sleeping for 0.0823351251456188 seconds
Request model_5#45 arrives at 123698.824792155, sleeping for 0.2057988758169813 seconds
Request model_5#46 arrives at 123699.031548355, sleeping for 0.11108488285390195 seconds
Request model_5#47 arrives at 123699.143873724, sleeping for 0.0848673547297949 seconds
Request model_5#48 arrives at 123699.229465121, sleeping for 0.025539271184243262 seconds
Request model_1#19 arrives at 123699.255719083, sleeping for 0.01617364263802301 seconds
Request model_6#67 arrives at 123699.2730323, sleeping for 0.27526236296398565 seconds
Request model_6#68 arrives at 123699.549101271, sleeping for 0.08196726156165823 seconds
Request model_6#69 arrives at 123699.631972363, sleeping for 0.4287536835181527 seconds
Request model_1#20 arrives at 123700.061924748, sleeping for 0.10402239447284956 seconds
Request model_6#70 arrives at 123700.166787526, sleeping for 0.10164314571011346 seconds
Request model_3#32 arrives at 123700.269146879, sleeping for 0.15959358619875275 seconds
Request model_6#71 arrives at 123700.429591515, sleeping for 0.23886596244119573 seconds
Request model_6#72 arrives at 123700.669478587, sleeping for 0.12603698075690772 seconds
Request model_6#73 arrives at 123700.795955709, sleeping for 0.06161247739510145 seconds
Request model_1#21 arrives at 123700.858321838, sleeping for 0.06318025795917492 seconds
Request model_3#33 arrives at 123700.922630641, sleeping for 0.010809457511641085 seconds
Request model_5#49 arrives at 123700.933983929, sleeping for 0.021882318847929128 seconds
Request model_6#74 arrives at 123700.956331745, sleeping for 0.14792907221999485 seconds
Request model_2#21 arrives at 123701.104609961, sleeping for 0.17841147634317167 seconds
Request model_2#22 arrives at 123701.284145307, sleeping for 0.35697082174010575 seconds
Request model_6#75 arrives at 123701.642365528, sleeping for 0.04745982805616222 seconds
Request model_4#40 arrives at 123701.690723145, sleeping for 0.31510913631063886 seconds
Request model_4#41 arrives at 123702.006843419, sleeping for 0.06336235589697026 seconds
Request model_5#50 arrives at 123702.071196412, sleeping for 0.2831131185957929 seconds
Request model_3#34 arrives at 123702.354994394, sleeping for 0.08286439299990889 seconds
Request model_3#35 arrives at 123702.438244457, sleeping for 0.01717388187535107 seconds
Request model_4#42 arrives at 123702.456595586, sleeping for 0.042988443878130056 seconds
Request model_6#76 arrives at 123702.499846905, sleeping for 0.12838775459385943 seconds
Request model_6#77 arrives at 123702.628933441, sleeping for 0.2881024193193298 seconds
Request model_4#43 arrives at 123702.917695131, sleeping for 0.34254175920796115 seconds
Request model_6#78 arrives at 123703.260656028, sleeping for 0.11647154635284096 seconds
Request model_6#79 arrives at 123703.378146205, sleeping for 0.3094097148568835 seconds
Request model_3#36 arrives at 123703.687895069, sleeping for 0.15112569696793798 seconds
Request model_6#80 arrives at 123703.8396154, sleeping for 0.06115099439921323 seconds
Request model_6#81 arrives at 123703.90196301, sleeping for 0.0057274416903965175 seconds
Request model_4#44 arrives at 123703.90845504, sleeping for 0.0796372181357583 seconds
