implementation,workload,request_rate,seed,ttft_mean,ttft_p50,ttft_p95,ttft_p99,ttft_max,tpot_mean,tpot_p50,tpot_p95,tpot_p99,tpot_max,e2e_mean,e2e_p50,e2e_p95,e2e_p99,e2e_max
released-prototype,bursty,2,1,204.06745267256596,93.36495399475098,290.45627117156965,3839.4999790191655,7191.615104675293,34.74579878208442,35.9121377651508,50.237747740702346,63.28164570861393,85.8195573091507,6100.543221051432,4254.972588969395,16772.25288741756,19217.67606680282,21098.957224050537
released-prototype,bursty,2,2,391.920604095327,97.27346897125244,1952.5754928588756,6234.043283462525,7887.331962585449,35.5420082144492,32.985979691147804,61.80766597390175,79.54018324613574,97.48494625091553,5654.663369017267,3741.0325290402398,15706.541429471687,20391.510479189456,24300.237216986716
released-prototype,bursty,2,3,175.37313986378126,91.75801277160645,251.5188455581665,2637.0731401443522,6326.010942459106,32.308656790993986,32.19208934090354,48.96364659070966,68.28027195221675,158.39888431407786,5743.22650189686,4459.047400858253,14678.82846323773,16664.350947462957,21080.634022131562
released-prototype,bursty,4,1,141.64770382187297,97.21100330352783,254.32016849517822,1761.6918754577744,4595.222949981689,39.74535918588673,41.085156275697145,58.3546168696718,68.12333628535272,95.22902965545654,6961.589563750907,4729.445755016059,18363.642784650434,21190.330662031196,23297.928145853803
released-prototype,bursty,4,2,254.73569056886802,97.12588787078857,294.2739725112892,5282.9474663734445,7574.760437011719,39.13851211832706,38.21610296677039,66.46011397573682,79.56571317933229,124.76041442469547,6311.176070955798,4294.321217574179,17150.85109990322,21483.408906161792,28114.4626007881
released-prototype,bursty,4,3,202.45184348950977,99.19309616088867,363.6698722839349,3996.724042892447,6275.825500488281,39.44146322300077,37.164590080377415,66.73275042237435,94.75555446300096,325.6916254758835,7086.251533060563,5751.482410822064,18016.784713836372,21936.971554467385,27077.634213957936
released-prototype,bursty,8,1,179.01211393808646,116.43528938293457,468.6336278915405,1146.0882115364027,5511.989116668701,61.768185029767814,55.2187685422591,116.24759283310199,161.60201273420265,219.6979820728302,10029.963780395014,7030.889310524799,30150.41566295549,36166.04362334357,45408.544794190675
released-prototype,bursty,8,2,317.4224334510554,114.5174503326416,1105.288803577423,5497.673487663272,7262.129783630371,54.85555977100302,50.42460420187197,101.08798470708632,161.07961734135958,291.87536239624023,9086.178680177316,6306.806359440088,26800.73579523014,36884.33108457832,48197.59769109078
released-prototype,bursty,8,3,144.90755376352394,67.0769214630127,261.12041473388655,2691.578512191771,5705.525875091553,35.861914407199954,28.245210647583008,77.14282038964723,103.49680511574994,170.95956206321716,5764.196738217307,3926.2340790592134,18336.524956393983,25307.13680094108,30801.458795089275
released-prototype,bursty,14,1,245.34858539140313,131.10041618347168,744.0221309661865,3186.2090349197338,6040.183067321777,101.06280557929554,71.02200312834304,231.72066808074925,475.138279325079,1221.832349896431,14559.190106170936,8907.486513489857,49726.23965796083,67857.25691239348,77442.14618578553
released-prototype,bursty,14,2,368.21125630520464,126.8153190612793,1420.1525568962093,5817.930433750162,7742.996454238892,79.46226162881229,58.39446892863826,194.50554964797826,313.4724807739258,443.81795823574066,12126.297831818454,7543.6113375471905,40860.45200198417,59751.078728221,77412.97221602872
released-prototype,bursty,14,3,542.5344749962127,150.69973468780518,3239.1054511070247,4913.081328868844,7332.051515579224,151.39717622462712,80.55579914527476,526.0492309771084,1368.216970268335,2178.0980825424194,17384.48239270221,12823.88456305489,55280.55931458948,74661.05756785488,84471.31023509428
released-prototype,bursty,20,1,415.1053618014725,181.4206838607788,1603.2401323318481,2722.4215269088745,8776.293277740479,200.1622622742846,128.6798559203105,624.9474063515663,1290.6803499375048,2168.1133657693863,24041.480990540025,15308.28864860814,76671.66869109496,91804.00477994696,103896.41156489961
released-prototype,bursty,20,2,574.5693409155724,156.45217895507812,2565.5393600463867,7259.898948669429,9450.355291366577,176.18454796733891,88.42247520280404,595.2711385685005,1495.2223756578187,2979.043483734131,20018.3200444766,11887.587615987286,67428.97495655341,92563.84301572102,104831.02214499377
released-prototype,bursty,20,3,1192.4834867257055,172.90127277374268,6602.31614112854,7591.485679149628,8723.533630371094,154.69173709008882,99.0316776941854,373.1260147174429,1306.406170129776,2238.021492958069,19628.82316138145,14004.889655974694,60763.58319155406,74627.22200830467,86869.87228295766
released-prototype,steady,4,1,116.56455296316958,104.3705940246582,219.6377396583557,309.0660953521727,691.5898323059082,43.14807916967201,42.364549143670715,58.660158477455575,67.5332724443239,102.26863973280963,7373.420238031114,5358.896515448578,19055.37460307823,21971.118920354635,23090.288229985163
released-prototype,steady,4,2,119.11825639258628,107.48445987701416,225.59781074523917,342.61090517044016,852.4839878082275,43.49048323774019,43.15450632323821,58.781752735376344,69.70173991152218,108.3964854478836,7331.1466918518945,5087.720733019523,19332.673515263014,21312.469439131673,23788.1131330505
released-prototype,steady,8,1,124.38306049327946,108.27910900115967,240.9880876541135,430.77004671096785,1242.2621250152588,51.4772569585839,49.87298889506248,74.02628846602006,93.05312071855236,227.49227285385132,8700.483283795034,6159.680382465012,23229.2060974054,27308.688980157014,29812.746479175985
released-prototype,steady,8,2,120.90909520326768,108.2066297531128,241.76656007766726,354.79707241058355,625.5695819854736,49.0716360991482,48.81011091527485,67.0397213837607,79.19259399175644,106.96150362491608,8363.501075589918,5855.783350998536,22473.744498379532,24582.285696384497,25753.765075001866
released-prototype,steady,8,3,128.32405542589956,114.82739448547363,245.8387851715087,411.1094856262183,1359.2445850372314,53.45720041241454,53.14759082264371,74.44537816903528,95.40170133113861,162.21604347229004,8961.376751124973,6734.524958068505,24361.143293790512,26930.268802903585,28576.99032803066
released-prototype,steady,20,1,163.18380340923886,135.4902982711792,340.59048891067505,802.6470327377343,2290.802478790283,106.7195110550568,74.44352635906802,237.90697453728131,323.01990446798976,545.9094941616058,17311.49160324611,9237.146055558696,73752.24256195361,85929.7535671061,92090.093848994
