system,request_rate,n_runs,ttft_p50_ms_mean,ttft_p50_ms_std,ttft_p99_ms_mean,ttft_p99_ms_std,tpot_p50_ms_mean,tpot_p50_ms_std,tpot_p99_ms_mean,tpot_p99_ms_std,ttft_slo_attainment_mean,ttft_slo_attainment_std,tpot_slo_attainment_mean,tpot_slo_attainment_std,joint_slo_attainment_mean,joint_slo_attainment_std,throughput_req_s_mean,throughput_req_s_std,joint_slo_goodput_req_s_mean,joint_slo_goodput_req_s_std,num_completed_mean,num_completed_std,num_failed_mean,num_failed_std,num_migrations_mean,num_migrations_std,num_evictions_mean,num_evictions_std,num_activations_mean,num_activations_std,num_mh_deferred_mean,num_mh_deferred_std,ttft_p95_ms_mean,ttft_p95_ms_std,tpot_p95_ms_mean,tpot_p95_ms_std,requests_in_window_mean,requests_in_window_std,alg1_log_lines_mean,alg1_log_lines_std,alg2_log_lines_mean,alg2_log_lines_std
paper-faithful,10.0,3,89.86941973368327,3.6483353989609797,414.9775767326355,35.242130971141144,53.20094957061904,2.9360794268037465,103.12127702565301,1.0527170823231708,0.9963969408367243,0.003955693509818831,0.8134619874352552,0.09952116283417309,0.8116019745606694,0.10102966096421877,10.111111111111112,0.10833760675332021,8.200000000000001,0.953840191599783,3033.3333333333335,32.50128202599604,0.0,0.0,0.6666666666666666,1.1547005383792517,0.0,0.0,0.0,0.0,18.666666666666668,2.3094010767585034,236.43231789271042,6.60152064446582,74.51419706757406,3.169822350469625,3033.3333333333335,32.50128202599604,708.0,13.74772708486752,1080.6666666666667,104.7011620438538
paper-faithful,20.0,3,114.08956845601399,4.781866559639953,495.04937012990285,24.402044940920636,121.19661941906334,5.864575826453033,211.95728738976536,17.214395637016835,0.9963743994546062,0.00100707975365553,0.33066933246721164,0.002019588787923484,0.3302313842545878,0.0027091617838765477,20.202222222222222,0.25829211140647423,6.671111111111112,0.06619276003825128,6060.666666666667,77.48763342194246,0.0,0.0,2.0,0.0,1.3333333333333333,1.1547005383792517,0.0,0.0,58.333333333333336,21.031722072463143,296.5118368466695,23.6368792059499,163.55692431955492,7.538066553373909,6060.666666666667,77.48763342194246,733.0,9.16515138991168,1640.6666666666667,104.57692543450173
paper-faithful,30.0,3,10089.105327924093,6693.3467289640375,35836.73285961151,3614.4866390808947,146.43585183356365,12.307386906195614,242.8691899264635,30.88622178200278,0.4112479650393223,0.030335875212629555,0.30144512922558,0.01926716460299883,0.2934123915956257,0.01921822134174277,26.763333333333332,0.6816890786861696,7.855555555555555,0.602442559118325,8029.0,204.50672360585116,1074.0,246.9635600650428,2.6666666666666665,1.1547005383792515,2.0,1.0,0.0,0.0,4089.0,689.1088448133575,32545.75581550598,4109.444949096391,194.66599606697457,9.789993287089855,9103.0,43.034869582700026,762.0,8.0,1420.6666666666667,95.50043629917788
released-prototype,10.0,3,82.42436250050862,10.511095512992473,383.18095127741486,49.73926193359807,49.44941281657224,7.133211770195863,98.45468814726216,10.15224870467288,0.9993382650807344,0.0006664944389904313,0.8641992924877046,0.08717481066613209,0.8636462768552405,0.08652659429667565,10.111111111111112,0.10833760675332021,8.726666666666667,0.785585415116934,3033.3333333333335,32.50128202599604,0.0,0.0,0.3333333333333333,0.5773502691896258,0.0,0.0,0.0,0.0,0.0,0.0,231.8875273068746,13.827675280301394,69.65775016012464,8.872913867743476,3033.3333333333335,32.50128202599604,0.0,0.0,0.0,0.0
released-prototype,20.0,3,101.33453210194905,15.902891210260533,448.3696476618447,22.546209118956035,104.30572272511886,22.509960762341,188.0632212649014,41.7438845603047,0.9975732571500003,0.0015645747538437045,0.3511164880767095,0.038971907093818564,0.3510059378644905,0.03891580995893939,20.202222222222222,0.25829211140647423,7.084444444444443,0.6907832376957923,6060.666666666667,77.48763342194246,0.0,0.0,1.0,0.0,0.6666666666666666,1.1547005383792517,0.0,0.0,0.0,0.0,266.82210763295484,29.765136315726362,144.88830237022708,30.42593230082662,6060.666666666667,77.48763342194246,0.0,0.0,0.0,0.0
released-prototype,30.0,3,534.6658627192179,371.6683836289089,24465.752736727387,5674.8490940445645,154.62605914426229,12.67191215936493,404.1049015630369,63.19275219781215,0.5488634618372306,0.09203944133724934,0.16482559389828255,0.025269943133836827,0.15874083282443172,0.020670286495331675,28.51222222222222,1.742094312197991,4.534444444444444,0.7540434214827957,8553.666666666666,522.6282936593974,549.3333333333334,498.724706960998,2.3333333333333335,0.5773502691896258,1.0,1.0,0.0,0.0,0.0,0.0,20353.37998867035,5519.0395035637375,241.63864649544885,22.36262859108963,9103.0,43.034869582700026,0.0,0.0,0.0,0.0
