Real trace file: /workspace/prism-merge/exp/workloads/final-compare/bursty_r8_s1.pkl
[PRISM_DIRECT] 3387 requests, span 419.6s
Starting TP benchmark: released-prototype_bursty_rate8_seed1
Generated 3387 requests
Request model_5#0 arrives at 1584140.62479561, sleeping for 0.19896410615183413 seconds
Request model_2#0 arrives at 1584140.824112951, sleeping for 0.17813922697678208 seconds
Request model_2#1 arrives at 1584141.002571458, sleeping for 0.03582292492501438 seconds
Request model_2#2 arrives at 1584141.040810422, sleeping for 0.08700904995203018 seconds
Request model_5#1 arrives at 1584141.128445633, sleeping for 0.08295203745365143 seconds
Request model_2#3 arrives at 1584141.212047164, sleeping for 0.13253508717752993 seconds
Request model_2#4 arrives at 1584141.345251194, sleeping for 0.09840900613926351 seconds
Request model_5#2 arrives at 1584141.44433209, sleeping for 0.06667265552096069 seconds
Request model_2#5 arrives at 1584141.511341059, sleeping for 0.03267162502743304 seconds
Request model_2#6 arrives at 1584141.544282534, sleeping for 0.2531362851150334 seconds
Request model_2#7 arrives at 1584141.798379862, sleeping for 0.3889398113824427 seconds
Request model_5#3 arrives at 1584142.187928527, sleeping for 0.14891332434490323 seconds
Request model_2#8 arrives at 1584142.337333507, sleeping for 0.1356993531808257 seconds
Request model_3#0 arrives at 1584142.473740661, sleeping for 0.7011568096932024 seconds
Request model_5#4 arrives at 1584143.176219072, sleeping for 0.04539248929359019 seconds
Request model_3#1 arrives at 1584143.222881569, sleeping for 0.011212662560865283 seconds
Request model_3#2 arrives at 1584143.234454935, sleeping for 0.045317261246964335 seconds
Request model_2#9 arrives at 1584143.280723838, sleeping for 0.20569743169471622 seconds
Request model_5#5 arrives at 1584143.488852815, sleeping for 0.13720943802036345 seconds
Request model_2#10 arrives at 1584143.627361225, sleeping for 0.11882109893485904 seconds
Request model_2#11 arrives at 1584143.748283513, sleeping for 0.0630478945095092 seconds
Request model_2#12 arrives at 1584143.811970447, sleeping for 0.047062607016414404 seconds
Request model_2#13 arrives at 1584143.859723392, sleeping for 0.16198675520718098 seconds
Request model_2#14 arrives at 1584144.022526672, sleeping for 0.04312798357568681 seconds
Request model_2#15 arrives at 1584144.066518839, sleeping for 0.06163850612938404 seconds
Request model_3#3 arrives at 1584144.129278185, sleeping for 0.03730339161120355 seconds
Request model_3#4 arrives at 1584144.168067323, sleeping for 0.2107718396000564 seconds
Request model_2#16 arrives at 1584144.379547325, sleeping for 0.08700033789500594 seconds
Request model_2#17 arrives at 1584144.467769681, sleeping for 0 seconds
Request model_2#18 arrives at 1584144.468820559, sleeping for 0.0019890787079930305 seconds
Request model_5#6 arrives at 1584144.471388278, sleeping for 0.3762028720229864 seconds
Request model_2#19 arrives at 1584144.849041135, sleeping for 0.08037401014007628 seconds
Request model_2#20 arrives at 1584144.929806485, sleeping for 0.33092285599559546 seconds
Request model_2#21 arrives at 1584145.261773363, sleeping for 0.053913055220618844 seconds
Request model_2#22 arrives at 1584145.316248127, sleeping for 0.02444030367769301 seconds
Request model_2#23 arrives at 1584145.341495875, sleeping for 0.0905044274404645 seconds
Request model_6#0 arrives at 1584145.433036765, sleeping for 0.15166400792077184 seconds
Request model_2#24 arrives at 1584145.585497279, sleeping for 0.3107038591988385 seconds
Request model_2#25 arrives at 1584145.896522831, sleeping for 0.11547728790901601 seconds
Request model_2#26 arrives at 1584146.012552133, sleeping for 0.2610190266277641 seconds
