implementation,workload,request_rate,seed,model,requests,completed,goodput,joint_slo,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,tpot_p50_ms,tpot_p95_ms,tpot_p99_ms,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms
released-prototype,bursty,8,1,model_1,134,134,0.04,0.08955223880597014,82.08668231964111,1367.2875165939304,4355.148243904109,31.002614407184495,46.67592260145371,60.73603972792625,2577.397500979714,13261.473768961148,15786.480322228716
released-prototype,bursty,8,1,model_2,260,260,0.11,0.12692307692307692,77.85427570343018,200.88919401168823,2249.5332288742125,34.489858481619095,50.13773410635835,60.10832697153092,4096.04836255312,15231.639343663117,16343.020064299932
released-prototype,bursty,8,1,model_3,744,744,0.17666666666666667,0.07123655913978495,116.11330509185791,597.6422071456913,952.9711318016064,60.386501563092075,107.61335771666826,223.0073092200541,8028.891181573272,28506.24164661859,34065.21462744801
released-prototype,bursty,8,1,model_4,221,221,0.07,0.09502262443438914,103.90257835388184,243.24488639831543,3356.197500228883,44.515522608316566,58.55250358581543,74.00548207132445,6816.595186945051,18342.60362992063,19106.299172528088
released-prototype,bursty,8,1,model_5,592,592,0.16333333333333333,0.08277027027027027,134.83452796936035,684.1683864593447,2059.7208380699176,59.95702022227688,139.28879529062914,218.12773272395182,7562.756734434515,32457.817951671313,43989.978301220115
released-prototype,bursty,8,1,model_6,461,461,0.02,0.013015184381778741,127.43210792541504,499.0346431732178,1823.4456539154053,80.47810528013441,107.79521011170887,159.12511296894237,10494.515252066776,35506.592120975256,38650.865445891395
released-prototype,bursty,8,2,model_1,230,230,0.2733333333333333,0.3565217391304348,55.70411682128906,1349.4768857955726,4429.467203617099,28.8474002405375,60.02495646476745,70.09797197653027,2722.7806873852387,16547.756099072278,18974.235311157536
released-prototype,bursty,8,2,model_2,253,253,0.023333333333333334,0.02766798418972332,99.23386573791504,1651.505804061878,4533.327560424801,44.5980429649353,60.18731296062469,76.15272697280433,6767.205086071044,18498.202540352937,19780.779217258092
released-prototype,bursty,8,2,model_3,461,461,0.46,0.2993492407809111,88.48714828491211,314.2697811126709,625.3544807434079,45.18905188622977,71.8218118716509,85.86660981178282,4556.038881884888,21044.010736979544,22643.091919738792
released-prototype,bursty,8,2,model_4,312,312,0.2866666666666667,0.27564102564102566,97.603440284729,3739.138507843017,6302.405412197112,53.5773090315315,83.4984198673484,129.60954916477178,5253.33563645836,27198.04164910456,32669.42065176787
released-prototype,bursty,8,2,model_5,566,566,0.13,0.06890459363957598,137.99691200256348,511.14577054977417,4455.486607551578,64.5178930762991,114.99305402239165,147.61395558714872,7613.85280743707,31247.246911749244,42303.900957375314
released-prototype,bursty,8,2,model_6,564,564,0.30666666666666664,0.16312056737588654,130.5907964706421,1209.0047597885136,5246.203837394717,60.33167666019969,113.85506187166487,204.6409693360329,7817.6810019649565,29070.135417720325,35427.46329775546
released-prototype,bursty,8,3,model_1,154,154,0.02,0.03896103896103896,90.31987190246582,348.3026504516589,3632.9115843772884,41.700341329752334,56.79571793955441,84.8546132121397,6492.091301479377,16556.362553464714,17527.676705687772
released-prototype,bursty,8,3,model_2,246,246,0.056666666666666664,0.06910569105691057,85.49070358276367,3257.6845288276672,5274.19868707657,41.527074140806995,69.83205865729938,80.27992099523544,6119.678331539035,16812.62320856331,18773.047938232783
released-prototype,bursty,8,3,model_3,300,300,0.1,0.1,101.93359851837158,226.83759927749642,388.87100696563687,49.40453036478743,76.46029419971235,92.83759742975235,7045.575467520393,24477.93069196632,27792.22515172325
released-prototype,bursty,8,3,model_4,454,454,0.36,0.23788546255506607,95.83806991577148,236.9475245475769,5829.5748496055485,44.57328833452833,68.58646287866259,84.40715291952498,5364.499444956891,20431.60103452389,25451.817592061114
released-prototype,bursty,8,3,model_5,647,647,0.19,0.08809891808346214,138.6697292327881,661.539006233215,1122.0153236389156,71.81995618538778,191.8407067656517,316.56341254711134,8424.240767024457,38660.40813836733,44944.34685784857
released-prototype,bursty,8,3,model_6,648,648,0.16,0.07407407407407407,110.86452007293701,405.7904601097107,2781.6433429718004,49.83963202442787,81.79862719345714,130.03723978996268,5692.987259477377,20922.056668729056,23970.62674009707
