implementation,workload,request_rate,seed,migration_count,migration_decisions_logged,migration_success,migration_failed,migration_latency_is_submission_only,migration_latency_mean,migration_latency_p50,migration_latency_p95,migration_latency_p99,migration_latency_max,migration_total_time,migration_weight_bytes,migration_kv_bytes,migration_total_bytes,migration_bandwidth,migration_bandwidth_p50,migration_paths,service_downtime_mean,service_downtime_p50,service_downtime_p95,service_downtime_p99,weight_transfers,p2p_weight_transfers,page_locked_transfers
paper-faithful-v3,bursty,8,1,13,25,13,0,0,7974.624670468844,2072.345972061157,38746.297550201394,47150.07204055785,49251.01566314697,217.49043941497803,125973670912,0,125973670912,7.942707887145063,8.35015166370846,host-to-device + helper-gpu-p2p,6230.320600362925,0.0,38746.297550201394,47150.07204055785,24,0,0
paper-faithful-v3,bursty,8,2,12,25,12,0,0,9158.749004205069,2311.940312385559,44831.01431131363,46243.52353334427,46596.65083885193,178.80199718475342,94438849536,0,94438849536,9.2441328713236,8.765229587545209,host-to-device + helper-gpu-p2p,7498.587787151337,0.0,44831.01431131363,46243.52353334427,26,0,0
paper-faithful-v3,bursty,8,3,13,26,13,0,0,2135.0446664370024,2046.3602542877197,2854.267835617065,3064.3069744110103,3116.816759109497,139.63134360313416,110223345664,0,110223345664,7.754279632844597,6.5016428594672275,host-to-device + helper-gpu-p2p,0.0,0.0,0.0,0.0,25,0,0
paper-faithful-v3,bursty,20,1,12,26,12,0,0,1548.399845759074,1499.2574453353882,2434.666013717651,2673.0578136444096,2732.6557636260986,212.9384527206421,87388323840,0,87388323840,6.640632130104098,6.372185027926388,host-to-device + helper-gpu-p2p,0.0,0.0,0.0,0.0,24,0,0
paper-faithful-v3,bursty,20,2,13,26,13,0,0,7292.304479158842,2543.846845626831,26385.87026596066,37748.20524215696,40588.788986206055,301.8103234767914,115558253568,0,115558253568,7.754715770648887,6.962543091065566,host-to-device + helper-gpu-p2p,5361.255187254686,0.0,26385.87026596066,37748.20524215696,28,0,0
paper-faithful-v3,bursty,20,3,13,27,13,0,0,4758.214895541852,1556.5993785858154,18911.191082000674,39065.38640975948,44103.93524169922,165.1656243801117,117542002688,0,117542002688,8.031443352172516,7.024376283151665,host-to-device + helper-gpu-p2p,3392.6104032076323,0.0,17641.574096679626,38811.46301269527,24,0,0
paper-faithful-v3,steady,8,1,13,26,13,0,0,1515.6511893639197,1448.7652778625488,2332.7923774719225,2738.3064460754385,2839.6849632263184,147.48964929580688,43315002368,0,43315002368,6.370544416374015,7.909765410298652,host-to-device + helper-gpu-p2p,0.0,0.0,0.0,0.0,19,0,0
paper-faithful-v3,steady,8,2,12,24,12,0,0,1647.1463044484456,1623.8172054290771,1985.2166295051575,2040.5964875221252,2054.441452026367,155.60661602020264,55891620864,0,55891620864,6.112985607076883,5.7468318277538195,host-to-device + helper-gpu-p2p,0.0,0.0,0.0,0.0,18,0,0
paper-faithful-v3,steady,8,3,13,28,13,0,0,1629.1071635026199,1627.1569728851318,2168.2735443115234,2170.033187866211,2170.473098754883,166.1898171901703,48226665472,0,48226665472,6.429492469209233,6.386704225873905,host-to-device + helper-gpu-p2p,0.0,0.0,0.0,0.0,19,0,0
paper-faithful-v4,bursty,8,1,13,25,13,0,0,5892.760918690608,2165.9531593322754,22017.78430938714,44408.417358398394,50006.075620651245,187.84450030326843,98261156864,0,98261156864,15.750814195979704,14.087207221396016,host-to-device + helper-gpu-p2p,3846.621201588557,0.0,20002.430248260425,44005.346546173045,24,0,24
paper-faithful-v4,bursty,8,2,15,26,15,0,0,7728.132899602254,1637.366533279419,46776.902866363525,48254.669132232666,48624.11069869995,221.49714708328247,120161736704,0,120161736704,14.46605745452994,14.35534580523047,host-to-device + helper-gpu-p2p,6307.290204366048,0.0,46776.902866363525,48254.669132232666,28,0,28
paper-faithful-v4,bursty,8,3,15,26,15,0,0,5563.767592112224,1998.9569187164307,22740.566563606226,42664.451279640176,47645.42245864868,221.847660779953,147165874176,0,147165874176,15.497213064884507,13.638729674499645,host-to-device + helper-gpu-p2p,3980.8319568634033,0.0,22740.566563606226,42664.451279640176,25,0,25
paper-faithful-v4,bursty,20,1,13,26,13,0,0,1343.0083898397593,1110.900640487671,2610.5887413024893,2943.4335136413565,3026.644706726074,231.81423449516296,90942499840,0,90942499840,13.11006452134536,12.42729148626816,host-to-device + helper-gpu-p2p,0.0,0.0,0.0,0.0,24,0,24
paper-faithful-v4,bursty,20,2,13,24,13,0,0,9729.58964567918,2153.4242630004883,49950.19350051877,61133.71316909788,63929.593086242676,288.19061970710754,113752456192,0,113752456192,14.563707088866314,12.653584352846257,host-to-device + helper-gpu-p2p,8043.091297149658,0.0,49950.19350051877,61133.71316909788,25,0,25
paper-faithful-v4,bursty,20,3,13,26,13,0,0,973.4966204716609,992.2590255737305,1290.7140254974363,1371.2844371795652,1391.4270401000977,118.45361518859863,114301971456,0,114301971456,13.908203036491386,15.046527691036705,host-to-device + helper-gpu-p2p,0.0,0.0,0.0,0.0,25,0,25
paper-faithful-v4,steady,8,1,13,28,13,0,0,1720.0520038604736,1721.5445041656494,2629.4032096862793,2661.7305946350098,2669.8124408721924,174.87005138397217,76492442624,0,76492442624,12.167770772302738,12.466306370484006,host-to-device + helper-gpu-p2p,0.0,0.0,0.0,0.0,20,0,20
paper-faithful-v4,steady,8,2,14,28,14,0,0,1882.1450642177037,1824.161171913147,2551.918065547943,2578.0809473991394,2584.6216678619385,201.19098544120789,91438344192,0,91438344192,9.90343307266943,9.714635721938063,host-to-device + helper-gpu-p2p,0.0,0.0,0.0,0.0,20,0,20
paper-faithful-v4,steady,8,3,13,28,13,0,0,1814.4510709322417,1773.6241817474365,2612.536096572875,2860.6438922882076,2922.670841217041,173.7162001132965,55821149184,0,55821149184,10.317461319816333,9.722777304875844,host-to-device + helper-gpu-p2p,0.0,0.0,0.0,0.0,20,0,20
released-prototype,bursty,8,1,2,2,2,0,1,11.942386627197266,11.942386627197266,15.187644958496094,15.476112365722656,15.548229217529297,0.02388477325439453,9791172608,0,9791172608,8.060719092242445,8.060719092242445,host-to-device + helper-gpu-p2p,11.942386627197266,11.942386627197266,15.187644958496094,15.476112365722656,14,0,0
released-prototype,bursty,8,2,3,3,3,0,1,9.092013041178385,8.576631546020508,10.331439971923828,10.487422943115234,10.526418685913086,0.027276039123535156,17423974400,0,17423974400,7.831235415451917,7.998633816731532,host-to-device + helper-gpu-p2p,9.092013041178385,8.576631546020508,10.331439971923828,10.487422943115234,18,0,0
released-prototype,bursty,8,3,6,6,6,0,1,9.96402899424235,9.218454360961914,12.085497379302979,12.105858325958252,12.11094856262207,0.0597841739654541,47072911360,0,47072911360,9.733465057088592,10.31359453792053,host-to-device + helper-gpu-p2p,9.96402899424235,9.218454360961914,12.085497379302979,12.105858325958252,19,0,0
released-prototype,bursty,20,1,6,6,6,0,1,9.580334027608236,8.334159851074219,14.739155769348145,16.03682041168213,16.361236572265625,0.05876040458679199,59868337152,0,59868337152,8.901211505393732,7.552763879418715,host-to-device + helper-gpu-p2p,9.580334027608236,8.334159851074219,14.739155769348145,16.03682041168213,18,0,0
released-prototype,bursty,20,2,3,3,3,0,1,12.411355972290039,9.788274765014648,18.132948875427246,18.8746976852417,19.060134887695312,0.03744673728942871,26828203008,0,26828203008,7.652452830705699,7.93067827852707,host-to-device + helper-gpu-p2p,12.411355972290039,9.788274765014648,18.132948875427246,18.8746976852417,18,0,0
released-prototype,bursty,20,3,3,3,3,0,1,8.68829091389974,8.390665054321289,9.299826622009277,9.380640983581543,9.40084457397461,0.027490854263305664,17004677120,0,17004677120,8.041336001227362,5.63068763738567,host-to-device + helper-gpu-p2p,8.68829091389974,8.390665054321289,9.299826622009277,9.380640983581543,15,0,0
released-prototype,steady,8,1,0,0,0,0,1,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,,nan,nan,nan,nan,6,0,0
released-prototype,steady,8,2,0,0,0,0,1,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,,nan,nan,nan,nan,6,0,0
released-prototype,steady,8,3,0,0,0,0,1,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,,nan,nan,nan,nan,6,0,0
