arm,stage,n,mean,p50,p95,p99,max
D0,frontend_wait,958,0.0007827418831046788,0.00064849853515625,0.0012304186820983887,0.0029664087295532154,0.038578033447265625
D0,local_scheduler_wait,958,0.005765808151261045,0.005733966827392578,0.010495197772979737,0.011163141727447506,0.012102127075195312
D0,prefill_wait,958,0.09870665904624477,0.04530596733093262,0.3534844636917114,0.5125396966934204,0.6065497398376465
D0,actual_prefill_service,958,0.06773616476198328,0.043589234352111816,0.1934422850608825,0.4294620442390439,0.8905420303344727
D0,decode_start_wait,958,0.08297333363949133,0.03522145748138428,0.2883221626281736,0.6765646743774392,1.281346321105957
D0,ttft,958,0.17299137384259378,0.11580932140350342,0.5083606839179993,0.7488817930221533,0.929257869720459
D0,tpot,958,0.0556555008815868,0.051630008748561274,0.09276213034987449,0.12730963373329565,0.18091879785060883
D0,e2e,958,9.539608432504977,6.94522750377655,26.668944823741914,31.089875218868254,34.526729106903076
D1-fixed,frontend_wait,958,0.0006473086821012557,0.0005891323089599609,0.0010502576828002926,0.0019428396224975394,0.006935596466064453
D1-fixed,local_scheduler_wait,958,0.12343674736381324,0.009723782539367676,0.6232385039329529,1.491198141574841,3.1595206260681152
D1-fixed,prefill_wait,958,0.09034198136817438,0.034090280532836914,0.43805656433105433,0.5841552305221557,1.0178837776184082
D1-fixed,actual_prefill_service,958,0.06469523807159297,0.041848182678222656,0.13595602512359617,0.5381166887283324,1.0872001647949219
D1-fixed,decode_start_wait,958,0.1098140652343973,0.03779196739196777,0.4416635990142821,0.9562482595443702,3.3586935997009277
D1-fixed,ttft,958,0.27912127548568183,0.16341125965118408,0.8468002796173093,1.7479145812988237,3.2697982788085938
D1-fixed,tpot,958,0.0662429074415661,0.05957626233898531,0.11969245523214339,0.1789850332874518,0.3491148054599762
D1-fixed,e2e,958,11.152301427218013,8.238900899887085,30.489000427722925,37.50010965585708,38.650489807128906
