arm,stage,n,mean,p50,p95,p99,max
D0,frontend_wait,958,0.0007827418831046788,0.00064849853515625,0.0012304186820983887,0.0029664087295532154,0.038578033447265625
D0,local_scheduler_wait,958,0.005765808151261045,0.005733966827392578,0.010495197772979737,0.011163141727447506,0.012102127075195312
D0,prefill_wait,958,0.09870665904624477,0.04530596733093262,0.3534844636917114,0.5125396966934204,0.6065497398376465
D0,actual_prefill_service,958,0.06773616476198328,0.043589234352111816,0.1934422850608825,0.4294620442390439,0.8905420303344727
D0,decode_start_wait,958,0.08297333363949133,0.03522145748138428,0.2883221626281736,0.6765646743774392,1.281346321105957
D0,ttft,958,0.17299137384259378,0.11580932140350342,0.5083606839179993,0.7488817930221533,0.929257869720459
D0,tpot,958,0.0556555008815868,0.051630008748561274,0.09276213034987449,0.12730963373329565,0.18091879785060883
D0,e2e,958,9.539608432504977,6.94522750377655,26.668944823741914,31.089875218868254,34.526729106903076
D1-fixed,frontend_wait,958,0.0009709136222250029,0.000667572021484375,0.0014816045761108397,0.002671875953674291,0.17108774185180664
D1-fixed,local_scheduler_wait,958,0.1484658108374769,0.0338435173034668,0.7328691124916076,1.3053885912895193,2.0708670616149902
D1-fixed,prefill_wait,958,0.0706785115916943,0.027614355087280273,0.28063960075378414,0.4756481766700738,0.9111113548278809
D1-fixed,actual_prefill_service,958,0.06582165859437437,0.04136979579925537,0.145975124835968,0.588368394374846,0.8893735408782959
D1-fixed,decode_start_wait,958,0.06890529804787207,0.031352996826171875,0.278170371055603,0.540282173156738,0.8491575717926025
D1-fixed,ttft,958,0.28593689464577055,0.18317639827728271,0.8380344033241272,1.4923688507080075,2.136443853378296
D1-fixed,tpot,958,0.056701662885632206,0.05147071296477136,0.09944814496358696,0.1284777421989137,0.17206136882305145
D1-fixed,e2e,958,9.662899944876829,6.856974840164185,25.539701557159425,33.74338014841076,36.437777519226074
