Real trace file: /workspace/prism-merge/exp/workloads/final-compare/bursty_r20_s99.pkl
[PRISM_DIRECT] 8598 requests, span 420.0s
Starting TP benchmark: paper-faithful-v6_bursty_rate20_seed99
Generated 8598 requests
Request model_4#0 arrives at 1609538.392146063, sleeping for 0.017902071587741375 seconds
Request model_4#1 arrives at 1609538.411320522, sleeping for 0 seconds
Request model_4#2 arrives at 1609538.412362409, sleeping for 0.03434453788213432 seconds
Request model_6#0 arrives at 1609538.447345193, sleeping for 0.031566665740683675 seconds
Request model_4#3 arrives at 1609538.479975491, sleeping for 0.0815680988598615 seconds
Request model_2#0 arrives at 1609538.562649684, sleeping for 0.06374729634262621 seconds
Request model_4#4 arrives at 1609538.627399287, sleeping for 0.008076695958152413 seconds
Request model_4#5 arrives at 1609538.636019275, sleeping for 0.016124606365337968 seconds
Request model_6#1 arrives at 1609538.652647816, sleeping for 0.05634514964185655 seconds
Request model_4#6 arrives at 1609538.709291315, sleeping for 0.010871485341340303 seconds
Request model_4#7 arrives at 1609538.720881622, sleeping for 0.046575467102229595 seconds
Request model_6#2 arrives at 1609538.768566341, sleeping for 0.02063606888987124 seconds
Request model_6#3 arrives at 1609538.790237786, sleeping for 0.027891571167856455 seconds
Request model_4#8 arrives at 1609538.818925768, sleeping for 0.1230034762993455 seconds
Request model_2#1 arrives at 1609538.942292823, sleeping for 0.062183035304769874 seconds
Request model_4#9 arrives at 1609539.005043523, sleeping for 0.01619259873405099 seconds
Request model_2#2 arrives at 1609539.021821885, sleeping for 0.021516129607334733 seconds
Request model_6#4 arrives at 1609539.043684931, sleeping for 0.12421531183645129 seconds
Request model_4#10 arrives at 1609539.168656128, sleeping for 0.03833623346872628 seconds
Request model_4#11 arrives at 1609539.207619658, sleeping for 0.030471266247332096 seconds
Request model_4#12 arrives at 1609539.238604436, sleeping for 0.04388817306607962 seconds
Request model_4#13 arrives at 1609539.283480986, sleeping for 0.06872451491653919 seconds
Request model_4#14 arrives at 1609539.353250062, sleeping for 0 seconds
Request model_4#15 arrives at 1609539.353517694, sleeping for 0.017498462460935116 seconds
Request model_4#16 arrives at 1609539.371359874, sleeping for 0.0003076705615967512 seconds
Request model_4#17 arrives at 1609539.372108839, sleeping for 0.05029529286548495 seconds
Request model_6#5 arrives at 1609539.422814838, sleeping for 0 seconds
Request model_4#18 arrives at 1609539.423344911, sleeping for 0.06578941317275167 seconds
Request model_2#3 arrives at 1609539.489477314, sleeping for 0.008064152207225561 seconds
Request model_4#19 arrives at 1609539.498180462, sleeping for 0.024276728741824627 seconds
Request model_6#6 arrives at 1609539.52331016, sleeping for 0.09581283456645906 seconds
Request model_6#7 arrives at 1609539.619478974, sleeping for 0.007226353278383613 seconds
Request model_4#20 arrives at 1609539.627394277, sleeping for 0.23305617598816752 seconds
Request model_6#8 arrives at 1609539.861377272, sleeping for 0.0036167032085359097 seconds
Request model_6#9 arrives at 1609539.865764662, sleeping for 0.011588552733883262 seconds
Request model_4#21 arrives at 1609539.878433776, sleeping for 0.04561522928997874 seconds
Request model_4#22 arrives at 1609539.925128389, sleeping for 0.042590790428221226 seconds
Request model_4#23 arrives at 1609539.968737151, sleeping for 0.01716313441284001 seconds
Request model_4#24 arrives at 1609539.986420969, sleeping for 0.05028151371516287 seconds
Request model_4#25 arrives at 1609540.037113718, sleeping for 0.053210315527394414 seconds
Request model_6#10 arrives at 1609540.090814937, sleeping for 0.042010106379166245 seconds
Request model_4#26 arrives at 1609540.133505593, sleeping for 0.04436241346411407 seconds
Request model_2#4 arrives at 1609540.178744466, sleeping for 0.007846364751458168 seconds
Request model_4#27 arrives at 1609540.187749256, sleeping for 0.0067764148116111755 seconds
Request model_4#28 arrives at 1609540.195468338, sleeping for 0.01154782623052597 seconds
Request model_4#29 arrives at 1609540.208840817, sleeping for 0.08850884763523936 seconds
Request model_2#5 arrives at 1609540.297558681, sleeping for 0.025504758348688483 seconds
Request model_4#30 arrives at 1609540.32427901, sleeping for 0.09753893036395311 seconds
Request model_4#31 arrives at 1609540.422159635, sleeping for 0.02261429699137807 seconds
Request model_6#11 arrives at 1609540.444997777, sleeping for 0.008477502968162298 seconds
Request model_4#32 arrives at 1609540.453758206, sleeping for 0.004561492241919041 seconds
Request model_4#33 arrives at 1609540.458647459, sleeping for 0.11224376852624118 seconds
Request model_4#34 arrives at 1609540.571747956, sleeping for 0.004050700459629297 seconds
Request model_2#6 arrives at 1609540.57681398, sleeping for 0.0008622861932963133 seconds
Request model_4#35 arrives at 1609540.578533961, sleeping for 0.0437938563991338 seconds
Request model_6#12 arrives at 1609540.623733644, sleeping for 0 seconds
Request model_4#36 arrives at 1609540.624291827, sleeping for 0.12422227789647877 seconds
Request model_4#37 arrives at 1609540.749466535, sleeping for 0.05834936862811446 seconds
Request model_4#38 arrives at 1609540.808641931, sleeping for 0.16278727469034493 seconds
Request model_2#7 arrives at 1609540.971878553, sleeping for 0.0105081417132169 seconds
Request model_6#13 arrives at 1609540.983138889, sleeping for 0.017339559039101005 seconds
Request model_6#14 arrives at 1609541.000917528, sleeping for 0.2235670688096434 seconds
Request model_4#39 arrives at 1609541.224975698, sleeping for 0.0012020855210721493 seconds
Request model_4#40 arrives at 1609541.22681632, sleeping for 0.07855867617763579 seconds
Request model_6#15 arrives at 1609541.306402653, sleeping for 0.008683049120008945 seconds
Request model_2#8 arrives at 1609541.317202955, sleeping for 0.03488453384488821 seconds
Request model_4#41 arrives at 1609541.352945204, sleeping for 0.0632846369408071 seconds
Request model_4#42 arrives at 1609541.416899342, sleeping for 0.03987692226655781 seconds
Request model_6#16 arrives at 1609541.457921987, sleeping for 0.029194377129897475 seconds
Request model_2#9 arrives at 1609541.487873648, sleeping for 0.023353300523012877 seconds
Request model_4#43 arrives at 1609541.511823908, sleeping for 0.10944604780524969 seconds
Request model_6#17 arrives at 1609541.621513922, sleeping for 0.031140110455453396 seconds
Request model_4#44 arrives at 1609541.653209104, sleeping for 0.002443835139274597 seconds
Request model_6#18 arrives at 1609541.656625217, sleeping for 0.029976585181429982 seconds
Request model_2#10 arrives at 1609541.687327543, sleeping for 0.028109356062486768 seconds
Request model_4#45 arrives at 1609541.716042935, sleeping for 0.06034961063414812 seconds
Request model_4#46 arrives at 1609541.776751281, sleeping for 0.10965301911346614 seconds
Request model_6#19 arrives at 1609541.887621583, sleeping for 0.0177162429317832 seconds
Request model_4#47 arrives at 1609541.906074147, sleeping for 0.08182418043725193 seconds
Request model_4#48 arrives at 1609541.988506139, sleeping for 0.10819725412875414 seconds
Request model_4#49 arrives at 1609542.097954691, sleeping for 0.0011196788400411606 seconds
Request model_4#50 arrives at 1609542.100076576, sleeping for 0.026986884186044335 seconds
Request model_6#20 arrives at 1609542.127958072, sleeping for 0.019107803236693144 seconds
Request model_4#51 arrives at 1609542.1484739, sleeping for 0.018076643580570817 seconds
Request model_4#52 arrives at 1609542.168803516, sleeping for 0.011292706476524472 seconds
Request model_6#21 arrives at 1609542.181015718, sleeping for 0.024144649505615234 seconds
Request model_2#11 arrives at 1609542.206092116, sleeping for 0.017766087781637907 seconds
Request model_4#53 arrives at 1609542.225088733, sleeping for 0.0007337313145399094 seconds
Request model_4#54 arrives at 1609542.226028599, sleeping for 0.07464226754382253 seconds
Request model_6#22 arrives at 1609542.301826136, sleeping for 0.08471399242989719 seconds
Request model_4#55 arrives at 1609542.387084647, sleeping for 0.022038879105821252 seconds
Request model_6#23 arrives at 1609542.409450607, sleeping for 0.03398068458773196 seconds
Request model_4#56 arrives at 1609542.444613493, sleeping for 0.080245116725564 seconds
Request model_6#24 arrives at 1609542.525409943, sleeping for 0.027171775000169873 seconds
Request model_4#57 arrives at 1609542.553442411, sleeping for 0.02857231255620718 seconds
Request model_4#58 arrives at 1609542.582656767, sleeping for 0.023174883099272847 seconds
Request model_4#59 arrives at 1609542.606862339, sleeping for 0.03325091302394867 seconds
Request model_4#60 arrives at 1609542.641089338, sleeping for 0.023416975513100624 seconds
Request model_4#61 arrives at 1609542.665392481, sleeping for 0.03164733899757266 seconds
Request model_4#62 arrives at 1609542.697967769, sleeping for 0.07237425330094993 seconds
Request model_4#63 arrives at 1609542.771831094, sleeping for 0.011734784813597798 seconds
Request model_4#64 arrives at 1609542.784053746, sleeping for 0.03202587994746864 seconds
Request model_4#65 arrives at 1609542.817150127, sleeping for 0.04149130289442837 seconds
Request model_6#25 arrives at 1609542.859224349, sleeping for 0.004167561419308186 seconds
Request model_4#66 arrives at 1609542.864322603, sleeping for 0.06294899759814143 seconds
Request model_4#67 arrives at 1609542.927770028, sleeping for 0.01584754534997046 seconds
Request model_6#26 arrives at 1609542.9444919, sleeping for 0.2016702953260392 seconds
Request model_4#68 arrives at 1609543.148268854, sleeping for 0.021416523959487677 seconds
Request model_4#69 arrives at 1609543.170617154, sleeping for 0.07553802151232958 seconds
Request model_4#70 arrives at 1609543.246963155, sleeping for 0.16063674446195364 seconds
Request model_2#12 arrives at 1609543.408509567, sleeping for 0.07971234736032784 seconds
Request model_4#71 arrives at 1609543.488612594, sleeping for 0.1667486692313105 seconds
Request model_6#27 arrives at 1609543.656635049, sleeping for 0.0028090989217162132 seconds
Request model_6#28 arrives at 1609543.65980335, sleeping for 0.025209862273186445 seconds
Request model_4#72 arrives at 1609543.685526433, sleeping for 0.028832365293055773 seconds
Request model_4#73 arrives at 1609543.714796959, sleeping for 0.025495494483038783 seconds
Request model_4#74 arrives at 1609543.740983194, sleeping for 0.09931729570962489 seconds
Request model_2#13 arrives at 1609543.841368016, sleeping for 0 seconds
Request model_4#75 arrives at 1609543.842192952, sleeping for 0.002008148469030857 seconds
Request model_6#29 arrives at 1609543.845143142, sleeping for 0.027424553176388144 seconds
