Real trace file: /workspace/prism-exp/exp/workloads/paper-faithful-v4/steady_r8_s2.pkl
[PRISM_DIRECT] 3365 requests, span 419.5s
Starting TP benchmark: paper-faithful-v3-alg1only_steady_rate8_seed2
Generated 3365 requests
Request model_6#0 arrives at 133323.5638256, sleeping for 0.37050677856313996 seconds
Request model_6#1 arrives at 133323.935365025, sleeping for 0.3918776194623206 seconds
Request model_5#0 arrives at 133324.32810423, sleeping for 0.1519197181914933 seconds
Request model_1#0 arrives at 133324.481166042, sleeping for 0.08374238508986309 seconds
Request model_1#1 arrives at 133324.566136448, sleeping for 0.06680865545058623 seconds
Request model_1#2 arrives at 133324.635135266, sleeping for 0.05554900152492337 seconds
Request model_5#1 arrives at 133324.691171315, sleeping for 0.0010190719331149012 seconds
Request model_5#2 arrives at 133324.692322928, sleeping for 0.0024900005955714732 seconds
Request model_3#0 arrives at 133324.695439925, sleeping for 0.030515891703544185 seconds
Request model_5#3 arrives at 133324.726563237, sleeping for 0.0722402585670352 seconds
Request model_3#1 arrives at 133324.800965208, sleeping for 0.005823856627102941 seconds
Request model_5#4 arrives at 133324.807276472, sleeping for 0.16183050521067344 seconds
Request model_6#2 arrives at 133324.969819156, sleeping for 0.42396530404221267 seconds
Request model_1#3 arrives at 133325.394158333, sleeping for 0.22794689470902085 seconds
Request model_5#5 arrives at 133325.623174399, sleeping for 0.00966138657531701 seconds
Request model_5#6 arrives at 133325.634415945, sleeping for 0.09191853366792202 seconds
Request model_2#0 arrives at 133325.726791818, sleeping for 0.2545747448748443 seconds
Request model_6#3 arrives at 133325.981835534, sleeping for 0.14115058409515768 seconds
Request model_6#4 arrives at 133326.12345528, sleeping for 0.0303491726226639 seconds
Request model_6#5 arrives at 133326.154729071, sleeping for 0.06562831776682287 seconds
Request model_6#6 arrives at 133326.220969794, sleeping for 0.2023374765412882 seconds
Request model_6#7 arrives at 133326.424215801, sleeping for 0.00639022231916897 seconds
Request model_6#8 arrives at 133326.431481308, sleeping for 0.2751429360359907 seconds
Request model_5#7 arrives at 133326.707161661, sleeping for 0.5022661295370199 seconds
Request model_2#1 arrives at 133327.210900968, sleeping for 0.08185168969794177 seconds
Request model_6#9 arrives at 133327.293283438, sleeping for 0.14055240456946194 seconds
Request model_3#2 arrives at 133327.434610512, sleeping for 0.0506099903723225 seconds
Request model_6#10 arrives at 133327.48590203, sleeping for 0.14589553853147663 seconds
Request model_1#4 arrives at 133327.632453257, sleeping for 0.04753965148120187 seconds
Request model_6#11 arrives at 133327.680778368, sleeping for 0.024967405217466876 seconds
Request model_3#3 arrives at 133327.706036355, sleeping for 0.05731787331751548 seconds
Request model_5#8 arrives at 133327.764315399, sleeping for 0.045491116237826645 seconds
Request model_1#5 arrives at 133327.810662696, sleeping for 0.015869586903136224 seconds
Request model_6#12 arrives at 133327.826895163, sleeping for 0.19668004076811485 seconds
Request model_1#6 arrives at 133328.024545387, sleeping for 0.1466157251270488 seconds
Request model_2#2 arrives at 133328.172887937, sleeping for 0.030267078953329474 seconds
Request model_4#0 arrives at 133328.204202829, sleeping for 0.23742105907876976 seconds
Request model_3#4 arrives at 133328.442202365, sleeping for 0.17953546805074438 seconds
Request model_5#9 arrives at 133328.622656419, sleeping for 0.06441678176634014 seconds
Request model_6#13 arrives at 133328.68814619, sleeping for 0.012173219351097941 seconds
Request model_1#7 arrives at 133328.70138551, sleeping for 0.02451295399805531 seconds
Request model_6#14 arrives at 133328.726474107, sleeping for 0.180866242852062 seconds
Request model_6#15 arrives at 133328.907889494, sleeping for 0.044853629427962005 seconds
Request model_5#10 arrives at 133328.953211338, sleeping for 0.010718084551626816 seconds
Request model_5#11 arrives at 133328.964438243, sleeping for 0.1865626422513742 seconds
Request model_6#16 arrives at 133329.151417492, sleeping for 0.1477930127584841 seconds
Request model_2#3 arrives at 133329.300147383, sleeping for 0.03770391919533722 seconds
Request model_3#5 arrives at 133329.338496491, sleeping for 0.13152680738130584 seconds
Request model_1#8 arrives at 133329.470821995, sleeping for 0.05974395989323966 seconds
Request model_6#17 arrives at 133329.532144815, sleeping for 0.20932968705892563 seconds
