arm,workload,rate,metric,mean,sd,n
A,bursty,20,ttft_p99,5857.935385,2720.49128,3
A,bursty,20,tpot_p50,105.378003,20.865547,3
A,bursty,20,tpot_p95,531.114853,137.62458,3
A,bursty,20,tpot_p99,1364.102965,113.824647,3
A,bursty,20,e2e_p50,13733.58864,1726.413065,3
A,bursty,20,e2e_p95,68288.075613,7988.763141,3
A,bursty,20,e2e_p99,86331.689935,10143.483899,3
A,steady,4,ttft_p50,105.927527,2.201836,2
A,steady,4,ttft_p95,222.617775,4.214407,2
A,steady,4,ttft_p99,325.8385,23.719762,2
A,steady,4,tpot_p50,42.759528,0.558584,2
A,steady,4,tpot_p95,58.720956,0.08598,2
A,steady,4,tpot_p99,68.617506,1.533338,2
A,steady,4,e2e_p50,5223.308624,191.750235,2
A,steady,4,e2e_p95,19194.024059,196.079941,2
A,steady,4,e2e_p99,21641.79418,465.735515,2
A,steady,8,ttft_p50,110.437711,3.80175,3
A,steady,8,ttft_p95,242.864478,2.605069,3
A,steady,8,ttft_p99,398.892202,39.43247,3
A,steady,8,tpot_p50,50.61023,2.260769,3
A,steady,8,tpot_p95,71.837129,4.159958,3
A,steady,8,tpot_p99,89.215805,8.759425,3
A,steady,8,e2e_p50,6249.996231,446.278408,3
A,steady,8,e2e_p95,23354.697963,949.936687,3
A,steady,8,e2e_p99,26273.747826,1477.01847,3
A,steady,20,ttft_p50,177.921335,83.384699,3
A,steady,20,ttft_p95,937.987967,1078.671957,3
A,steady,20,ttft_p99,1528.266343,1443.712888,3
A,steady,20,tpot_p50,91.008198,33.984097,3
A,steady,20,tpot_p95,295.393493,201.662799,3
A,steady,20,tpot_p99,443.706227,358.373637,3
A,steady,20,e2e_p50,9063.481502,789.054998,3
A,steady,20,e2e_p95,54201.49562,17112.592447,3
A,steady,20,e2e_p99,64725.252818,19554.378087,3
B,bursty,8,ttft_p50,112.66307,2.941449,3
B,bursty,8,ttft_p95,647.174474,62.510132,3
B,bursty,8,ttft_p99,3460.653377,1418.401922,3
B,bursty,8,tpot_p50,51.453673,3.259796,3
B,bursty,8,tpot_p95,113.469396,10.97185,3
B,bursty,8,tpot_p99,179.814169,27.497184,3
B,bursty,8,e2e_p50,6511.341906,725.566497,3
B,bursty,8,e2e_p95,27482.148187,3631.282948,3
B,bursty,8,e2e_p99,37918.618426,2666.085511,3
C,bursty,2,ttft_p50,101.557374,7.449644,3
C,bursty,2,ttft_p95,1133.153987,1274.812008,3
C,bursty,2,ttft_p99,4936.563069,1694.24201,3
C,bursty,2,tpot_p50,37.119906,3.032879,3
C,bursty,2,tpot_p95,60.238304,7.311287,3
C,bursty,2,tpot_p99,82.458061,8.715154,3
C,bursty,2,e2e_p50,4703.199723,333.010566,3
C,bursty,2,e2e_p95,17817.745489,2440.58009,3
C,bursty,2,e2e_p99,20908.243394,3391.021367,3
C,bursty,4,ttft_p50,110.62483,6.156749,3
C,bursty,4,ttft_p95,1552.341537,2114.418603,3
C,bursty,4,ttft_p99,5077.5213,3986.060962,3
C,bursty,4,tpot_p50,42.27337,1.329282,3
C,bursty,4,tpot_p95,80.284228,9.074842,3
C,bursty,4,tpot_p99,126.770019,43.404138,3
C,bursty,4,e2e_p50,5896.024579,751.663381,3
C,bursty,4,e2e_p95,22687.602341,2982.577058,3
