Real trace file: /workspace/prism-exp/exp/workloads/paper-faithful-v4/bursty_r8_s3.pkl
[PRISM_DIRECT] 3372 requests, span 419.5s
Starting TP benchmark: tp-aa-paper_r8_s3
Generated 3372 requests
Request model_6#28 arrives at 1525336.255179877, sleeping for 0.08370538661256433 seconds
Request model_3#25 arrives at 1525336.339650139, sleeping for 0.007944383891299367 seconds
Request model_6#29 arrives at 1525336.348622771, sleeping for 0.013279857346788049 seconds
Request model_3#26 arrives at 1525336.363509523, sleeping for 0.21332070045173168 seconds
Request model_6#30 arrives at 1525336.577452225, sleeping for 0.1053009673487395 seconds
Request model_6#31 arrives at 1525336.683877988, sleeping for 0.1545584248378873 seconds
Request model_3#27 arrives at 1525336.83961535, sleeping for 0.061023550340905786 seconds
Request model_3#28 arrives at 1525336.901884428, sleeping for 0.22477030497975647 seconds
Request model_3#29 arrives at 1525337.12727761, sleeping for 0.3452601304743439 seconds
Request model_3#30 arrives at 1525337.474023006, sleeping for 0.15858289157040417 seconds
Request model_3#31 arrives at 1525337.633665865, sleeping for 0.30749946157447994 seconds
Request model_3#32 arrives at 1525337.942703691, sleeping for 0.009722695918753743 seconds
Request model_2#7 arrives at 1525337.953396035, sleeping for 0.12035363097675145 seconds
Request model_6#32 arrives at 1525338.074174496, sleeping for 0.038157041650265455 seconds
Request model_3#33 arrives at 1525338.112879183, sleeping for 0.04506071610376239 seconds
Request model_1#13 arrives at 1525338.158486907, sleeping for 0.02987079182639718 seconds
Request model_2#8 arrives at 1525338.189135608, sleeping for 0.009075829992070794 seconds
Request model_3#34 arrives at 1525338.199949062, sleeping for 0.14722254243679345 seconds
Request model_1#14 arrives at 1525338.34775287, sleeping for 0.16904270369559526 seconds
Request model_1#15 arrives at 1525338.517596008, sleeping for 0.3719762770924717 seconds
Request model_1#16 arrives at 1525338.889907171, sleeping for 0.08957870048470795 seconds
Request model_3#35 arrives at 1525338.980677755, sleeping for 0.11931252176873386 seconds
Request model_1#17 arrives at 1525339.101432826, sleeping for 0.006505731726065278 seconds
Request model_6#33 arrives at 1525339.108081452, sleeping for 0.06586228730157018 seconds
Request model_3#36 arrives at 1525339.174785131, sleeping for 0.09216108685359359 seconds
Request model_3#37 arrives at 1525339.26749682, sleeping for 0.7481306686531752 seconds
Request model_3#38 arrives at 1525340.016539325, sleeping for 0.04221626603975892 seconds
Request model_1#18 arrives at 1525340.05933019, sleeping for 0.3779669387731701 seconds
Request model_3#39 arrives at 1525340.438591699, sleeping for 0.002078211633488536 seconds
Request model_3#40 arrives at 1525340.441331768, sleeping for 0.4194358573295176 seconds
Request model_3#41 arrives at 1525340.862120885, sleeping for 0.05765725742094219 seconds
Request model_6#34 arrives at 1525340.920223305, sleeping for 0.03714481252245605 seconds
Request model_1#19 arrives at 1525340.958342057, sleeping for 0.0008885366842150688 seconds
Request model_6#35 arrives at 1525340.960336661, sleeping for 0.017861181404441595 seconds
Request model_3#42 arrives at 1525340.979961026, sleeping for 0.02568494714796543 seconds
