t_rel,model_1_arrivals,model_1_running,model_1_queue,model_1_tokens,model_1_token_usage,model_1_gen_tps,model_1_prefill_tok,model_4_arrivals,model_4_running,model_4_queue,model_4_tokens,model_4_token_usage,model_4_gen_tps,model_4_prefill_tok,model_5_arrivals,model_5_running,model_5_queue,model_5_tokens,model_5_token_usage,model_5_gen_tps,model_5_prefill_tok,gpu0_sched_qlen,gpu0_mem_mib,gpu0_util,gpu1_sched_qlen,gpu1_mem_mib,gpu1_util,ctrl_actions
-13.0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
-12.0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
-11.0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
-10.0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
-9.0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
-8.0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
-7.0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
-5.0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
-4.0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
-3.0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
-2.0,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,
-1.0,,,,,,,,,,,,,,,,,,,,,,0,19607.0,0.0,0,35969.0,0.0,
0.0,1.0,0.0,0.0,,0.03,,7.0,1.0,0.0,0.0,,0.03,,7.0,1.0,0.0,0.0,,0.03,,7.0,0,,,0,,,
1.0,1.0,0.0,0.0,,0.03,,721.0,,,,,,,,,,,,,,,0,19777.0,0.0,0,36309.0,0.0,
2.0,6.0,6.0,0.0,5905.0,0.03,2.28,314.0,,,,,,,,1.0,0.0,0.0,,0.03,,58.0,0,,,0,,,
3.0,7.0,12.0,0.0,6452.0,0.04,372.16,2118.0,1.0,0.0,0.0,,0.03,,668.0,,1.0,0.0,5211.0,0.03,1.48,,0,20137.0,81.0,0,36409.0,99.0,
4.0,12.0,16.0,0.0,9565.0,0.04,417.29,2494.0,,1.0,0.0,5821.0,0.03,1.41,,,1.0,0.0,5251.0,0.03,36.9,,0,,,,,,
5.0,14.0,27.0,0.0,8318.0,0.06,831.25,4299.0,,1.0,0.0,5861.0,0.03,34.22,,1.0,1.0,0.0,5291.0,0.03,34.22,724.0,0,20717.0,78.0,0,36509.0,99.0,
6.0,12.0,32.0,0.0,11072.0,0.06,827.48,2379.0,,1.0,0.0,5901.0,0.03,35.84,,,1.0,0.0,5331.0,0.03,41.21,,0,,,0,,,
7.0,9.0,34.0,0.0,13335.0,0.06,1197.4,1438.0,,1.0,0.0,5941.0,0.03,34.7,,1.0,1.0,0.0,5371.0,0.03,34.22,20.0,0,20973.0,79.0,0,36509.0,96.0,
8.0,3.0,30.0,0.0,14023.0,0.06,1824.75,1055.0,,1.0,0.0,5981.0,0.03,35.47,,,2.0,0.0,5464.0,0.03,62.91,,0,,,0,,,
9.0,7.0,34.0,0.0,14191.0,0.07,1777.33,688.0,,1.0,0.0,6021.0,0.03,36.17,,1.0,2.0,0.0,,0.03,,23.0,0,,,0,,,
10.0,7.0,33.0,0.0,14654.0,0.07,1818.77,734.0,1.0,1.0,0.0,,0.03,,15.0,,3.0,0.0,5600.0,0.03,97.82,,0,21101.0,79.0,0,36509.0,87.0,
11.0,12.0,37.0,0.0,14853.0,0.07,1715.64,1979.0,,2.0,0.0,6087.0,0.03,42.48,,2.0,4.0,0.0,6387.0,0.03,97.6,951.0,0,,,0,,,
12.0,10.0,37.0,0.0,15290.0,0.07,1498.93,2012.0,,2.0,0.0,6167.0,0.03,65.23,,,4.0,0.0,6547.0,0.03,139.69,,0,21229.0,72.0,0,36767.0,72.0,
13.0,4.0,36.0,0.0,15367.0,0.07,1981.29,823.0,,2.0,0.0,6247.0,0.03,70.32,,,3.0,0.0,6256.0,0.03,127.34,,0,,,0,,,
14.0,12.0,40.0,0.0,16060.0,0.09,2117.41,2727.0,2.0,2.0,0.0,6327.0,0.03,65.83,793.0,3.0,4.0,0.0,,0.03,,1175.0,0,21327.0,79.0,0,36809.0,90.0,
15.0,10.0,48.0,0.0,18098.0,0.1,1409.73,1689.0,,3.0,0.0,6485.0,0.03,95.84,,2.0,5.0,0.0,6409.0,0.03,106.66,657.0,0,,,0,,,
16.0,7.0,51.0,0.0,21417.0,0.1,1666.68,1393.0,2.0,4.0,0.0,,0.03,,430.0,1.0,7.0,0.0,7424.0,0.04,157.05,150.0,0,21997.0,84.0,0,36979.0,99.0,
17.0,5.0,44.0,0.0,20194.0,0.1,2019.7,1846.0,,4.0,0.0,6960.0,0.03,116.0,,1.0,7.0,0.0,7704.0,0.04,235.2,25.0,0,,,0,,,
18.0,10.0,47.0,0.0,20890.0,0.1,1824.42,1752.0,,3.0,0.0,6644.0,0.03,130.62,,2.0,8.0,0.0,7438.0,0.04,243.02,46.0,0,22053.0,91.0,0,36979.0,99.0,
19.0,5.0,42.0,0.0,20106.0,0.1,1777.86,1052.0,2.0,4.0,0.0,6900.0,0.03,109.4,415.0,,,,,,,,0,,,0,,,
20.0,8.0,34.0,0.0,19438.0,0.09,1928.46,1218.0,,3.0,0.0,6903.0,0.03,143.27,,,8.0,0.0,7619.0,0.04,289.01,,0,22053.0,91.0,0,37107.0,99.0,
21.0,10.0,36.0,0.0,18216.0,0.09,1692.78,1275.0,1.0,3.0,0.0,,0.03,,40.0,,7.0,0.0,7623.0,0.04,248.8,,0,,,0,,,
22.0,9.0,35.0,0.0,16360.0,0.08,1801.87,1275.0,1.0,4.0,0.0,7092.0,0.04,122.24,22.0,,6.0,0.0,7447.0,0.04,232.69,,0,22053.0,87.0,0,37107.0,98.0,
23.0,6.0,32.0,0.0,16840.0,0.08,1701.02,910.0,,5.0,0.0,7290.0,0.04,143.93,,,6.0,0.0,7687.0,0.04,201.69,,0,,,0,,,
24.0,9.0,37.0,0.0,18061.0,0.09,1736.86,2264.0,2.0,5.0,0.0,7200.0,0.04,146.49,267.0,,6.0,0.0,7927.0,0.04,208.02,,0,,,0,,,
25.0,8.0,33.0,0.0,17869.0,0.09,1679.85,2863.0,,5.0,0.0,7400.0,0.04,164.31,,,5.0,0.0,7554.0,0.04,188.86,,0,22053.0,87.0,0,37107.0,92.0,
26.0,8.0,32.0,0.0,18865.0,0.09,1322.21,3730.0,1.0,6.0,0.0,7629.0,0.04,181.67,15.0,,,,,,,,0,,,0,,,
27.0,9.0,32.0,0.0,18459.0,0.08,1373.63,1852.0,,,,,,,,,2.0,0.0,5781.0,0.03,118.92,,0,22053.0,83.0,0,37107.0,77.0,
28.0,10.0,26.0,0.0,13937.0,0.07,1427.35,2463.0,,5.0,0.0,6368.0,0.03,172.83,,,1.0,0.0,5480.0,0.03,54.92,,0,,,0,,,
29.0,5.0,26.0,0.0,14419.0,0.07,1256.32,674.0,,4.0,0.0,6402.0,0.03,139.1,,,1.0,0.0,5520.0,0.03,34.31,,0,22053.0,86.0,0,37107.0,99.0,
