t_rel,model_1_arrivals,model_1_running,model_1_queue,model_1_tokens,model_1_token_usage,model_1_gen_tps,model_1_prefill_tok,model_4_arrivals,model_4_running,model_4_queue,model_4_tokens,model_4_token_usage,model_4_gen_tps,model_4_prefill_tok,model_5_arrivals,model_5_running,model_5_queue,model_5_tokens,model_5_token_usage,model_5_gen_tps,model_5_prefill_tok,gpu0_sched_qlen,gpu0_mem_mib,gpu0_util,gpu1_sched_qlen,gpu1_mem_mib,gpu1_util,ctrl_actions
31.0,,2.0,0.0,5460.0,0.03,69.11,,2.0,3.0,0.0,0.0,0.03,,56.0,,1.0,0.0,6552.0,0.03,68.72,,0,,,0,,,
32.0,,2.0,0.0,5540.0,0.03,70.57,,,4.0,0.0,5660.0,0.03,129.45,,2.0,0.0,0.0,0.0,0.04,36.73,695.0,0,36583.0,77.0,0,20143.0,65.0,
33.0,1.0,2.0,0.0,0.0,0.03,65.16,239.0,,3.0,0.0,5729.0,0.03,119.14,,,1.0,0.0,7735.0,0.04,68.17,,0,,,0,,,
34.0,,2.0,0.0,5628.0,0.03,86.22,,,2.0,0.0,6495.0,0.03,77.79,,,1.0,0.0,7775.0,0.04,75.75,,0,36583.0,86.0,0,20143.0,82.0,
35.0,,2.0,0.0,5708.0,0.03,66.03,,,2.0,0.0,6575.0,0.03,69.36,,,1.0,0.0,7855.0,0.04,75.09,,0,,,0,,,
36.0,,,,,,,,1.0,3.0,0.0,7046.0,0.03,66.16,385.0,,1.0,0.0,7935.0,0.04,74.87,,0,36583.0,99.0,0,20143.0,88.0,
37.0,,2.0,0.0,5788.0,0.03,68.69,,,,,,,,,,1.0,0.0,8015.0,0.04,75.06,,0,,,0,,,
38.0,,2.0,0.0,5868.0,0.03,67.6,,1.0,2.0,0.0,6211.0,0.03,61.35,835.0,,,,,,,,0,,,0,,,
39.0,,2.0,0.0,5948.0,0.03,70.95,,1.0,2.0,0.0,6291.0,0.03,67.61,381.0,,,,,,,,0,36649.0,92.0,0,20143.0,0.0,
40.0,,1.0,0.0,5591.0,0.03,50.64,,,2.0,0.0,6371.0,0.03,70.79,,,,,,,,,0,,,0,,,
41.0,,1.0,0.0,5631.0,0.03,33.3,,1.0,2.0,0.0,0.0,0.03,66.54,675.0,1.0,1.0,0.0,7202.0,0.04,10.13,6.0,0,36649.0,99.0,0,20143.0,0.0,
42.0,,1.0,0.0,5671.0,0.03,35.64,,1.0,3.0,0.0,0.0,0.04,,724.0,1.0,2.0,0.0,7341.0,0.04,126.44,24.0,0,,,0,,,
43.0,2.0,2.0,0.0,0.0,0.03,,445.0,,3.0,0.0,7241.0,0.04,94.06,,,2.0,0.0,7421.0,0.04,132.51,,0,36905.0,98.0,0,20143.0,82.0,
44.0,,1.0,0.0,5243.0,0.03,46.13,,,1.0,0.0,6894.0,0.03,43.17,,1.0,3.0,0.0,7933.0,0.04,173.06,333.0,0,,,0,,,
45.0,,1.0,0.0,5283.0,0.03,75.25,,,,,,,,,,2.0,0.0,7741.0,0.04,141.59,,0,36905.0,88.0,0,20143.0,87.0,
46.0,2.0,1.0,0.0,6185.0,0.03,65.55,50.0,,,,,,,,,1.0,0.0,7562.0,0.04,76.21,,0,,,0,,,
47.0,,1.0,0.0,6265.0,0.03,72.05,,,,,,,,,,1.0,0.0,7602.0,0.04,71.73,,0,36905.0,88.0,0,20143.0,87.0,
48.0,,1.0,0.0,6305.0,0.03,44.03,,1.0,0.0,0.0,0.0,0.04,,157.0,,1.0,0.0,7682.0,0.04,67.82,,0,,,0,,,
49.0,1.0,1.0,0.0,0.0,0.03,,769.0,,1.0,0.0,7353.0,0.04,8.48,,,1.0,0.0,7762.0,0.04,66.04,,0,36905.0,99.0,0,20143.0,71.0,
50.0,,2.0,0.0,7119.0,0.03,34.14,,,1.0,0.0,7393.0,0.04,34.29,,,,,,,,,0,,,0,,,
51.0,,1.0,0.0,6385.0,0.03,38.06,,,1.0,0.0,7433.0,0.04,35.2,,1.0,0.0,0.0,0.0,0.04,,31.0,0,36949.0,99.0,0,20143.0,0.0,
52.0,,1.0,0.0,6425.0,0.03,34.27,,1.0,2.0,0.0,7512.0,0.04,45.49,25.0,2.0,2.0,0.0,0.0,0.04,133.62,389.0,0,,,0,,,
53.0,,1.0,0.0,6465.0,0.03,34.37,,2.0,3.0,0.0,0.0,0.04,84.07,333.0,,2.0,0.0,7743.0,0.04,150.12,,0,36949.0,77.0,0,20143.0,67.0,
54.0,,1.0,0.0,6505.0,0.03,33.51,,,3.0,0.0,7792.0,0.04,105.97,,,2.0,0.0,7903.0,0.04,149.16,,0,,,0,,,
55.0,1.0,1.0,0.0,0.0,0.03,,6.0,1.0,3.0,0.0,0.0,0.04,,49.0,,2.0,0.0,7983.0,0.04,134.58,,0,,,0,,,
56.0,1.0,1.0,0.0,0.0,0.03,61.8,306.0,2.0,5.0,0.0,0.0,0.04,125.6,924.0,1.0,1.0,0.0,0.0,0.04,61.29,316.0,0,36949.0,99.0,0,20143.0,90.0,
57.0,,1.0,0.0,6585.0,0.03,37.1,,1.0,5.0,0.0,0.0,0.04,168.63,21.0,,1.0,0.0,7853.0,0.04,85.04,,0,,,0,,,
58.0,,1.0,0.0,6625.0,0.03,35.41,,,6.0,0.0,7560.0,0.04,198.84,,,,,,,,,0,36949.0,99.0,0,20143.0,18.0,
59.0,1.0,1.0,0.0,0.0,0.03,34.19,84.0,,5.0,0.0,7716.0,0.04,205.73,,1.0,0.0,0.0,0.0,0.04,,71.0,0,,,0,,,
60.0,2.0,4.0,0.0,6156.0,0.03,65.95,345.0,,5.0,0.0,7916.0,0.04,175.71,,1.0,2.0,0.0,7338.0,0.04,79.21,18.0,0,36949.0,99.0,0,20143.0,88.0,
61.0,1.0,3.0,0.0,0.0,0.03,,190.0,,,,,,,,1.0,2.0,0.0,0.0,0.04,128.42,161.0,0,,,0,,,
62.0,,4.0,0.0,5540.0,0.03,128.71,,,5.0,0.0,8116.0,0.04,174.99,,,1.0,0.0,7369.0,0.04,110.51,,0,36949.0,99.0,0,20143.0,88.0,
63.0,,2.0,0.0,5556.0,0.03,90.58,,,5.0,0.0,7292.0,0.04,160.83,,,1.0,0.0,7449.0,0.04,75.09,,0,,,0,,,
64.0,1.0,3.0,0.0,6190.0,0.03,68.66,548.0,1.0,5.0,0.0,0.0,0.04,172.4,662.0,1.0,2.0,0.0,7599.0,0.04,137.08,20.0,0,37017.0,99.0,0,20143.0,86.0,
65.0,1.0,4.0,0.0,6453.0,0.03,103.52,136.0,,6.0,0.0,7692.0,0.04,167.86,,,2.0,0.0,7679.0,0.04,128.85,,0,,,0,,,
66.0,,,,,,,,,,,,,,,,2.0,0.0,7839.0,0.04,134.91,,0,37077.0,99.0,0,20143.0,87.0,
67.0,,4.0,0.0,6613.0,0.03,135.26,,1.0,4.0,0.0,0.0,0.04,163.28,257.0,,2.0,0.0,7999.0,0.04,134.98,,0,,,0,,,
68.0,,3.0,0.0,6099.0,0.03,134.15,,,4.0,0.0,7328.0,0.04,132.99,,,1.0,0.0,7518.0,0.04,112.49,,0,37077.0,84.0,0,20143.0,68.0,
69.0,1.0,4.0,0.0,6243.0,0.03,99.84,23.0,,3.0,0.0,6889.0,0.03,132.88,,1.0,1.0,0.0,0.0,0.04,67.59,28.0,0,,,0,,,
70.0,1.0,5.0,0.0,6687.0,0.03,151.58,265.0,,3.0,0.0,7009.0,0.03,106.08,,1.0,2.0,0.0,0.0,0.04,148.3,12.0,0,,,0,,,
71.0,,4.0,0.0,6563.0,0.03,138.36,,,2.0,0.0,6184.0,0.03,83.95,,,2.0,0.0,7796.0,0.04,220.75,,0,37077.0,89.0,0,20143.0,59.0,
72.0,,4.0,0.0,6723.0,0.03,135.84,,,2.0,0.0,6264.0,0.03,70.13,,,2.0,0.0,7876.0,0.04,133.09,,0,,,0,,,
73.0,,,,,,,,,,,,,,,1.0,2.0,0.0,7400.0,0.04,103.23,5.0,0,37077.0,99.0,0,20143.0,64.0,
74.0,,4.0,0.0,6883.0,0.03,135.33,,,2.0,0.0,6344.0,0.03,67.67,,1.0,2.0,0.0,7340.0,0.04,129.29,21.0,0,,,0,,,
75.0,1.0,3.0,0.0,0.0,0.03,108.53,22.0,,2.0,0.0,6424.0,0.03,70.6,,1.0,3.0,0.0,7767.0,0.04,163.64,335.0,0,37077.0,98.0,0,20143.0,88.0,
76.0,,4.0,0.0,6627.0,0.03,123.68,,,1.0,0.0,5951.0,0.03,60.66,,,1.0,0.0,7402.0,0.04,121.76,,0,,,0,,,
77.0,,4.0,0.0,6787.0,0.03,136.33,,1.0,2.0,0.0,6048.0,0.03,51.67,37.0,,,,,,,,0,37077.0,100.0,0,20143.0,0.0,
78.0,,3.0,0.0,6364.0,0.03,114.63,,,2.0,0.0,6128.0,0.03,68.72,,,,,,,,,0,,,0,,,
79.0,1.0,3.0,0.0,0.0,0.03,,290.0,,1.0,0.0,8329.0,0.04,45.27,,,,,,,,,0,37077.0,99.0,0,20143.0,0.0,
