t_rel,model_1_arrivals,model_1_running,model_1_queue,model_1_tokens,model_1_token_usage,model_1_gen_tps,model_1_prefill_tok,model_4_arrivals,model_4_running,model_4_queue,model_4_tokens,model_4_token_usage,model_4_gen_tps,model_4_prefill_tok,model_5_arrivals,model_5_running,model_5_queue,model_5_tokens,model_5_token_usage,model_5_gen_tps,model_5_prefill_tok,gpu0_sched_qlen,gpu0_mem_mib,gpu0_util,gpu1_sched_qlen,gpu1_mem_mib,gpu1_util,ctrl_actions
-12.0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
-11.0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
-10.0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
-9.0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
-8.0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
-7.0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
-6.0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
-5.0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
-4.0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
-3.0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
-2.0,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,
-1.0,,,,,,,,,,,,,,,,,,,,,,0,20111.0,0.0,0,35969.0,16.0,
0.0,1.0,0.0,0.0,,0.03,,7.0,1.0,0.0,0.0,,0.03,,7.0,1.0,0.0,0.0,,0.03,,7.0,0,,,0,,,
1.0,3.0,2.0,0.0,5439.0,0.03,2.1,293.0,9.0,6.0,0.0,,0.03,,2287.0,6.0,5.0,0.0,,0.03,,1566.0,0,19777.0,0.0,0,36309.0,0.0,
2.0,8.0,7.0,0.0,6784.0,0.03,306.84,1944.0,11.0,18.0,0.0,,0.05,,2804.0,16.0,19.0,0.0,,0.05,,3794.0,0,,,0,,,
3.0,11.0,17.0,0.0,6455.0,0.04,411.83,903.0,8.0,23.0,0.0,9748.0,0.05,14.28,1221.0,9.0,29.0,0.0,,0.06,,2885.0,0,19963.0,89.0,0,38027.0,90.0,
4.0,13.0,27.0,0.0,7405.0,0.05,750.82,1952.0,6.0,25.0,0.0,,0.05,,634.0,7.0,31.0,0.0,12372.0,0.07,14.93,2390.0,0,,,0,,,
