request_id,model,arrival_time,completion_time,prompt_tokens,output_tokens,ttft_s,tpot_s,e2e_s,ttft_slo_s,tpot_slo_s,ttft_slo_met,tpot_slo_met,joint_slo_met,success,in_measurement_window
model_2#0,model_2,0.08008317125203554,2.099597306264322,235,37,0.19247150421142578,0.04924271557782147,2.0195141350122867,0.22660613059997559,0.03378264047205448,1,0,0,1,0
model_5#0,model_5,0.10506659997099088,0.842341425965964,447,16,0.22083497047424316,0.03162524104118347,0.7372748259949731,0.6448996067047119,0.040172288194298744,1,1,1,1,0
model_1#0,model_1,0.20641437006780428,0.8327318710631599,304,17,0.10132479667663574,0.030563256319831398,0.6263175009953557,0.14725327491760254,0.021735001355409622,1,0,0,1,0
model_3#0,model_3,0.304795446467155,1.388809414474794,584,17,0.20222043991088867,0.051359793719123394,1.084013968007639,0.3281092643737793,0.03691067732870579,1,0,0,1,0
model_2#1,model_2,0.33229308031398846,4.7816715503165454,185,85,0.07491040229797363,0.05139189327464384,4.449378470002557,0.22660613059997559,0.03378264047205448,1,0,0,1,0
model_6#0,model_6,0.5161779185412732,1.8307953375454806,354,16,0.23817229270935059,0.06685236096382141,1.3146174190042075,0.6012606620788574,0.037298424169421196,1,0,0,1,0
model_6#1,model_6,1.0163385991170168,2.134015508111343,313,16,0.13463068008422852,0.0611080676317215,1.1176769089943264,0.6012606620788574,0.037298424169421196,1,0,0,1,0
model_6#2,model_6,1.0624267171600204,2.92511507216234,352,29,0.24393153190612793,0.055596121426286366,1.8626883550023194,0.6012606620788574,0.037298424169421196,1,0,0,1,0
model_5#1,model_5,1.6410383714774641,12.827198064487732,10,240,0.03956723213195801,0.04634875257809957,11.186159693010268,0.6448996067047119,0.040172288194298744,1,0,0,1,0
model_3#1,model_3,1.864578029624016,24.166661304628423,51,346,0.05234813690185547,0.0642738211361659,22.302083275004406,0.3281092643737793,0.03691067732870579,1,0,0,1,0
model_1#1,model_1,1.9959054807080732,15.766974834721962,59,314,0.04381418228149414,0.04368496244880044,13.771069354013889,0.14725327491760254,0.021735001355409622,1,0,0,1,0
model_6#3,model_6,2.161646479427766,20.68357569442731,352,384,0.13822317123413086,0.04784571503599485,18.521929214999545,0.6012606620788574,0.037298424169421196,1,0,0,1,0
model_2#2,model_2,2.2108764411200252,6.5992894991172655,512,84,0.08858108520507812,0.05110299019586472,4.388413057997241,0.22660613059997559,0.03378264047205448,1,0,0,1,0
model_2#3,model_2,2.427914957226683,17.903211898230445,89,362,0.10629796981811523,0.04241983007989536,15.475296941003762,0.22660613059997559,0.03378264047205448,1,0,0,1,0
model_1#2,model_1,3.0138899304631,3.94259951946622,130,16,0.13961458206176758,0.04900933802127838,0.9287095890031196,0.14725327491760254,0.021735001355409622,1,0,0,1,0
model_3#2,model_3,3.037297446150649,27.123559834145443,61,384,0.12384390830993652,0.06237166250745455,24.086262387994793,0.3281092643737793,0.03691067732870579,1,0,0,1,0
model_6#4,model_6,3.167066554816871,21.351303771809057,24,384,0.07696795463562012,0.047124346097310386,18.184237216992187,0.6012606620788574,0.037298424169421196,1,0,0,1,0
model_6#5,model_6,3.1905225722840114,4.614318584277557,8,16,0.13171839714050293,0.08047585189342499,1.423796011993545,0.6012606620788574,0.037298424169421196,1,0,0,1,0
model_6#6,model_6,3.4199569688956,7.286865693897449,15,41,0.06559514999389648,0.09260203198688786,3.8669087250018492,0.6012606620788574,0.037298424169421196,1,0,0,1,0
model_6#7,model_6,3.5036234174861165,7.4927527504862805,13,46,0.055190324783325195,0.08540302774180537,3.9891293330001645,0.6012606620788574,0.037298424169421196,1,0,0,1,0
model_6#8,model_6,3.5815972091721457,4.81812860318209,293,16,0.09403538703918457,0.07114037871360779,1.236531394009944,0.6012606620788574,0.037298424169421196,1,0,0,1,0
model_6#9,model_6,3.7978180018852807,6.207676352876552,255,16,0.10749650001525879,0.143575981259346,2.4098583509912714,0.6012606620788574,0.037298424169421196,1,0,0,1,0
model_3#3,model_3,3.804595056216404,7.68839668221428,238,48,0.09591436386108398,0.07875071962674458,3.883801625997876,0.3281092643737793,0.03691067732870579,1,0,0,1,0
model_6#10,model_6,3.8866886039275594,21.665275328918888,427,384,0.19613885879516602,0.045757053419947624,17.778586724991328,0.6012606620788574,0.037298424169421196,1,0,0,1,0
model_3#4,model_3,4.102005821593415,6.25392360960432,434,16,0.11856770515441895,0.12675827741622925,2.1519177880109055,0.3281092643737793,0.03691067732870579,1,0,0,1,0
model_3#5,model_3,4.290776628811309,27.256186043814104,23,368,0.09674334526062012,0.062097999712695244,22.965409415002796,0.3281092643737793,0.03691067732870579,1,0,0,1,0
model_6#11,model_6,4.2988250304964115,18.77413683849347,11,311,0.09020781517028809,0.04622372247015165,14.475311807997059,0.6012606620788574,0.037298424169421196,1,0,0,1,0
model_3#6,model_3,4.412233131960545,6.744399248965363,78,16,0.20006775856018066,0.13297683000564575,2.3321661170048174,0.3281092643737793,0.03691067732870579,1,0,0,1,0
model_1#3,model_1,4.509334003529164,17.335850432520616,10,308,0.06876349449157715,0.04139535922508735,12.826516428991454,0.14725327491760254,0.021735001355409622,1,0,0,1,0
model_6#12,model_6,4.649025694968465,15.840354670966214,83,238,0.05226850509643555,0.04676209878520805,11.191328975997749,0.6012606620788574,0.037298424169421196,1,0,0,1,0
model_6#13,model_6,4.876406808021057,7.563919478009849,76,31,0.11341261863708496,0.08288895699285692,2.6875126699887915,0.6012606620788574,0.037298424169421196,1,0,0,1,0
model_6#14,model_6,4.9123848722576415,6.711738362244612,335,16,0.28748250007629395,0.09414626657962799,1.79935348998697,0.6012606620788574,0.037298424169421196,1,0,0,1,0
model_3#7,model_3,4.964917448443222,7.296610035445402,232,16,0.5036342144012451,0.11370855569839478,2.3316925870021805,0.3281092643737793,0.03691067732870579,0,0,0,1,0
model_3#8,model_3,4.982545530267392,10.35778714226429,305,60,0.4852592945098877,0.08138938347498575,5.375241611996898,0.3281092643737793,0.03691067732870579,0,0,0,1,0
model_6#15,model_6,4.982683809342478,11.730761763348045,134,136,0.21609878540039062,0.04796899416867424,6.748077954005566,0.6012606620788574,0.037298424169421196,1,0,0,1,0
model_3#9,model_3,4.9894427053100205,7.2958470223116,312,16,0.4788832664489746,0.11374552547931671,2.3064043170015793,0.3281092643737793,0.03691067732870579,0,0,0,1,0
model_3#10,model_3,5.016508718016222,19.4439396190087,17,196,0.4525766372680664,0.07126112860076282,14.427430900992476,0.3281092643737793,0.03691067732870579,0,0,0,1,0
model_6#16,model_6,5.077506746479116,16.35754225147764,379,246,1.0169472694396973,0.04167722589601346,11.280035504998523,0.6012606620788574,0.037298424169421196,0,0,0,1,0
