Real trace file: /workspace/prism-merge/exp/workloads/final-compare/bursty_r8_s3.pkl
[PRISM_DIRECT] 3372 requests, span 419.5s
Starting TP benchmark: released-prototype_bursty_rate8_seed3
Generated 3372 requests
Request model_6#28 arrives at 1586946.508141726, sleeping for 0.08495317166671157 seconds
Request model_3#25 arrives at 1586946.593640923, sleeping for 0.008162563666701317 seconds
Request model_6#29 arrives at 1586946.602818877, sleeping for 0.01329278526827693 seconds
Request model_3#26 arrives at 1586946.617740382, sleeping for 0.21329891541972756 seconds
Request model_6#30 arrives at 1586946.83206393, sleeping for 0.10489825624972582 seconds
Request model_6#31 arrives at 1586946.938343384, sleeping for 0.1543020426761359 seconds
Request model_3#27 arrives at 1586947.09376129, sleeping for 0.0610868742223829 seconds
Request model_3#28 arrives at 1586947.155625803, sleeping for 0.2252379038836807 seconds
Request model_3#29 arrives at 1586947.382147107, sleeping for 0.3445996574591845 seconds
Request model_3#30 arrives at 1586947.727993135, sleeping for 0.15882213646546006 seconds
Request model_3#31 arrives at 1586947.887610462, sleeping for 0.3077646882738918 seconds
Request model_3#32 arrives at 1586948.196096399, sleeping for 0.010539131704717875 seconds
Request model_2#7 arrives at 1586948.206898655, sleeping for 0.12106008478440344 seconds
Request model_6#32 arrives at 1586948.328691526, sleeping for 0.03784884558990598 seconds
Request model_3#33 arrives at 1586948.367395127, sleeping for 0.044753506081178784 seconds
Request model_1#13 arrives at 1586948.412667704, sleeping for 0.02989895874634385 seconds
Request model_2#8 arrives at 1586948.443418339, sleeping for 0.00900190300308168 seconds
Request model_3#34 arrives at 1586948.454114604, sleeping for 0.1472657243721187 seconds
Request model_1#14 arrives at 1586948.601904577, sleeping for 0.16909984056837857 seconds
Request model_1#15 arrives at 1586948.772168268, sleeping for 0.3716139211319387 seconds
Request model_1#16 arrives at 1586949.145864732, sleeping for 0.08783128345385194 seconds
Request model_3#35 arrives at 1586949.235503209, sleeping for 0.11869717156514525 seconds
Request model_1#17 arrives at 1586949.354938995, sleeping for 0.007208366645500064 seconds
Request model_6#33 arrives at 1586949.36290934, sleeping for 0.06524028326384723 seconds
Request model_3#36 arrives at 1586949.42862146, sleeping for 0.09253391157835722 seconds
Request model_3#37 arrives at 1586949.521446779, sleeping for 0.748390183551237 seconds
Request model_3#38 arrives at 1586950.270663191, sleeping for 0.04230164410546422 seconds
Request model_1#18 arrives at 1586950.313160388, sleeping for 0.3783458946272731 seconds
Request model_3#39 arrives at 1586950.69227265, sleeping for 0.002607484348118305 seconds
Request model_3#40 arrives at 1586950.695946736, sleeping for 0.41903019323945045 seconds
Request model_3#41 arrives at 1586951.116965862, sleeping for 0.05702145444229245 seconds
Request model_6#34 arrives at 1586951.174393054, sleeping for 0.03718497743830085 seconds
Request model_1#19 arrives at 1586951.212866653, sleeping for 0.0005775645840913057 seconds
Request model_6#35 arrives at 1586951.214377434, sleeping for 0.018029632279649377 seconds
Request model_3#42 arrives at 1586951.233009974, sleeping for 0.026846393011510372 seconds
Request model_1#20 arrives at 1586951.260859509, sleeping for 0.08349296939559281 seconds
Request model_1#21 arrives at 1586951.345504711, sleeping for 0.19183018687181175 seconds
Request model_1#22 arrives at 1586951.53818696, sleeping for 0.18573890696279705 seconds
Request model_6#36 arrives at 1586951.724503884, sleeping for 0.033329671481624246 seconds
Request model_6#37 arrives at 1586951.758467221, sleeping for 0.0038236279506236315 seconds
Request model_1#23 arrives at 1586951.763233494, sleeping for 0.008134806528687477 seconds
Request model_6#38 arrives at 1586951.772306418, sleeping for 0.18466721894219518 seconds
Request model_3#43 arrives at 1586951.958069358, sleeping for 0.07026656274683774 seconds
Request model_3#44 arrives at 1586952.028846093, sleeping for 0.0316700073890388 seconds
Request model_3#45 arrives at 1586952.061734923, sleeping for 0.053013018099591136 seconds
Request model_3#46 arrives at 1586952.116548227, sleeping for 0.11118402052670717 seconds
Request model_3#47 arrives at 1586952.22848704, sleeping for 0.11265216348692775 seconds
Request model_6#39 arrives at 1586952.343270784, sleeping for 0.15740612638182938 seconds
Request model_6#40 arrives at 1586952.501552251, sleeping for 0.3209191777277738 seconds
Request model_3#48 arrives at 1586952.822963001, sleeping for 0.1823927592486143 seconds
Request model_3#49 arrives at 1586953.006862498, sleeping for 0.4039143491536379 seconds
Request model_6#41 arrives at 1586953.412364926, sleeping for 0.14983434230089188 seconds
Request model_6#42 arrives at 1586953.562427027, sleeping for 0.1354331485927105 seconds
Request model_3#50 arrives at 1586953.698800881, sleeping for 0.04584342194721103 seconds
Request model_3#51 arrives at 1586953.745157716, sleeping for 0.3315454223193228 seconds
Request model_6#43 arrives at 1586954.077899295, sleeping for 0.03925606422126293 seconds
Request model_3#52 arrives at 1586954.118366448, sleeping for 0.03993599535897374 seconds
Request model_3#53 arrives at 1586954.158897292, sleeping for 0.13562951353378594 seconds
Request model_1#24 arrives at 1586954.295359527, sleeping for 0.27294761617667973 seconds
Request model_6#44 arrives at 1586954.568642001, sleeping for 0.229939887765795 seconds
Request model_3#54 arrives at 1586954.79988194, sleeping for 0.08426888263784349 seconds
Request model_1#25 arrives at 1586954.884574942, sleeping for 0.010660517262294888 seconds
