Real trace file: /workspace/prism-merge/exp/workloads/final-compare/bursty_r14_s3.pkl
[PRISM_DIRECT] 5908 requests, span 419.8s
Starting TP benchmark: paper-faithful-v6_bursty_rate14_seed3
Generated 5908 requests
Request model_1#0 arrives at 1634283.996249364, sleeping for 0.0800819811411202 seconds
Request model_6#0 arrives at 1634284.077441073, sleeping for 0.006434601731598377 seconds
Request model_3#0 arrives at 1634284.08481393, sleeping for 0.0733259110711515 seconds
Request model_6#1 arrives at 1634284.158710091, sleeping for 0.15191703592427075 seconds
Request model_1#1 arrives at 1634284.311843642, sleeping for 0.016698842402547598 seconds
Request model_3#1 arrives at 1634284.329072329, sleeping for 0.11252672225236893 seconds
Request model_6#2 arrives at 1634284.441927906, sleeping for 0.03340316517278552 seconds
Request model_3#2 arrives at 1634284.475829337, sleeping for 0.03659757552668452 seconds
Request model_1#2 arrives at 1634284.513669337, sleeping for 0.0645890929736197 seconds
Request model_3#3 arrives at 1634284.578687855, sleeping for 0.001496009761467576 seconds
Request model_5#0 arrives at 1634284.580471324, sleeping for 0.17056892323307693 seconds
Request model_3#4 arrives at 1634284.752320268, sleeping for 0.23702227184548974 seconds
Request model_3#5 arrives at 1634284.989970754, sleeping for 0.022616079077124596 seconds
Request model_3#6 arrives at 1634285.01295429, sleeping for 0.045720651280134916 seconds
Request model_6#3 arrives at 1634285.059698505, sleeping for 0.11249559815041721 seconds
Request model_3#7 arrives at 1634285.173037245, sleeping for 0.0038010445423424244 seconds
Request model_3#8 arrives at 1634285.177285997, sleeping for 0.035835808608680964 seconds
Request model_3#9 arrives at 1634285.213548289, sleeping for 0.12439571577124298 seconds
Request model_6#4 arrives at 1634285.33884261, sleeping for 0.1041989556979388 seconds
Request model_3#10 arrives at 1634285.444357692, sleeping for 0.06671754084527493 seconds
Request model_3#11 arrives at 1634285.51162777, sleeping for 0.03982173651456833 seconds
Request model_3#12 arrives at 1634285.551935293, sleeping for 0.06514934869483113 seconds
Request model_6#5 arrives at 1634285.618219897, sleeping for 0.04784099804237485 seconds
Request model_3#13 arrives at 1634285.66655133, sleeping for 0.12569407187402248 seconds
Request model_6#6 arrives at 1634285.794409984, sleeping for 0.12850392633117735 seconds
Request model_1#3 arrives at 1634285.923164863, sleeping for 0.06898892181925476 seconds
Request model_6#7 arrives at 1634285.992963794, sleeping for 0.0662409404758364 seconds
Request model_3#14 arrives at 1634286.059792, sleeping for 0.0981029134709388 seconds
Request model_1#4 arrives at 1634286.159212602, sleeping for 0.04791284305974841 seconds
Request model_3#15 arrives at 1634286.207655666, sleeping for 0.013989518163725734 seconds
Request model_3#16 arrives at 1634286.222977783, sleeping for 0.03658323432318866 seconds
Request model_3#17 arrives at 1634286.261182795, sleeping for 0.03269874956458807 seconds
Request model_3#18 arrives at 1634286.294156802, sleeping for 0.09060137066990137 seconds
Request model_6#8 arrives at 1634286.3850706, sleeping for 0.03771898918785155 seconds
Request model_1#5 arrives at 1634286.423302012, sleeping for 0.0008619492873549461 seconds
Request model_6#9 arrives at 1634286.424395978, sleeping for 0.0507317406591028 seconds
Request model_6#10 arrives at 1634286.475501135, sleeping for 0.044255302753299475 seconds
Request model_3#19 arrives at 1634286.520913544, sleeping for 0.11951038497500122 seconds
Request model_6#11 arrives at 1634286.642202285, sleeping for 0.00523201166652143 seconds
Request model_2#0 arrives at 1634286.648084025, sleeping for 0.055291401920840144 seconds
Request model_6#12 arrives at 1634286.703967547, sleeping for 0.21806219685822725 seconds
Request model_1#6 arrives at 1634286.92271588, sleeping for 0.08742308453656733 seconds
Request model_1#7 arrives at 1634287.01215478, sleeping for 0.013439963571727276 seconds
Request model_3#20 arrives at 1634287.027558828, sleeping for 0.1357559508178383 seconds
Request model_1#8 arrives at 1634287.164440788, sleeping for 0.001262967474758625 seconds
Request model_3#21 arrives at 1634287.166512348, sleeping for 0.02025835821405053 seconds
Request model_3#22 arrives at 1634287.187236043, sleeping for 0.22896986990235746 seconds
Request model_3#23 arrives at 1634287.417309423, sleeping for 0.013026145985350013 seconds
Request model_3#24 arrives at 1634287.432051898, sleeping for 0.06781978369690478 seconds
Request model_1#9 arrives at 1634287.500853014, sleeping for 0.033252038061618805 seconds
Request model_3#25 arrives at 1634287.535175958, sleeping for 0.04266935517080128 seconds
Request model_6#13 arrives at 1634287.578916258, sleeping for 0.08393257739953697 seconds
Request model_2#1 arrives at 1634287.663171803, sleeping for 0.019674878101795912 seconds
Request model_3#26 arrives at 1634287.683450405, sleeping for 0.04043187550269067 seconds
Request model_6#14 arrives at 1634287.724629663, sleeping for 0.04777500219643116 seconds
Request model_3#27 arrives at 1634287.772849697, sleeping for 0.021217308938503265 seconds
Request model_1#10 arrives at 1634287.795278339, sleeping for 0.014536091824993491 seconds
Request model_3#28 arrives at 1634287.811514611, sleeping for 0.0714230069424957 seconds
Request model_3#29 arrives at 1634287.884834511, sleeping for 0.12008698657155037 seconds
Request model_6#15 arrives at 1634288.006200863, sleeping for 0.13260025205090642 seconds
Request model_3#30 arrives at 1634288.139560306, sleeping for 0.006228940794244409 seconds
Request model_3#31 arrives at 1634288.146845813, sleeping for 0.023516599088907242 seconds
Request model_3#32 arrives at 1634288.171082145, sleeping for 0.06996764149516821 seconds
Request model_6#16 arrives at 1634288.241566771, sleeping for 0.0005792006850242615 seconds
Request model_3#33 arrives at 1634288.242470355, sleeping for 0.05260356958024204 seconds
Request model_6#17 arrives at 1634288.29675981, sleeping for 0.0632898211479187 seconds
Request model_6#18 arrives at 1634288.360487101, sleeping for 0.09854280087165534 seconds
Request model_6#19 arrives at 1634288.556530881, sleeping for 0 seconds
Request model_3#34 arrives at 1634288.557334435, sleeping for 0.015549683012068272 seconds
Request model_3#35 arrives at 1634288.5741106, sleeping for 0.07116396888159215 seconds
Request model_2#2 arrives at 1634288.64555673, sleeping for 0.07707580854184926 seconds
Request model_6#20 arrives at 1634288.723153912, sleeping for 0.006629875628277659 seconds
Request model_6#21 arrives at 1634288.730893471, sleeping for 0.03193420567549765 seconds
Request model_6#22 arrives at 1634288.763669047, sleeping for 0.08561135991476476 seconds
Request model_3#36 arrives at 1634288.849919922, sleeping for 0.019965626299381256 seconds
Request model_3#37 arrives at 1634288.870899587, sleeping for 0.0017561849672347307 seconds
