Real trace file: /workspace/prism-exp/exp/workloads/paper-faithful-v4/bursty_r8_s1.pkl
[PRISM_DIRECT] 3387 requests, span 419.6s
Starting TP benchmark: tp-aa-strict_r8_s1
Generated 3387 requests
Request model_5#0 arrives at 1520684.115968156, sleeping for 0.19895600620657206 seconds
Request model_2#0 arrives at 1520684.315526765, sleeping for 0.17789142881520092 seconds
Request model_2#1 arrives at 1520684.494547892, sleeping for 0.035011556930840015 seconds
Request model_2#2 arrives at 1520684.530754827, sleeping for 0.08822935097850859 seconds
Request model_5#1 arrives at 1520684.619871278, sleeping for 0.08269073837436736 seconds
Request model_2#3 arrives at 1520684.703050366, sleeping for 0.13269545114599168 seconds
Request model_2#4 arrives at 1520684.836251499, sleeping for 0.09857368702068925 seconds
Request model_5#2 arrives at 1520684.935105631, sleeping for 0.06706367060542107 seconds
Request model_2#5 arrives at 1520685.003796123, sleeping for 0.03138131718151271 seconds
Request model_2#6 arrives at 1520685.035873737, sleeping for 0.25271016801707447 seconds
Request model_2#7 arrives at 1520685.28954951, sleeping for 0.38893565931357443 seconds
Request model_5#3 arrives at 1520685.679628281, sleeping for 0.1483785763848573 seconds
Request model_2#8 arrives at 1520685.829387434, sleeping for 0.1348099121823907 seconds
Request model_3#0 arrives at 1520685.965820111, sleeping for 0.7002416455652565 seconds
Request model_5#4 arrives at 1520686.668230563, sleeping for 0.044545614160597324 seconds
Request model_3#1 arrives at 1520686.713828056, sleeping for 0.011429851641878486 seconds
Request model_3#2 arrives at 1520686.725634392, sleeping for 0.04530218034051359 seconds
Request model_2#9 arrives at 1520686.771421787, sleeping for 0.2061639386229217 seconds
Request model_5#5 arrives at 1520686.979607088, sleeping for 0.13761935103684664 seconds
Request model_2#10 arrives at 1520687.117711727, sleeping for 0.11963484296575189 seconds
Request model_2#11 arrives at 1520687.238951532, sleeping for 0.06354361143894494 seconds
Request model_2#12 arrives at 1520687.303102751, sleeping for 0.04709476907737553 seconds
Request model_2#13 arrives at 1520687.351263383, sleeping for 0.16161084012128413 seconds
Request model_2#14 arrives at 1520687.513547819, sleeping for 0.04327157256193459 seconds
Request model_2#15 arrives at 1520687.557849562, sleeping for 0.061472479021176696 seconds
Request model_3#3 arrives at 1520687.620773292, sleeping for 0.03697282075881958 seconds
Request model_3#4 arrives at 1520687.658921971, sleeping for 0.21108128759078681 seconds
Request model_2#16 arrives at 1520687.870409436, sleeping for 0.08730298280715942 seconds
Request model_2#17 arrives at 1520687.959884069, sleeping for 0 seconds
Request model_2#18 arrives at 1520687.960420013, sleeping for 0.0015537806320935488 seconds
Request model_5#6 arrives at 1520687.962314797, sleeping for 0.37644053902477026 seconds
Request model_2#19 arrives at 1520688.339503333, sleeping for 0.08107503806240857 seconds
Request model_2#20 arrives at 1520688.421499792, sleeping for 0.3303932249546051 seconds
Request model_2#21 arrives at 1520688.752149957, sleeping for 0.054701547138392925 seconds
Request model_2#22 arrives at 1520688.807654113, sleeping for 0.02419922361150384 seconds
Request model_2#23 arrives at 1520688.832890637, sleeping for 0.09027358144521713 seconds
Request model_6#0 arrives at 1520688.9235823, sleeping for 0.15228267898783088 seconds
Request model_2#24 arrives at 1520689.076358836, sleeping for 0.3110066882800311 seconds
Request model_2#25 arrives at 1520689.388411516, sleeping for 0.11475296900607646 seconds
Request model_2#26 arrives at 1520689.504281782, sleeping for 0.26045420370064676 seconds
Request model_2#27 arrives at 1520689.765920003, sleeping for 0.04268275131471455 seconds
Request model_2#28 arrives at 1520689.809106759, sleeping for 0.23609806294552982 seconds
Request model_3#5 arrives at 1520690.047019297, sleeping for 0.22076941234990954 seconds
Request model_3#6 arrives at 1520690.268524465, sleeping for 0.09485994395799935 seconds
Request model_2#29 arrives at 1520690.364572617, sleeping for 0.038395310286432505 seconds
Request model_2#30 arrives at 1520690.403783993, sleeping for 0.10578935407102108 seconds
Request model_3#7 arrives at 1520690.510023879, sleeping for 0.06205943529494107 seconds
Request model_2#31 arrives at 1520690.572701878, sleeping for 0.07153498963452876 seconds
Request model_2#32 arrives at 1520690.646390596, sleeping for 0.0228382907807827 seconds
Request model_5#7 arrives at 1520690.670057149, sleeping for 0.018732086522504687 seconds
Request model_2#33 arrives at 1520690.69078278, sleeping for 0.00425307359546423 seconds
Request model_6#1 arrives at 1520690.695392204, sleeping for 0.09191629430279136 seconds
Request model_2#34 arrives at 1520690.788039661, sleeping for 0.0868711736984551 seconds
Request model_2#35 arrives at 1520690.876716288, sleeping for 0.07387366890907288 seconds
Request model_2#36 arrives at 1520690.951426444, sleeping for 0.27497592265717685 seconds
Request model_6#2 arrives at 1520691.22732262, sleeping for 0.19371588481590152 seconds
Request model_2#37 arrives at 1520691.421360857, sleeping for 0.264311998616904 seconds
Request model_2#38 arrives at 1520691.686321563, sleeping for 0.05903119849972427 seconds
Request model_2#39 arrives at 1520691.747121337, sleeping for 0.1275269619654864 seconds
Request model_2#40 arrives at 1520691.874932231, sleeping for 0.03692173515446484 seconds
Request model_2#41 arrives at 1520691.912644466, sleeping for 0.022519085090607405 seconds
Request model_5#8 arrives at 1520691.935342592, sleeping for 0.028558310586959124 seconds
Request model_2#42 arrives at 1520691.964326284, sleeping for 0.02056119218468666 seconds
Request model_2#43 arrives at 1520691.985152876, sleeping for 0.08364868815988302 seconds
Request model_2#44 arrives at 1520692.069314971, sleeping for 0.11633291537873447 seconds
Request model_5#9 arrives at 1520692.186035303, sleeping for 0.06936368625611067 seconds
Request model_2#45 arrives at 1520692.255974114, sleeping for 0.213388777570799 seconds
Request model_2#46 arrives at 1520692.470506371, sleeping for 0.024976200656965375 seconds
Request model_5#10 arrives at 1520692.49629171, sleeping for 0.07187855872325599 seconds
