Real trace file: /workspace/prism-exp/exp/workloads/paper-faithful-v4/bursty_r8_s1.pkl
[PRISM_DIRECT] 3387 requests, span 419.6s
Starting TP benchmark: paper-faithful-v6_bursty_rate8_seed1
Generated 3387 requests
Request model_5#0 arrives at 184956.687925196, sleeping for 0.19896396427066065 seconds
Request model_2#0 arrives at 184956.88721694, sleeping for 0.17816501093329862 seconds
Request model_2#1 arrives at 184957.066438267, sleeping for 0.03508585912641138 seconds
Request model_2#2 arrives at 184957.102033245, sleeping for 0.08891588018741459 seconds
Request model_5#1 arrives at 184957.19161243, sleeping for 0.08291429362725466 seconds
Request model_2#3 arrives at 184957.27511096, sleeping for 0.1326003553404007 seconds
Request model_2#4 arrives at 184957.408770766, sleeping for 0.09801890709786676 seconds
Request model_5#2 arrives at 184957.507389259, sleeping for 0.0667459616670385 seconds
Request model_2#5 arrives at 184957.576043135, sleeping for 0.031098952109459788 seconds
Request model_2#6 arrives at 184957.60758644, sleeping for 0.2529620620771311 seconds
Request model_2#7 arrives at 184957.861353289, sleeping for 0.3890958084084559 seconds
Request model_5#3 arrives at 184958.251446095, sleeping for 0.14852508957847022 seconds
Request model_2#8 arrives at 184958.401091195, sleeping for 0.1350707593082916 seconds
Request model_3#0 arrives at 184958.536790793, sleeping for 0.7012358918436803 seconds
Request model_5#4 arrives at 184959.239993886, sleeping for 0.044746508297976106 seconds
Request model_3#1 arrives at 184959.285567178, sleeping for 0.01165571654564701 seconds
Request model_3#2 arrives at 184959.29810741, sleeping for 0.04479410033673048 seconds
Request model_2#9 arrives at 184959.343632171, sleeping for 0.20591804169816896 seconds
Request model_5#5 arrives at 184959.551440236, sleeping for 0.13775126112159342 seconds
Request model_2#10 arrives at 184959.689739162, sleeping for 0.11957223605713807 seconds
Request model_2#11 arrives at 184959.81039035, sleeping for 0.06407037150347605 seconds
Request model_2#12 arrives at 184959.875230183, sleeping for 0.04693214508006349 seconds
Request model_2#13 arrives at 184959.923142701, sleeping for 0.16169643006287515 seconds
Request model_2#14 arrives at 184960.085859394, sleeping for 0.0429242447426077 seconds
Request model_2#15 arrives at 184960.129387724, sleeping for 0.06189861410530284 seconds
Request model_3#3 arrives at 184960.191927273, sleeping for 0.03778313673683442 seconds
Request model_3#4 arrives at 184960.230543829, sleeping for 0.21142424663412385 seconds
Request model_2#16 arrives at 184960.442803486, sleeping for 0.08687305985949934 seconds
Request model_2#17 arrives at 184960.530449596, sleeping for 0 seconds
Request model_2#18 arrives at 184960.530696984, sleeping for 0.0032419977651443332 seconds
Request model_5#6 arrives at 184960.534341975, sleeping for 0.3763784080219921 seconds
Request model_2#19 arrives at 184960.912406936, sleeping for 0.08013750420650467 seconds
Request model_2#20 arrives at 184960.993524553, sleeping for 0.3303339219710324 seconds
Request model_2#21 arrives at 184961.324193372, sleeping for 0.05462229030672461 seconds
Request model_2#22 arrives at 184961.379932434, sleeping for 0.02388537078513764 seconds
Request model_2#23 arrives at 184961.404602559, sleeping for 0.09052728858659975 seconds
Request model_6#0 arrives at 184961.49538561, sleeping for 0.15244554792298004 seconds
Request model_2#24 arrives at 184961.648120653, sleeping for 0.311210449290229 seconds
Request model_2#25 arrives at 184961.960445027, sleeping for 0.11468472616979852 seconds
Request model_2#26 arrives at 184962.076207194, sleeping for 0.2604937597643584 seconds
Request model_2#27 arrives at 184962.337994806, sleeping for 0.042572406586259604 seconds
Request model_2#28 arrives at 184962.381611359, sleeping for 0.23555871090502478 seconds
Request model_3#5 arrives at 184962.617715904, sleeping for 0.22203820527647622 seconds
Request model_3#6 arrives at 184962.840604557, sleeping for 0.09474583092378452 seconds
Request model_2#29 arrives at 184962.936132544, sleeping for 0.038799961388576776 seconds
Request model_2#30 arrives at 184962.97571166, sleeping for 0.10582627516123466 seconds
Request model_3#7 arrives at 184963.082327211, sleeping for 0.061721480247797444 seconds
Request model_2#31 arrives at 184963.144256011, sleeping for 0.07194625466945581 seconds
Request model_2#32 arrives at 184963.217145741, sleeping for 0.024048343970207497 seconds
Request model_5#7 arrives at 184963.24172122, sleeping for 0.019034054479561746 seconds
Request model_2#33 arrives at 184963.261655195, sleeping for 0.005346145713701844 seconds
Request model_6#1 arrives at 184963.26733553, sleeping for 0.0919383953732904 seconds
Request model_2#34 arrives at 184963.359915966, sleeping for 0.08696038683410734 seconds
Request model_2#35 arrives at 184963.448520809, sleeping for 0.0740345959784463 seconds
Request model_2#36 arrives at 184963.524414334, sleeping for 0.27395356094348244 seconds
Request model_6#2 arrives at 184963.799012087, sleeping for 0.1939928279898595 seconds
Request model_2#37 arrives at 184963.994366038, sleeping for 0.2632727167510893 seconds
Request model_2#38 arrives at 184964.258013069, sleeping for 0.05930524051655084 seconds
Request model_2#39 arrives at 184964.318494902, sleeping for 0.1281194061448332 seconds
Request model_2#40 arrives at 184964.447569369, sleeping for 0.03625130822183564 seconds
Request model_2#41 arrives at 184964.485769525, sleeping for 0.021359935111831874 seconds
Request model_5#8 arrives at 184964.507702407, sleeping for 0.02816443468327634 seconds
Request model_2#42 arrives at 184964.536555347, sleeping for 0.020298218383686617 seconds
Request model_2#43 arrives at 184964.557741047, sleeping for 0.08302620527683757 seconds
Request model_2#44 arrives at 184964.641704185, sleeping for 0.11590965950745158 seconds
Request model_5#9 arrives at 184964.758731633, sleeping for 0.06863345540477894 seconds
Request model_2#45 arrives at 184964.827719617, sleeping for 0.2136096147587523 seconds
Request model_2#46 arrives at 184965.041538166, sleeping for 0.02591004388523288 seconds
Request model_5#10 arrives at 184965.069118893, sleeping for 0.07101691281422973 seconds
Request model_2#47 arrives at 184965.141689333, sleeping for 0.13795895723160356 seconds
Request model_2#48 arrives at 184965.279988108, sleeping for 0.06420036038616672 seconds
Request model_5#11 arrives at 184965.344565185, sleeping for 0.006986972817685455 seconds
Request model_5#12 arrives at 184965.352132069, sleeping for 0.2125033377087675 seconds
Request model_5#13 arrives at 184965.564926615, sleeping for 0.09557562749250792 seconds
Request model_3#8 arrives at 184965.661349767, sleeping for 0.05612258685869165 seconds
Request model_2#49 arrives at 184965.71799247, sleeping for 0.14246919270954095 seconds
Request model_2#50 arrives at 184965.861016464, sleeping for 0.04698060284135863 seconds
Request model_6#3 arrives at 184965.908671596, sleeping for 0.12061673472635448 seconds
Request model_2#51 arrives at 184966.029970062, sleeping for 0.015390180808026344 seconds
Request model_2#52 arrives at 184966.04601764, sleeping for 0.05448473399155773 seconds
Request model_2#53 arrives at 184966.101291882, sleeping for 0.11046249297214672 seconds
Request model_2#54 arrives at 184966.212306539, sleeping for 0.18839088350068778 seconds
Request model_5#14 arrives at 184966.401475112, sleeping for 0.10164706796058454 seconds
Request model_3#9 arrives at 184966.504139386, sleeping for 0.0551591754774563 seconds
Request model_6#4 arrives at 184966.559837122, sleeping for 0.018183705513365567 seconds
Request model_2#55 arrives at 184966.579574403, sleeping for 0.019535171100869775 seconds
Request model_6#5 arrives at 184966.599338164, sleeping for 0.2881416751188226 seconds
Request model_2#56 arrives at 184966.88808887, sleeping for 0.00284131383523345 seconds
Request model_3#10 arrives at 184966.89171695, sleeping for 0.1041365523415152 seconds
Request model_5#15 arrives at 184966.997417209, sleeping for 0.14131902705412358 seconds
Request model_3#11 arrives at 184967.139231646, sleeping for 0.04598412159248255 seconds
Request model_2#57 arrives at 184967.185905754, sleeping for 0.041891277563991025 seconds
Request model_2#58 arrives at 184967.228740641, sleeping for 0.027911122393561527 seconds
Request model_6#6 arrives at 184967.257661977, sleeping for 0.05982680109445937 seconds
Request model_5#16 arrives at 184967.318508064, sleeping for 0.16533793459529988 seconds
Request model_5#17 arrives at 184967.484177307, sleeping for 0.13569978548912331 seconds
Request model_2#59 arrives at 184967.620623166, sleeping for 0.34931459598010406 seconds
Request model_2#60 arrives at 184967.971057579, sleeping for 0.08662649992038496 seconds
Request model_2#61 arrives at 184968.059784277, sleeping for 0.005832916707731783 seconds
Request model_2#62 arrives at 184968.065801355, sleeping for 0.024167817668057978 seconds
Request model_3#12 arrives at 184968.090583296, sleeping for 0.1555400954093784 seconds
Request model_3#13 arrives at 184968.246283303, sleeping for 0.027795081434305757 seconds
Request model_2#63 arrives at 184968.27461591, sleeping for 0.04588186554610729 seconds
Request model_2#64 arrives at 184968.321219017, sleeping for 0.20910505668143742 seconds
Request model_2#65 arrives at 184968.531401431, sleeping for 0.06930794304935262 seconds
Request model_2#66 arrives at 184968.601059395, sleeping for 0.1616696151031647 seconds
Request model_5#18 arrives at 184968.76318794, sleeping for 0.15668089012615383 seconds
Request model_2#67 arrives at 184968.92005758, sleeping for 0.08802635906613432 seconds
Request model_2#68 arrives at 184969.009047245, sleeping for 0.16672580331214704 seconds
Request model_6#7 arrives at 184969.176835767, sleeping for 0.06407784851035103 seconds
Request model_3#14 arrives at 184969.241846576, sleeping for 0.1566602883685846 seconds
Request model_2#69 arrives at 184969.399598778, sleeping for 0.11332453080103733 seconds
Request model_2#70 arrives at 184969.513079767, sleeping for 0.07339005908579566 seconds
Request model_2#71 arrives at 184969.586758275, sleeping for 0.018033377826213837 seconds
Request model_2#72 arrives at 184969.605744187, sleeping for 0.4119267856585793 seconds
Request model_2#73 arrives at 184970.017953865, sleeping for 0.25635589996818453 seconds
Request model_2#74 arrives at 184970.275270909, sleeping for 0.08414362501935102 seconds
Request model_2#75 arrives at 184970.360333651, sleeping for 0.3606203566014301 seconds
Request model_2#76 arrives at 184970.72279698, sleeping for 0.18988017091760412 seconds
Request model_2#77 arrives at 184970.913923823, sleeping for 0.13084459875244647 seconds
Request model_2#78 arrives at 184971.04564261, sleeping for 0.061996197735425085 seconds
Request model_2#79 arrives at 184971.108301068, sleeping for 0.1339308779570274 seconds
Request model_2#80 arrives at 184971.243235071, sleeping for 0.05955286417156458 seconds
Request model_5#19 arrives at 184971.303904361, sleeping for 0.2126701759698335 seconds
Request model_2#81 arrives at 184971.517688797, sleeping for 0.15165712442831136 seconds
Request model_2#82 arrives at 184971.669553251, sleeping for 0.13806102206581272 seconds
Request model_2#83 arrives at 184971.808288673, sleeping for 0.17188582706148736 seconds
Request model_3#15 arrives at 184971.980511306, sleeping for 0.35616193839814514 seconds
Request model_2#84 arrives at 184972.337161364, sleeping for 0.3354682778881397 seconds
Request model_2#85 arrives at 184972.672824619, sleeping for 0.2581057735660579 seconds
Request model_6#8 arrives at 184972.93158402, sleeping for 0.06485020945547149 seconds
Request model_2#86 arrives at 184972.997195369, sleeping for 0.06385048505035229 seconds
Request model_2#87 arrives at 184973.061766485, sleeping for 0.04073195636738092 seconds
Request model_2#88 arrives at 184973.103331224, sleeping for 0.22406284196767956 seconds
Request model_2#89 arrives at 184973.328316895, sleeping for 0.03560817820834927 seconds
Request model_2#90 arrives at 184973.365977083, sleeping for 0.046281148184789345 seconds
Request model_5#20 arrives at 184973.412812318, sleeping for 0.10939001356018707 seconds
Request model_3#16 arrives at 184973.522794856, sleeping for 0.006872640457004309 seconds
Request model_2#91 arrives at 184973.530347524, sleeping for 0.14825589343672618 seconds
Request model_2#92 arrives at 184973.679725279, sleeping for 0.01023866591276601 seconds
Request model_6#9 arrives at 184973.691077373, sleeping for 0.030072879802901298 seconds
Request model_5#21 arrives at 184973.721910675, sleeping for 0.0867649591236841 seconds
Request model_5#22 arrives at 184973.809330266, sleeping for 0.07101602861075662 seconds
Request model_3#17 arrives at 184973.881098051, sleeping for 0.3940961676707957 seconds
Request model_2#93 arrives at 184974.27623798, sleeping for 0.1020126213261392 seconds
Request model_2#94 arrives at 184974.379414742, sleeping for 0.15321684695663862 seconds
Request model_5#23 arrives at 184974.533133234, sleeping for 0.4396469544444699 seconds
Request model_2#95 arrives at 184974.973222321, sleeping for 0.2045077804068569 seconds
Request model_2#96 arrives at 184975.178088273, sleeping for 0.007771989650791511 seconds
Request model_2#97 arrives at 184975.186827665, sleeping for 0.07400783218326978 seconds
Request model_5#24 arrives at 184975.261522824, sleeping for 0.24648274909122847 seconds
Request model_2#98 arrives at 184975.508332756, sleeping for 0.02119272030540742 seconds
Request model_5#25 arrives at 184975.529927112, sleeping for 0.049349642504239455 seconds
Request model_2#99 arrives at 184975.579642024, sleeping for 0.4920439234410878 seconds
Request model_3#18 arrives at 184976.07231115, sleeping for 0.03958426634198986 seconds
Request model_2#100 arrives at 184976.112041476, sleeping for 0.04953820869559422 seconds
Request model_2#101 arrives at 184976.16262851, sleeping for 0.08723381435265765 seconds
Request model_2#102 arrives at 184976.251311708, sleeping for 0.1112601466011256 seconds
Request model_2#103 arrives at 184976.363543866, sleeping for 0.2754133937996812 seconds
Request model_3#19 arrives at 184976.63911058, sleeping for 0.14900533368927427 seconds
Request model_2#104 arrives at 184976.79025432, sleeping for 0.00815153046278283 seconds
Request model_5#26 arrives at 184976.798926298, sleeping for 0.0060661795432679355 seconds
Request model_2#105 arrives at 184976.805242098, sleeping for 0.2097881093795877 seconds
Request model_6#10 arrives at 184977.016047235, sleeping for 0.08844074656371959 seconds
Request model_2#106 arrives at 184977.105441437, sleeping for 0.04043682254268788 seconds
Request model_2#107 arrives at 184977.146994504, sleeping for 0.02048740943428129 seconds
Request model_6#11 arrives at 184977.168163774, sleeping for 0.0006311463075689971 seconds
Request model_2#108 arrives at 184977.169688343, sleeping for 0.044816667068516836 seconds
Request model_2#109 arrives at 184977.215437791, sleeping for 0.1866190816508606 seconds
Request model_2#110 arrives at 184977.40269573, sleeping for 0.047702289186418056 seconds
Request model_6#12 arrives at 184977.450763124, sleeping for 0.054172136005945504 seconds
Request model_5#27 arrives at 184977.505326051, sleeping for 0.0031748270557727665 seconds
Request model_2#111 arrives at 184977.508858323, sleeping for 0.20130673481617123 seconds
Request model_2#112 arrives at 184977.71126628, sleeping for 0.0230188524001278 seconds
Request model_2#113 arrives at 184977.736273898, sleeping for 0.14786159759387374 seconds
Request model_2#114 arrives at 184977.884512246, sleeping for 0.0942283027980011 seconds
Request model_2#115 arrives at 184977.979118507, sleeping for 0.17842978925909847 seconds
Request model_2#116 arrives at 184978.158000015, sleeping for 0.19886449916521087 seconds
Request model_2#117 arrives at 184978.357876871, sleeping for 0.07916335068875924 seconds
Request model_2#118 arrives at 184978.437573519, sleeping for 0.11141461838269606 seconds
Request model_2#119 arrives at 184978.549723365, sleeping for 0.17626690544420853 seconds
Request model_2#120 arrives at 184978.726917512, sleeping for 0.001965226751053706 seconds
Request model_2#121 arrives at 184978.729474151, sleeping for 0.03701160664786585 seconds
Request model_6#13 arrives at 184978.767029815, sleeping for 0.2984109162935056 seconds
Request model_3#20 arrives at 184979.066336813, sleeping for 0.10229742986848578 seconds
Request model_2#122 arrives at 184979.169348269, sleeping for 0.11005016442504711 seconds
Request model_2#123 arrives at 184979.280139252, sleeping for 0.2765798057662323 seconds
Request model_2#124 arrives at 184979.558513148, sleeping for 0.03856193131650798 seconds
Request model_2#125 arrives at 184979.597380348, sleeping for 0.16003057939815335 seconds
Request model_2#126 arrives at 184979.75802587, sleeping for 0.19660519971512258 seconds
Request model_2#127 arrives at 184979.955050341, sleeping for 0.003577636933187023 seconds
Request model_5#28 arrives at 184979.959628357, sleeping for 0.06943295476958156 seconds
Request model_2#128 arrives at 184980.029557151, sleeping for 0.13882583990925923 seconds
Request model_2#129 arrives at 184980.168716177, sleeping for 0.2090030739782378 seconds
Request model_2#130 arrives at 184980.378793017, sleeping for 0.04174694186076522 seconds
Request model_2#131 arrives at 184980.421447901, sleeping for 0.45603985802154057 seconds
Request model_6#14 arrives at 184980.878523451, sleeping for 0.0018335782806389034 seconds
Request model_3#21 arrives at 184980.881353625, sleeping for 0.012862107570981607 seconds
Request model_2#132 arrives at 184980.895889277, sleeping for 0.036405335617018864 seconds
Request model_6#15 arrives at 184980.933473995, sleeping for 0.05242099749739282 seconds
Request model_2#133 arrives at 184980.987360311, sleeping for 0.026308529282687232 seconds
Request model_2#134 arrives at 184981.015089943, sleeping for 0.23370892999810167 seconds
Request model_2#135 arrives at 184981.250528155, sleeping for 0.1541660430666525 seconds
Request model_2#136 arrives at 184981.406401963, sleeping for 0.1514318423869554 seconds
Request model_2#137 arrives at 184981.558860364, sleeping for 0.2692886399454437 seconds
Request model_5#29 arrives at 184981.829144548, sleeping for 0.09094133187318221 seconds
Request model_2#138 arrives at 184981.920522039, sleeping for 0.08795370499137789 seconds
Request model_2#139 arrives at 184982.00915814, sleeping for 0.2638808926567435 seconds
Request model_2#140 arrives at 184982.273338145, sleeping for 0.06500006531132385 seconds
Request model_2#141 arrives at 184982.338651884, sleeping for 0.1271544672199525 seconds
Request model_5#30 arrives at 184982.466239671, sleeping for 0.15698207067907788 seconds
Request model_2#142 arrives at 184982.62422265, sleeping for 0.024772488977760077 seconds
Request model_5#31 arrives at 184982.649794261, sleeping for 0.04577125175273977 seconds
Request model_3#22 arrives at 184982.696769646, sleeping for 0.06475973993656226 seconds
Request model_2#143 arrives at 184982.762364034, sleeping for 0.05994081782409921 seconds
Request model_2#144 arrives at 184982.822917078, sleeping for 0.011573631432838738 seconds
Request model_2#145 arrives at 184982.835464263, sleeping for 0.1799746055912692 seconds
Request model_6#16 arrives at 184983.016295877, sleeping for 0.24094775607227348 seconds
Request model_3#23 arrives at 184983.257474354, sleeping for 0.04310947531484999 seconds
Request model_2#146 arrives at 184983.301051154, sleeping for 0.07873673079302534 seconds
Request model_2#147 arrives at 184983.380360576, sleeping for 0.305750057392288 seconds
Request model_3#24 arrives at 184983.687553809, sleeping for 0.033576268499018624 seconds
Request model_6#17 arrives at 184983.722204671, sleeping for 0.05237695365212858 seconds
Request model_2#148 arrives at 184983.776023001, sleeping for 0.016854323126608506 seconds
Request model_2#149 arrives at 184983.793592283, sleeping for 0.02657662777346559 seconds
Request model_2#150 arrives at 184983.821128768, sleeping for 0.1939755431667436 seconds
Request model_2#151 arrives at 184984.015338142, sleeping for 0.06180823969771154 seconds
Request model_2#152 arrives at 184984.077807611, sleeping for 0.1017414910311345 seconds
Request model_2#153 arrives at 184984.180615881, sleeping for 0.01189090678235516 seconds
Request model_5#32 arrives at 184984.193184645, sleeping for 0.050074604427209124 seconds
Request model_2#154 arrives at 184984.243746082, sleeping for 0.012980400177184492 seconds
Request model_2#155 arrives at 184984.258287214, sleeping for 0.14706808791379444 seconds
Request model_2#156 arrives at 184984.406257114, sleeping for 0.005182020686333999 seconds
Request model_2#157 arrives at 184984.412324515, sleeping for 0.029133995150914416 seconds
Request model_2#158 arrives at 184984.441916201, sleeping for 0.07431000549695455 seconds
Request model_2#159 arrives at 184984.516491268, sleeping for 0.21949932919233106 seconds
Request model_2#160 arrives at 184984.737073175, sleeping for 0.062000771722523496 seconds
Request model_5#33 arrives at 184984.800808024, sleeping for 0.4568195036263205 seconds
Request model_2#161 arrives at 184985.258676841, sleeping for 0.00337557410239242 seconds
Request model_5#34 arrives at 184985.262320209, sleeping for 0.06434361796709709 seconds
Request model_2#162 arrives at 184985.326876266, sleeping for 0.18984475982142612 seconds
Request model_2#163 arrives at 184985.517350884, sleeping for 0.04468430919223465 seconds
Request model_2#164 arrives at 184985.562487147, sleeping for 0.17402733382186852 seconds
Request model_2#165 arrives at 184985.737007279, sleeping for 0.5533685349510051 seconds
Request model_2#166 arrives at 184986.290654055, sleeping for 0.0008879121451172978 seconds
Request model_2#167 arrives at 184986.291633426, sleeping for 0.07477227234630845 seconds
Request model_2#168 arrives at 184986.367186952, sleeping for 0.09533142147120088 seconds
Request model_6#18 arrives at 184986.462815264, sleeping for 0.2164877623145003 seconds
Request model_2#169 arrives at 184986.680101275, sleeping for 0.17108325968729332 seconds
Request model_2#170 arrives at 184986.852268315, sleeping for 0.00849862364702858 seconds
Request model_2#171 arrives at 184986.860893386, sleeping for 0.012634062382858247 seconds
Request model_3#25 arrives at 184986.875448404, sleeping for 0.1971537425124552 seconds
Request model_2#172 arrives at 184987.074506044, sleeping for 0.2714388130407315 seconds
