Real trace file: /workspace/prism-exp/exp/workloads/paper-faithful-v4/bursty_r8_s1.pkl
[PRISM_DIRECT] 3387 requests, span 419.6s
Starting TP benchmark: paper-faithful-v4_bursty_rate8_seed1
Generated 3387 requests
Request model_2#52 arrives at 182401.288979872, sleeping for 0.054514465999091044 seconds
Request model_2#53 arrives at 182401.34458513, sleeping for 0.11016139999264851 seconds
Request model_2#54 arrives at 182401.455279852, sleeping for 0.18840982552501373 seconds
Request model_5#14 arrives at 182401.644112056, sleeping for 0.10200235797674395 seconds
Request model_3#9 arrives at 182401.746581489, sleeping for 0.05570936648291536 seconds
Request model_6#4 arrives at 182401.803239975, sleeping for 0.017772555525880307 seconds
Request model_2#55 arrives at 182401.82290686, sleeping for 0.0191942171077244 seconds
Request model_6#5 arrives at 182401.842543329, sleeping for 0.2879287331306841 seconds
Request model_2#56 arrives at 182402.131466288, sleeping for 0.0024559298472013324 seconds
Request model_3#10 arrives at 182402.135024598, sleeping for 0.10382067738100886 seconds
Request model_5#15 arrives at 182402.240615823, sleeping for 0.1411123960861005 seconds
Request model_3#11 arrives at 182402.382284078, sleeping for 0.045924103615107015 seconds
Request model_2#57 arrives at 182402.42901687, sleeping for 0.041772034572204575 seconds
Request model_2#58 arrives at 182402.471577538, sleeping for 0.028066219412721694 seconds
Request model_6#6 arrives at 182402.500390295, sleeping for 0.060090437094913796 seconds
Request model_5#16 arrives at 182402.561013541, sleeping for 0.1658244916179683 seconds
Request model_5#17 arrives at 182402.727010692, sleeping for 0.13585834551486187 seconds
Request model_2#59 arrives at 182402.863708976, sleeping for 0.34922084998106584 seconds
Request model_2#60 arrives at 182403.213300436, sleeping for 0.08737530594225973 seconds
Request model_2#61 arrives at 182403.301975663, sleeping for 0.00663277372950688 seconds
Request model_2#62 arrives at 182403.309576256, sleeping for 0.0233849806827493 seconds
Request model_3#12 arrives at 182403.333385511, sleeping for 0.15573000343283638 seconds
Request model_3#13 arrives at 182403.490242471, sleeping for 0.026827366469660774 seconds
Request model_2#63 arrives at 182403.517895453, sleeping for 0.04559410555521026 seconds
Request model_2#64 arrives at 182403.564453863, sleeping for 0.20886219371459447 seconds
Request model_2#65 arrives at 182403.774353242, sleeping for 0.06934807606739923 seconds
Request model_2#66 arrives at 182403.843967403, sleeping for 0.16175370014389046 seconds
