Real trace file: /workspace/prism-exp/exp/workloads/paper-faithful-v4/bursty_r8_s1.pkl
[PRISM_DIRECT] 3387 requests, span 419.6s
Starting TP benchmark: tp-aa-paper_r8_s1
Generated 3387 requests
Request model_5#0 arrives at 1519904.449047459, sleeping for 0.19896398624405265 seconds
Request model_2#0 arrives at 1519904.648501535, sleeping for 0.17800433211959898 seconds
Request model_2#1 arrives at 1519904.827648529, sleeping for 0.03499922319315374 seconds
Request model_2#2 arrives at 1519904.862969412, sleeping for 0.08910203911364079 seconds
Request model_5#1 arrives at 1519904.952711291, sleeping for 0.08293800870887935 seconds
Request model_2#3 arrives at 1519905.036511126, sleeping for 0.1323227845132351 seconds
Request model_2#4 arrives at 1519905.1700573, sleeping for 0.09785633930005133 seconds
Request model_5#2 arrives at 1519905.268523224, sleeping for 0.06673347065225244 seconds
Request model_2#5 arrives at 1519905.337250576, sleeping for 0.031013977248221636 seconds
Request model_2#6 arrives at 1519905.368930602, sleeping for 0.25274026626721025 seconds
Request model_2#7 arrives at 1519905.622798853, sleeping for 0.38877230952493846 seconds
Request model_5#3 arrives at 1519906.012836549, sleeping for 0.14825705159455538 seconds
Request model_2#8 arrives at 1519906.161744458, sleeping for 0.13553986139595509 seconds
Request model_3#0 arrives at 1519906.298517287, sleeping for 0.7006316029001027 seconds
Request model_5#4 arrives at 1519907.001854166, sleeping for 0.04400846431963146 seconds
Request model_3#1 arrives at 1519907.046616549, sleeping for 0.011728581739589572 seconds
Request model_3#2 arrives at 1519907.059285154, sleeping for 0.04473878163844347 seconds
Request model_2#9 arrives at 1519907.105048545, sleeping for 0.20562392380088568 seconds
Request model_5#5 arrives at 1519907.312884593, sleeping for 0.13742904923856258 seconds
Request model_2#10 arrives at 1519907.450677969, sleeping for 0.11975559429265559 seconds
Request model_2#11 arrives at 1519907.571425419, sleeping for 0.06415698770433664 seconds
Request model_2#12 arrives at 1519907.636118131, sleeping for 0.04716608230955899 seconds
Request model_2#13 arrives at 1519907.683803436, sleeping for 0.16215796023607254 seconds
Request model_2#14 arrives at 1519907.846855491, sleeping for 0.04305051383562386 seconds
Request model_2#15 arrives at 1519907.890236333, sleeping for 0.06217228132300079 seconds
Request model_3#3 arrives at 1519907.952751919, sleeping for 0.03808087692596018 seconds
