Real trace file: /workspace/prism-exp/exp/workloads/paper-faithful-v4/steady_r8_s1.pkl
[PRISM_DIRECT] 3387 requests, span 419.8s
Starting TP benchmark: paper-faithful-v4_steady_rate8_seed1
Generated 3387 requests
Request model_2#0 arrives at 189274.679725552, sleeping for 0.0025224089331459254 seconds
Request model_4#0 arrives at 189274.682884423, sleeping for 0.03834990246105008 seconds
Request model_5#0 arrives at 189274.722090667, sleeping for 0.1822910178161692 seconds
Request model_5#1 arrives at 189274.90496176, sleeping for 0.05608966320869513 seconds
Request model_2#1 arrives at 189274.96159918, sleeping for 1.1800174407544546 seconds
Request model_6#0 arrives at 189276.142919876, sleeping for 0.18308467546012253 seconds
Request model_5#2 arrives at 189276.327087717, sleeping for 0.10342803384992294 seconds
Request model_5#3 arrives at 189276.432022583, sleeping for 0.12820462451782078 seconds
Request model_6#1 arrives at 189276.560651005, sleeping for 0.008504779863869771 seconds
Request model_5#4 arrives at 189276.571207347, sleeping for 0.12115637844544835 seconds
Request model_4#1 arrives at 189276.693216268, sleeping for 0.147199929371709 seconds
Request model_3#0 arrives at 189276.840938922, sleeping for 0.10866925097070634 seconds
Request model_3#1 arrives at 189276.950565824, sleeping for 0.34006070165196434 seconds
Request model_3#2 arrives at 189277.291661863, sleeping for 0.20661077898694202 seconds
Request model_3#3 arrives at 189277.500303053, sleeping for 0.01518430103897117 seconds
Request model_1#0 arrives at 189277.516724251, sleeping for 0.5050004877266474 seconds
Request model_3#4 arrives at 189278.022422739, sleeping for 0.14768726532929577 seconds
Request model_6#2 arrives at 189278.171039646, sleeping for 0.2778562651074026 seconds
Request model_5#5 arrives at 189278.449449639, sleeping for 0.18676268844865263 seconds
Request model_4#2 arrives at 189278.637168708, sleeping for 0.046199498377973214 seconds
Request model_5#6 arrives at 189278.683720977, sleeping for 0.001284574856981635 seconds
Request model_5#7 arrives at 189278.685266605, sleeping for 0.19643548363819718 seconds
Request model_5#8 arrives at 189278.882681173, sleeping for 0.26738682875293307 seconds
Request model_3#5 arrives at 189279.150728974, sleeping for 0.20309626738890074 seconds
Request model_5#9 arrives at 189279.354087455, sleeping for 0.13204765581758693 seconds
Request model_3#6 arrives at 189279.486880649, sleeping for 0.12351449957350269 seconds
Request model_5#10 arrives at 189279.611508233, sleeping for 0.16569540844648145 seconds
Request model_3#7 arrives at 189279.778161454, sleeping for 0.20826282544294372 seconds
Request model_4#3 arrives at 189279.987257455, sleeping for 0.055562386580277234 seconds
Request model_4#4 arrives at 189280.043414587, sleeping for 0.03025721514131874 seconds
Request model_3#8 arrives at 189280.074501366, sleeping for 0.010134887968888506 seconds
Request model_5#11 arrives at 189280.08540538, sleeping for 0.14042206047452055 seconds
Request model_5#12 arrives at 189280.226531525, sleeping for 0.03619335559778847 seconds
Request model_3#9 arrives at 189280.264670074, sleeping for 0.17433341054129414 seconds
Request model_3#10 arrives at 189280.440254703, sleeping for 0.09775612151133828 seconds
Request model_2#2 arrives at 189280.538331095, sleeping for 0.0014185308245941997 seconds
Request model_4#5 arrives at 189280.540482715, sleeping for 0.019519880472216755 seconds
Request model_1#1 arrives at 189280.561117975, sleeping for 0.022039966919692233 seconds
Request model_3#11 arrives at 189280.583944608, sleeping for 0.1464120080927387 seconds
Request model_3#12 arrives at 189280.731023421, sleeping for 0.1056640928145498 seconds
Request model_3#13 arrives at 189280.837867207, sleeping for 0.10555286853923462 seconds
Request model_3#14 arrives at 189280.943881018, sleeping for 0.001209532783832401 seconds
Request model_4#6 arrives at 189280.945893951, sleeping for 0.12414669923600741 seconds
Request model_2#3 arrives at 189281.07064317, sleeping for 0.01457494919304736 seconds
Request model_5#13 arrives at 189281.085914691, sleeping for 0.03992344328435138 seconds
Request model_5#14 arrives at 189281.126854982, sleeping for 0.1773907424940262 seconds
Request model_5#15 arrives at 189281.304799485, sleeping for 0.028223837027326226 seconds
Request model_4#7 arrives at 189281.333739453, sleeping for 0.036238795379176736 seconds
Request model_3#15 arrives at 189281.370633662, sleeping for 0.2394229325291235 seconds
Request model_2#4 arrives at 189281.611375325, sleeping for 0.005884557875106111 seconds
Request model_6#3 arrives at 189281.618370822, sleeping for 4.397364682517946e-05 seconds
Request model_3#16 arrives at 189281.618809433, sleeping for 0.1742399407667108 seconds
Request model_4#8 arrives at 189281.79325214, sleeping for 0.09813628395204432 seconds
Request model_5#16 arrives at 189281.892191278, sleeping for 0.15472331768251024 seconds
Request model_2#5 arrives at 189282.047294229, sleeping for 0.33682788026635535 seconds
Request model_5#17 arrives at 189282.384910924, sleeping for 0.2135957824648358 seconds
Request model_5#18 arrives at 189282.598809977, sleeping for 0.35291751014301553 seconds
Request model_4#9 arrives at 189282.952999309, sleeping for 0.059554744249908254 seconds
Request model_5#19 arrives at 189283.013910852, sleeping for 0.025895577971823514 seconds
Request model_1#2 arrives at 189283.041636716, sleeping for 0.4240578060853295 seconds
Request model_1#3 arrives at 189283.466998587, sleeping for 0.004900209431070834 seconds
Request model_1#4 arrives at 189283.472133493, sleeping for 0.08282274953671731 seconds
Request model_5#20 arrives at 189283.556097568, sleeping for 0.1695455260341987 seconds
Request model_2#6 arrives at 189283.726256322, sleeping for 0.2768405479437206 seconds
Request model_4#10 arrives at 189284.004599352, sleeping for 0.03682186204241589 seconds
Request model_1#5 arrives at 189284.042105001, sleeping for 0.05036801254027523 seconds
Request model_3#17 arrives at 189284.093958433, sleeping for 0.004008681047707796 seconds
Request model_5#21 arrives at 189284.09850422, sleeping for 0.005019211443141103 seconds
Request model_5#22 arrives at 189284.104046178, sleeping for 0.12114880903391168 seconds
Request model_6#4 arrives at 189284.225903379, sleeping for 0.16077604217571206 seconds
Request model_2#7 arrives at 189284.387371251, sleeping for 0.13298732601106167 seconds
Request model_5#23 arrives at 189284.521077895, sleeping for 0.10389080323511735 seconds
Request model_5#24 arrives at 189284.626740657, sleeping for 0.11877517102402635 seconds
Request model_2#8 arrives at 189284.746267778, sleeping for 0.08761037571821362 seconds
Request model_5#25 arrives at 189284.834951271, sleeping for 0.06345277786022052 seconds
Request model_5#26 arrives at 189284.899509448, sleeping for 0.14727516521816142 seconds
Request model_3#18 arrives at 189285.047154849, sleeping for 0.2775460648990702 seconds
Request model_2#9 arrives at 189285.325206018, sleeping for 0.026934932597214356 seconds
Request model_5#27 arrives at 189285.352780441, sleeping for 0.03806179610546678 seconds
Request model_5#28 arrives at 189285.391319532, sleeping for 0.06302173013682477 seconds
Request model_6#5 arrives at 189285.454989356, sleeping for 0.10994917067000642 seconds
Request model_5#29 arrives at 189285.565209166, sleeping for 0.27895771389012225 seconds
Request model_3#19 arrives at 189285.844492644, sleeping for 0.39312798439641483 seconds
Request model_2#10 arrives at 189286.238647685, sleeping for 0.13853592457599007 seconds
Request model_5#30 arrives at 189286.378350227, sleeping for 0.11757214509998448 seconds
Request model_5#31 arrives at 189286.496231544, sleeping for 0.256511044484796 seconds
Request model_6#6 arrives at 189286.754879842, sleeping for 0.0562255036784336 seconds
Request model_1#6 arrives at 189286.812037574, sleeping for 0.3524974817119073 seconds
Request model_6#7 arrives at 189287.165166876, sleeping for 0.25372497222269885 seconds
Request model_3#20 arrives at 189287.420053207, sleeping for 0.021163571829674765 seconds
Request model_1#7 arrives at 189287.442164377, sleeping for 0.12908946178504266 seconds
Request model_3#21 arrives at 189287.571904696, sleeping for 0.14922866586130112 seconds
Request model_4#11 arrives at 189287.722171484, sleeping for 0.13651798729551956 seconds
Request model_5#32 arrives at 189287.859089045, sleeping for 0.29613198232254945 seconds
Request model_6#8 arrives at 189288.156295048, sleeping for 0.14216895261779428 seconds
Request model_5#33 arrives at 189288.29890129, sleeping for 0.02840748440939933 seconds
Request model_3#22 arrives at 189288.32750144, sleeping for 0.042412123177200556 seconds
Request model_5#34 arrives at 189288.370556852, sleeping for 0.020219685975462198 seconds
Request model_4#12 arrives at 189288.391139054, sleeping for 0.07239041649154387 seconds
Request model_1#8 arrives at 189288.464751476, sleeping for 0.4470796592650004 seconds
Request model_6#9 arrives at 189288.912812595, sleeping for 0 seconds
Request model_5#35 arrives at 189288.913345831, sleeping for 0.008795310830464587 seconds
Request model_6#10 arrives at 189288.92248373, sleeping for 0.2651646644808352 seconds
Request model_3#23 arrives at 189289.188332103, sleeping for 0.06324188149301335 seconds
Request model_3#24 arrives at 189289.251955391, sleeping for 0.04854333124239929 seconds
Request model_4#13 arrives at 189289.301562429, sleeping for 0.011334236623952165 seconds
Request model_5#36 arrives at 189289.313198428, sleeping for 0.21271470174542628 seconds
Request model_6#11 arrives at 189289.527295117, sleeping for 0.40877800204907544 seconds
Request model_5#37 arrives at 189289.936723462, sleeping for 0.0061843675503041595 seconds
Request model_5#38 arrives at 189289.943613494, sleeping for 0.10533292553736828 seconds
Request model_3#25 arrives at 189290.049842553, sleeping for 0.06307634728727862 seconds
Request model_3#26 arrives at 189290.11312434, sleeping for 0.015427017671754584 seconds
Request model_5#39 arrives at 189290.12866519, sleeping for 0.031085892696864903 seconds
Request model_5#40 arrives at 189290.160214063, sleeping for 0.06502381441532634 seconds
Request model_3#27 arrives at 189290.225769314, sleeping for 0.32007354352390394 seconds
Request model_5#41 arrives at 189290.546192703, sleeping for 0.057859889697283506 seconds
Request model_1#9 arrives at 189290.604301724, sleeping for 0.0705365689645987 seconds
Request model_3#28 arrives at 189290.676870205, sleeping for 0.07716093488852493 seconds
Request model_3#29 arrives at 189290.754875119, sleeping for 0.11646952250157483 seconds
Request model_3#30 arrives at 189290.871775272, sleeping for 0.36027726528118365 seconds
Request model_2#11 arrives at 189291.233001016, sleeping for 0.16737437067786232 seconds
Request model_6#12 arrives at 189291.400726972, sleeping for 0.050266839360119775 seconds
Request model_5#42 arrives at 189291.45136171, sleeping for 0.058696123654954135 seconds
Request model_5#43 arrives at 189291.512164924, sleeping for 0 seconds
Request model_3#31 arrives at 189291.512422941, sleeping for 0.016114227881189436 seconds
Request model_3#32 arrives at 189291.529082349, sleeping for 0.15478138349135406 seconds
Request model_6#13 arrives at 189291.684730148, sleeping for 0.17811046197311953 seconds
Request model_5#44 arrives at 189291.863619909, sleeping for 0.3762643758091144 seconds
