Real trace file: /workspace/prism-exp/exp/workloads/paper-faithful-v4/bursty_r8_s1.pkl
[PRISM_DIRECT] 3387 requests, span 419.6s
Starting TP benchmark: paper-faithful-v3-alg2only_bursty_rate8_seed1
Generated 3387 requests
Request model_5#0 arrives at 136468.018869444, sleeping for 0.1989634662750177 seconds
Request model_2#0 arrives at 136468.218237486, sleeping for 0.1780887159111444 seconds
Request model_2#1 arrives at 136468.396681503, sleeping for 0.035786704131169245 seconds
Request model_2#2 arrives at 136468.4345922, sleeping for 0.08730188617482781 seconds
Request model_5#1 arrives at 136468.523917238, sleeping for 0.08155401662224904 seconds
Request model_2#3 arrives at 136468.606275169, sleeping for 0.13238009632914327 seconds
Request model_2#4 arrives at 136468.739824291, sleeping for 0.09790985309518874 seconds
Request model_5#2 arrives at 136468.838173351, sleeping for 0.06690552865620703 seconds
Request model_2#5 arrives at 136468.905484303, sleeping for 0.032602235121885315 seconds
Request model_2#6 arrives at 136468.938794413, sleeping for 0.25269858006504364 seconds
Request model_2#7 arrives at 136469.192508382, sleeping for 0.38888517540181056 seconds
Request model_5#3 arrives at 136469.582062636, sleeping for 0.14885267958743498 seconds
Request model_2#8 arrives at 136469.731366358, sleeping for 0.13573947630356997 seconds
Request model_3#0 arrives at 136469.868318075, sleeping for 0.7006520898430608 seconds
Request model_5#4 arrives at 136470.57083655, sleeping for 0.044847835291875526 seconds
Request model_3#1 arrives at 136470.616873976, sleeping for 0.011294139549136162 seconds
Request model_3#2 arrives at 136470.629215982, sleeping for 0.04463018834940158 seconds
Request model_2#9 arrives at 136470.674650777, sleeping for 0.20584441669052467 seconds
Request model_5#5 arrives at 136470.882218, sleeping for 0.1379178271163255 seconds
Request model_2#10 arrives at 136471.020539988, sleeping for 0.11971494005410932 seconds
Request model_2#11 arrives at 136471.140510154, sleeping for 0.06489450749359094 seconds
Request model_2#12 arrives at 136471.205950944, sleeping for 0.047155424050288275 seconds
Request model_2#13 arrives at 136471.254266673, sleeping for 0.16151694805012085 seconds
Request model_2#14 arrives at 136471.416832761, sleeping for 0.042895448743365705 seconds
Request model_2#15 arrives at 136471.460774394, sleeping for 0.06145657508750446 seconds
Request model_3#3 arrives at 136471.5231147, sleeping for 0.037540460732998326 seconds
Request model_3#4 arrives at 136471.561456457, sleeping for 0.21145623963093385 seconds
Request model_2#16 arrives at 136471.773931885, sleeping for 0.08668931186548434 seconds
Request model_2#17 arrives at 136471.861321732, sleeping for 0 seconds
Request model_2#18 arrives at 136471.861950203, sleeping for 0.0029340287728700787 seconds
Request model_5#6 arrives at 136471.865836177, sleeping for 0.375828767020721 seconds
Request model_2#19 arrives at 136472.242110516, sleeping for 0.08137743320548907 seconds
Request model_2#20 arrives at 136472.324478006, sleeping for 0.3303241989633534 seconds
Request model_2#21 arrives at 136472.655578699, sleeping for 0.05418129329336807 seconds
Request model_2#22 arrives at 136472.710096305, sleeping for 0.02466568979434669 seconds
Request model_2#23 arrives at 136472.735538966, sleeping for 0.09053484059404582 seconds
Request model_6#0 arrives at 136472.826822208, sleeping for 0.1519526289193891 seconds
