model,model_path,source_gpu,target_gpu,migration_start,target_ready_time,migration_end,migration_latency_s,service_downtime_s,migration_total_s,ordering,readiness_barrier,latency_is_submission_only,weight_bytes,kv_bytes,total_bytes,transfer_path,effective_gbps,success,peak_kvpr_before,peak_kvpr_after,tau,alg1_cycle,migration_id,implementation,workload,request_rate,seed
model_2,Qwen/Qwen2.5-1.5B-Instruct,1,0,1787337841.980932,1787337843.104141,1787337843.7963514,1.123208999633789,0.6915643215179443,1.8154194355010986,prepare-quiesce-commit,1,0,3554176000,0,3554176000,gpu-to-gpu-p2p,12.7705066843577,True,0.21280785914730962,0.20195314730556888,0.13,10,0,paper-faithful-v6,bursty,20,0
model_3,meta-llama/Llama-3.2-3B,1,0,1787337877.783352,1787337879.5954378,1787337888.8021145,1.8120858669281006,9.206111907958984,11.018762588500977,prepare-quiesce-commit,1,0,7213504512,3528376320,10741880832,gpu-to-gpu-p2p,13.442787186653975,True,0.22522395971297662,0.1525063499032717,0.13,17,1,paper-faithful-v6,bursty,20,0
model_4,Qwen/Qwen2.5-3B-Instruct,0,1,1787337909.1789372,1787337911.3516912,1787337915.1923797,2.1727540493011475,3.840296983718872,6.013442516326904,prepare-quiesce-commit,1,0,6794207232,14635008,6808842240,gpu-to-gpu-p2p,14.90364291445615,True,0.2774373942076957,0.2470042195733407,0.13,22,2,paper-faithful-v6,bursty,20,0
model_3,meta-llama/Llama-3.2-3B,0,1,1787337940.682937,1787337943.0492442,1787337965.5883315,2.366307258605957,22.538063526153564,24.905394554138184,prepare-quiesce-commit,1,0,7213504512,3528376320,10741880832,host-to-device + helper-gpu-p2p,6.3745646512768515,True,0.2844994061990511,0.23354764982749288,0.13,28,3,paper-faithful-v6,bursty,20,0
model_1,meta-llama/Llama-3.2-1B,0,1,1787338022.153133,1787338023.3782206,1787338026.9422276,1.2250876426696777,3.5628392696380615,4.789094686508179,prepare-quiesce-commit,1,0,2996965376,22052864,3019018240,gpu-to-gpu-p2p,16.15538004563646,True,0.22282645031851725,0.20999436830802284,0.13,40,4,paper-faithful-v6,bursty,20,0
model_4,Qwen/Qwen2.5-3B-Instruct,1,0,1787338094.2763138,1787338095.9495509,1787338098.0286818,1.6732370853424072,2.0783917903900146,3.7523679733276367,prepare-quiesce-commit,1,0,6794207232,14635008,6808842240,host-to-device + helper-gpu-p2p,5.9827275698270315,True,0.230445343272654,0.20298162148278323,0.13,54,5,paper-faithful-v6,bursty,20,0
model_4,Qwen/Qwen2.5-3B-Instruct,0,1,1787338419.887195,1787338421.199917,1787338421.8732939,1.3127219676971436,0.6727895736694336,1.9860987663269043,prepare-quiesce-commit,1,0,6794207232,0,6794207232,gpu-to-gpu-p2p,16.536332741967964,True,0.20911688910951984,0.18939888824457132,0.13,4,0,paper-faithful-v6,bursty,20,42
model_1,meta-llama/Llama-3.2-1B,0,1,1787338460.5341868,1787338461.9830637,1787338466.2983978,1.4488768577575684,4.314752578735352,5.764210939407349,prepare-quiesce-commit,1,0,2996965376,30900224,3027865600,gpu-to-gpu-p2p,15.398173436103917,True,0.3061103561896874,0.2845843573739761,0.13,12,1,paper-faithful-v6,bursty,20,42
model_1,meta-llama/Llama-3.2-1B,1,0,1787338537.670314,1787338539.1076345,1787338543.3088615,1.4373204708099365,4.20064902305603,5.638547420501709,prepare-quiesce-commit,1,0,2996965376,30900224,3027865600,host-to-device + helper-gpu-p2p,5.015793539107661,True,0.17749613446697715,0.16340850182581418,0.13,27,2,paper-faithful-v6,bursty,20,42
