Real trace file: /workspace/prism-exp/exp/workloads/paper-faithful-v4/bursty_r8_s2.pkl
[PRISM_DIRECT] 3365 requests, span 419.8s
Starting TP benchmark: tp-aa-strict_r8_s2
Generated 3365 requests
Request model_3#0 arrives at 1533283.820387928, sleeping for 0.15798607980832458 seconds
Request model_4#0 arrives at 1533283.978784188, sleeping for 0.15819703182205558 seconds
Request model_4#1 arrives at 1533284.138516589, sleeping for 0.03752533323131502 seconds
Request model_4#2 arrives at 1533284.177042096, sleeping for 0.1798976061400026 seconds
Request model_1#0 arrives at 1533284.358332113, sleeping for 0.010708339279517531 seconds
Request model_3#1 arrives at 1533284.36972159, sleeping for 0.09692594408988953 seconds
Request model_1#1 arrives at 1533284.46704804, sleeping for 0.07129501597955823 seconds
Request model_1#2 arrives at 1533284.540512356, sleeping for 0.05263240612111986 seconds
Request model_1#3 arrives at 1533284.595078777, sleeping for 0.3283079778775573 seconds
Request model_3#2 arrives at 1533284.925275631, sleeping for 0.4211966909933835 seconds
Request model_1#4 arrives at 1533285.347603165, sleeping for 0.06767282774671912 seconds
Request model_3#3 arrives at 1533285.416602397, sleeping for 0.18081757565960288 seconds
Request model_1#5 arrives at 1533285.598249487, sleeping for 0.234330958686769 seconds
Request model_1#6 arrives at 1533285.833899622, sleeping for 0.1499183219857514 seconds
Request model_1#7 arrives at 1533285.984649034, sleeping for 0.0702563792001456 seconds
Request model_1#8 arrives at 1533286.055814452, sleeping for 0.202480515697971 seconds
Request model_3#4 arrives at 1533286.259688613, sleeping for 0.07827957207337022 seconds
Request model_4#3 arrives at 1533286.3384535, sleeping for 0.1445061732083559 seconds
Request model_1#9 arrives at 1533286.484904348, sleeping for 0.010080574080348015 seconds
Request model_4#4 arrives at 1533286.496148085, sleeping for 0.1604483793489635 seconds
Request model_1#10 arrives at 1533286.656832733, sleeping for 0.4981080109719187 seconds
Request model_4#5 arrives at 1533287.15609951, sleeping for 0.029558171052485704 seconds
Request model_3#5 arrives at 1533287.186042121, sleeping for 0.05355319078080356 seconds
Request model_1#11 arrives at 1533287.239845265, sleeping for 0.09350105933845043 seconds
Request model_3#6 arrives at 1533287.3339773, sleeping for 0.2398335828911513 seconds
Request model_1#12 arrives at 1533287.575637162, sleeping for 0.1746862642467022 seconds
Request model_4#6 arrives at 1533287.751190305, sleeping for 0.03101814817637205 seconds
Request model_1#13 arrives at 1533287.782749388, sleeping for 0.07003900152631104 seconds
Request model_1#14 arrives at 1533287.85313455, sleeping for 0.14241975056938827 seconds
Request model_1#15 arrives at 1533287.997432262, sleeping for 0.17066939058713615 seconds
Request model_1#16 arrives at 1533288.168573881, sleeping for 0.23209557705558836 seconds
Request model_1#17 arrives at 1533288.401039002, sleeping for 0.06321664364077151 seconds
Request model_1#18 arrives at 1533288.465393208, sleeping for 0.05717108817771077 seconds
Request model_4#7 arrives at 1533288.523898409, sleeping for 0.0429387167096138 seconds
Request model_4#8 arrives at 1533288.569173288, sleeping for 0.11774145043455064 seconds
Request model_4#9 arrives at 1533288.688200835, sleeping for 0.34738725796341896 seconds
Request model_1#19 arrives at 1533289.03803845, sleeping for 0.0510517293587327 seconds
Request model_4#10 arrives at 1533289.089559077, sleeping for 0.09714459720999002 seconds
Request model_1#20 arrives at 1533289.187902425, sleeping for 0.021705371094867587 seconds
Request model_1#21 arrives at 1533289.209959175, sleeping for 0.01767435227520764 seconds
Request model_3#7 arrives at 1533289.227938963, sleeping for 0.1576682182494551 seconds
Request model_1#22 arrives at 1533289.386298163, sleeping for 0.09968955419026315 seconds
Request model_4#11 arrives at 1533289.48708146, sleeping for 0.210987763479352 seconds
Request model_1#23 arrives at 1533289.699562857, sleeping for 0.026379289804026484 seconds
Request model_4#12 arrives at 1533289.726523664, sleeping for 0.3731733476743102 seconds
Request model_1#24 arrives at 1533290.101196541, sleeping for 0.42233762238174677 seconds
Request model_1#25 arrives at 1533290.525924324, sleeping for 0.05074573843739927 seconds
Request model_4#13 arrives at 1533290.577721503, sleeping for 0.2977137719281018 seconds
Request model_4#14 arrives at 1533290.876219412, sleeping for 0.2845824961550534 seconds
Request model_3#8 arrives at 1533291.16275422, sleeping for 0.1801186786033213 seconds
Request model_4#15 arrives at 1533291.343332901, sleeping for 0.026452249847352505 seconds
Request model_1#26 arrives at 1533291.371899172, sleeping for 0.014150551753118634 seconds
Request model_3#9 arrives at 1533291.386847967, sleeping for 0.2357466642279178 seconds
Request model_3#10 arrives at 1533291.623968143, sleeping for 0.07717320136725903 seconds
Request model_1#27 arrives at 1533291.701665242, sleeping for 0.0251866786275059 seconds
Request model_1#28 arrives at 1533291.727927815, sleeping for 0.12303450796753168 seconds
Request model_1#29 arrives at 1533291.85193151, sleeping for 0.27181791816838086 seconds
Request model_4#16 arrives at 1533292.124260948, sleeping for 0.30757787311449647 seconds
Request model_1#30 arrives at 1533292.433236018, sleeping for 0.20880315732210875 seconds
Request model_1#31 arrives at 1533292.644032692, sleeping for 0.09470749204047024 seconds
Request model_4#17 arrives at 1533292.739645739, sleeping for 0.06215038802474737 seconds
Request model_3#11 arrives at 1533292.802371712, sleeping for 0.07017991784960032 seconds
Request model_4#18 arrives at 1533292.873550661, sleeping for 0.05652636266313493 seconds
Request model_3#12 arrives at 1533292.930710931, sleeping for 0.004490713123232126 seconds
Request model_1#32 arrives at 1533292.936458216, sleeping for 0.09585955110378563 seconds
Request model_1#33 arrives at 1533293.033837276, sleeping for 0.04345260374248028 seconds
Request model_3#13 arrives at 1533293.078030036, sleeping for 0.06235210853628814 seconds
Request model_1#34 arrives at 1533293.142077, sleeping for 0.02985447575338185 seconds
Request model_1#35 arrives at 1533293.172759166, sleeping for 0.10329981124959886 seconds
Request model_1#36 arrives at 1533293.276978059, sleeping for 0.000730864005163312 seconds
Request model_1#37 arrives at 1533293.279425548, sleeping for 0.006089564645662904 seconds
Request model_1#38 arrives at 1533293.286773624, sleeping for 0.21856927499175072 seconds
Request model_4#19 arrives at 1533293.506680349, sleeping for 0.0800468132365495 seconds
Request model_4#20 arrives at 1533293.58738483, sleeping for 0.038794375490397215 seconds
Request model_3#14 arrives at 1533293.626740264, sleeping for 0.22877252497710288 seconds
Request model_4#21 arrives at 1533293.856510723, sleeping for 0.02133167441934347 seconds
Request model_1#39 arrives at 1533293.878859866, sleeping for 0.12099613947793841 seconds
