Real trace file: /workspace/prism-merge/exp/workloads/final-compare/bursty_r8_s99.pkl
[PRISM_DIRECT] 3429 requests, span 419.9s
Starting TP benchmark: paper-faithful-v6_bursty_rate8_seed99
Generated 3429 requests
Request model_4#0 arrives at 1613250.301358758, sleeping for 0.018199154641479254 seconds
Request model_6#0 arrives at 1613250.32051604, sleeping for 0.03540449170395732 seconds
Request model_4#1 arrives at 1613250.356740597, sleeping for 0.11401686770841479 seconds
Request model_2#0 arrives at 1613250.471457919, sleeping for 0.026150823570787907 seconds
Request model_2#1 arrives at 1613250.499407021, sleeping for 0.03579155937768519 seconds
Request model_4#2 arrives at 1613250.535348606, sleeping for 0.009341121884062886 seconds
Request model_4#3 arrives at 1613250.546030461, sleeping for 0.015327075263485312 seconds
Request model_4#4 arrives at 1613250.561554675, sleeping for 0.5546507013496011 seconds
Request model_4#5 arrives at 1613251.117800904, sleeping for 0.029504335019737482 seconds
Request model_4#6 arrives at 1613251.148090135, sleeping for 0.04361590906046331 seconds
Request model_4#7 arrives at 1613251.19283321, sleeping for 0.06858526589348912 seconds
Request model_4#8 arrives at 1613251.262516643, sleeping for 0 seconds
Request model_4#9 arrives at 1613251.262833536, sleeping for 0.16883674962446094 seconds
Request model_4#10 arrives at 1613251.432686495, sleeping for 0.33697762293741107 seconds
Request model_6#1 arrives at 1613251.771808, sleeping for 0.06145592010580003 seconds
Request model_4#11 arrives at 1613251.834314026, sleeping for 0.06080035422928631 seconds
Request model_6#2 arrives at 1613251.895638353, sleeping for 0.10390057531185448 seconds
Request model_2#2 arrives at 1613252.001521654, sleeping for 0.03335403255186975 seconds
Request model_4#12 arrives at 1613252.035224962, sleeping for 0.051857279147952795 seconds
Request model_4#13 arrives at 1613252.087629148, sleeping for 0.11893515149131417 seconds
Request model_6#3 arrives at 1613252.208504888, sleeping for 0.12252808711491525 seconds
Request model_4#14 arrives at 1613252.331846298, sleeping for 0.02214200864546001 seconds
Request model_6#4 arrives at 1613252.354298947, sleeping for 0.013234915910288692 seconds
Request model_4#15 arrives at 1613252.369422307, sleeping for 0.11068279528990388 seconds
Request model_4#16 arrives at 1613252.480463059, sleeping for 0.004551562247797847 seconds
Request model_6#5 arrives at 1613252.485828162, sleeping for 0.045713660307228565 seconds
Request model_4#17 arrives at 1613252.532020418, sleeping for 0.3486240024212748 seconds
Request model_6#6 arrives at 1613252.882993547, sleeping for 0.33159804390743375 seconds
Request model_2#3 arrives at 1613253.215481318, sleeping for 0.24865836394019425 seconds
Request model_6#7 arrives at 1613253.465467654, sleeping for 0.22013930627144873 seconds
Request model_4#18 arrives at 1613253.686286148, sleeping for 0.21082593430764973 seconds
Request model_4#19 arrives at 1613253.897497536, sleeping for 0.10841933195479214 seconds
