Real trace file: /workspace/prism-exp/exp/workloads/paper-faithful-v4/bursty_r8_s1.pkl
[PRISM_DIRECT] 3387 requests, span 419.6s
Starting TP benchmark: tp-aa-strict_r8_s1
Generated 3387 requests
Request model_6#3 arrives at 1570797.12677703, sleeping for 0.11969780456274748 seconds
Request model_2#51 arrives at 1570797.248473611, sleeping for 0.014074606588110328 seconds
Request model_2#52 arrives at 1570797.264035928, sleeping for 0.0536539307795465 seconds
Request model_2#53 arrives at 1570797.318397165, sleeping for 0.11054453579708934 seconds
Request model_2#54 arrives at 1570797.42999544, sleeping for 0.18788944836705923 seconds
Request model_5#14 arrives at 1570797.61843136, sleeping for 0.10187867493368685 seconds
Request model_3#9 arrives at 1570797.721051648, sleeping for 0.05543416831642389 seconds
Request model_6#4 arrives at 1570797.777194558, sleeping for 0.018013393506407738 seconds
Request model_2#55 arrives at 1570797.797069027, sleeping for 0.01922669098712504 seconds
Request model_6#5 arrives at 1570797.816939625, sleeping for 0.2877272891346365 seconds
Request model_2#56 arrives at 1570798.105303484, sleeping for 0.0028136346954852343 seconds
Request model_3#10 arrives at 1570798.109092192, sleeping for 0.10394833516329527 seconds
Request model_5#15 arrives at 1570798.213264471, sleeping for 0.14265864994376898 seconds
Request model_3#11 arrives at 1570798.356600334, sleeping for 0.0458027885761112 seconds
Request model_2#57 arrives at 1570798.40283713, sleeping for 0.042147186351940036 seconds
Request model_2#58 arrives at 1570798.445414879, sleeping for 0.028424100251868367 seconds
Request model_6#6 arrives at 1570798.474824309, sleeping for 0.05985156400129199 seconds
Request model_5#16 arrives at 1570798.535927206, sleeping for 0.16510611842386425 seconds
Request model_5#17 arrives at 1570798.702360732, sleeping for 0.13470372650772333 seconds
Request model_2#59 arrives at 1570798.838738483, sleeping for 0.34838692471385 seconds
Request model_2#60 arrives at 1570799.187679254, sleeping for 0.08719197893515229 seconds
Request model_2#61 arrives at 1570799.276978113, sleeping for 0.005825934465974569 seconds
Request model_2#62 arrives at 1570799.283161679, sleeping for 0.023994759656488895 seconds
Request model_3#12 arrives at 1570799.308115016, sleeping for 0.15519579034298658 seconds
Request model_3#13 arrives at 1570799.464448936, sleeping for 0.02681621233932674 seconds
Request model_2#63 arrives at 1570799.492755387, sleeping for 0.044930353527888656 seconds
Request model_2#64 arrives at 1570799.538894443, sleeping for 0.20861813565716147 seconds
Request model_2#65 arrives at 1570799.749385238, sleeping for 0.06851177103817463 seconds
Request model_2#66 arrives at 1570799.818746507, sleeping for 0.16117058810777962 seconds
Request model_5#18 arrives at 1570799.980408438, sleeping for 0.15664870711043477 seconds
Request model_2#67 arrives at 1570800.138159158, sleeping for 0.08711217599920928 seconds
Request model_2#68 arrives at 1570800.225752914, sleeping for 0.16720775933936238 seconds
Request model_6#7 arrives at 1570800.393436129, sleeping for 0.06466479157097638 seconds
Request model_3#14 arrives at 1570800.458833428, sleeping for 0.15686010126955807 seconds
Request model_2#69 arrives at 1570800.616831351, sleeping for 0.11327936267480254 seconds
Request model_2#70 arrives at 1570800.730615033, sleeping for 0.07304228702560067 seconds
Request model_2#71 arrives at 1570800.804649787, sleeping for 0.017328829737380147 seconds
Request model_2#72 arrives at 1570800.823111465, sleeping for 0.4117466837633401 seconds
Request model_2#73 arrives at 1570801.23666815, sleeping for 0.25482927984558046 seconds
Request model_2#74 arrives at 1570801.491944721, sleeping for 0.08465643716044724 seconds
Request model_2#75 arrives at 1570801.577159169, sleeping for 0.36098211351782084 seconds
Request model_2#76 arrives at 1570801.939512962, sleeping for 0.19035163382068276 seconds
Request model_2#77 arrives at 1570802.130964445, sleeping for 0.13099154271185398 seconds
Request model_2#78 arrives at 1570802.262801262, sleeping for 0.06202521058730781 seconds
Request model_2#79 arrives at 1570802.325612192, sleeping for 0.13380630780011415 seconds
Request model_2#80 arrives at 1570802.459877847, sleeping for 0.060098624089732766 seconds
Request model_5#19 arrives at 1570802.521457978, sleeping for 0.21230477490462363 seconds
Request model_2#81 arrives at 1570802.735151937, sleeping for 0.15138160018250346 seconds
Request model_2#82 arrives at 1570802.887470028, sleeping for 0.13733165990561247 seconds
Request model_2#83 arrives at 1570803.025657322, sleeping for 0.17170474398881197 seconds
Request model_3#15 arrives at 1570803.198099693, sleeping for 0.35575988539494574 seconds
Request model_2#84 arrives at 1570803.554536042, sleeping for 0.33528128475882113 seconds
Request model_2#85 arrives at 1570803.890540667, sleeping for 0.2575775005389005 seconds
Request model_6#8 arrives at 1570804.149540746, sleeping for 0.06408128840848804 seconds
Request model_2#86 arrives at 1570804.21417827, sleeping for 0.06405512988567352 seconds
Request model_2#87 arrives at 1570804.278827484, sleeping for 0.04086017329245806 seconds
Request model_2#88 arrives at 1570804.320544966, sleeping for 0.22403675504028797 seconds
Request model_2#89 arrives at 1570804.54548524, sleeping for 0.03562682820484042 seconds
Request model_2#90 arrives at 1570804.581806292, sleeping for 0.0476388530805707 seconds
Request model_5#20 arrives at 1570804.630021153, sleeping for 0.10936795361340046 seconds
Request model_3#16 arrives at 1570804.740311719, sleeping for 0.006543253315612674 seconds
Request model_2#91 arrives at 1570804.747519232, sleeping for 0.14827161142602563 seconds
Request model_2#92 arrives at 1570804.896869061, sleeping for 0.010282448725774884 seconds
Request model_6#9 arrives at 1570804.908356557, sleeping for 0.029981481609866023 seconds
Request model_5#21 arrives at 1570804.93952005, sleeping for 0.08634339994750917 seconds
Request model_5#22 arrives at 1570805.027059085, sleeping for 0.07047458435408771 seconds
Request model_3#17 arrives at 1570805.098627681, sleeping for 0.39375408249907196 seconds
Request model_2#93 arrives at 1570805.493201205, sleeping for 0.10223676124587655 seconds
Request model_2#94 arrives at 1570805.596429798, sleeping for 0.15338859497569501 seconds
Request model_5#23 arrives at 1570805.750814944, sleeping for 0.43915196834132075 seconds
Request model_2#95 arrives at 1570806.191298032, sleeping for 0.20361961424350739 seconds
Request model_2#96 arrives at 1570806.395194319, sleeping for 0.007853037444874644 seconds
Request model_2#97 arrives at 1570806.40342402, sleeping for 0.07459809212014079 seconds
Request model_5#24 arrives at 1570806.478386422, sleeping for 0.24680659687146544 seconds
Request model_2#98 arrives at 1570806.725920415, sleeping for 0.020793337374925613 seconds
Request model_5#25 arrives at 1570806.747705538, sleeping for 0.04875884251669049 seconds
Request model_2#99 arrives at 1570806.797480161, sleeping for 0.4913930513430387 seconds
Request model_3#18 arrives at 1570807.289996509, sleeping for 0.039085882250219584 seconds
Request model_2#100 arrives at 1570807.329801397, sleeping for 0.04896544269286096 seconds
Request model_2#101 arrives at 1570807.379480809, sleeping for 0.08756768936291337 seconds
Request model_2#102 arrives at 1570807.468314574, sleeping for 0.11144394450820982 seconds
Request model_2#103 arrives at 1570807.580703896, sleeping for 0.27544148080050945 seconds
Request model_3#19 arrives at 1570807.857421277, sleeping for 0.14788222080096602 seconds
Request model_2#104 arrives at 1570808.006606064, sleeping for 0.00898724258877337 seconds
Request model_5#26 arrives at 1570808.01674047, sleeping for 0.005439953412860632 seconds
Request model_2#105 arrives at 1570808.02333905, sleeping for 0.20887864334508777 seconds
Request model_6#10 arrives at 1570808.233877886, sleeping for 0.08779821055941284 seconds
Request model_2#106 arrives at 1570808.323682259, sleeping for 0.03938411665149033 seconds
Request model_2#107 arrives at 1570808.363485037, sleeping for 0.021184562239795923 seconds
Request model_6#11 arrives at 1570808.38532193, sleeping for 0.0006605361122637987 seconds
Request model_2#108 arrives at 1570808.386282248, sleeping for 0.045410037972033024 seconds
Request model_2#109 arrives at 1570808.432404653, sleeping for 0.18684041453525424 seconds
Request model_2#110 arrives at 1570808.620164569, sleeping for 0.04742063512094319 seconds
Request model_6#12 arrives at 1570808.66841747, sleeping for 0.05370533489622176 seconds
Request model_5#27 arrives at 1570808.722631546, sleeping for 0.0030567478388547897 seconds
Request model_2#111 arrives at 1570808.726696777, sleeping for 0.2006553567480296 seconds
Request model_2#112 arrives at 1570808.928368507, sleeping for 0.0231030504219234 seconds
Request model_2#113 arrives at 1570808.952193555, sleeping for 0.14912906638346612 seconds
Request model_2#114 arrives at 1570809.101953247, sleeping for 0.09397418680600822 seconds
Request model_2#115 arrives at 1570809.196608306, sleeping for 0.17812687624245882 seconds
Request model_2#116 arrives at 1570809.375692276, sleeping for 0.1983604331035167 seconds
Request model_2#117 arrives at 1570809.574774808, sleeping for 0.07945300871506333 seconds
Request model_2#118 arrives at 1570809.65519705, sleeping for 0.11097819125279784 seconds
