[2026-08-20 13:26:44.619 Model_Service_0] [PAPER-LOAD-V4] peer access: {'0->1': True, '0->2': True, '0->3': True, '1->0': True, '1->2': True, '1->3': True, '2->0': True, '2->1': True, '2->3': True, '3->0': True, '3->1': True, '3->2': True} p2p=False
[2026-08-20 13:26:49.622 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:26:54.855 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:27:00.089 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:27:05.354 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:27:10.581 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:27:15.806 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:27:21.043 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:27:26.270 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:27:31.499 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:27:36.729 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:27:41.973 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:27:47.393 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:27:52.871 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:27:58.414 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:28:03.645 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:28:08.901 Model_Service_0] Model service 0 input queue is empty, waiting for next request
