implementation,workload,request_rate,seed,offered_rate,achieved_throughput,goodput,total_requests,completed_requests,failed_requests,joint_slo,ttft_slo,tpot_slo,ttft_mean,ttft_p50,ttft_p95,ttft_p99,ttft_max,tpot_mean,tpot_p50,tpot_p95,tpot_p99,tpot_max,e2e_mean,e2e_p50,e2e_p95,e2e_p99,e2e_max,migration_count,migration_decisions_logged,migration_success,migration_failed,migration_latency_is_submission_only,migration_latency_mean,migration_latency_p50,migration_latency_p95,migration_latency_p99,migration_latency_max,migration_total_time,migration_weight_bytes,migration_kv_bytes,migration_total_bytes,migration_bandwidth,migration_bandwidth_p50,migration_paths,service_downtime_mean,service_downtime_p50,service_downtime_p95,service_downtime_p99,admitted_requests,deferred_requests,requeued_requests,shed_requests,deadline_violations,alg2_rounds,alg2_eligible,alg2_pathological_rounds,queue_length_mean,queue_length_max,activations,deactivations,idle_evictions,alg1_cycles,alg1_placement_decisions,alg1_migrate_decisions,activation_count,activation_total_s,deactivation_count,deactivation_total_s,weight_transfer_total_s,weight_transfer_mean_gbps,weight_transfers,p2p_weight_transfers,page_locked_transfers,alg1_suppressed_by_tau,alg1_rejected_by_memory,alg1_convergence_gap_mean
paper-faithful-v6,bursty,20,0,19.533333333333335,14.52,0.14,5860,4356,1504,0.007167235494880546,0.35460750853242323,0.01143344709897611,10315.205190299956,445.1342821121216,67803.85237932205,83806.20026588438,101174.92985725403,192.42638682822576,131.63170582782743,522.1218168244167,1624.2005035281181,2469.9650406837463,32196.206590797003,22781.343998969533,98416.05157236336,122053.60222634627,133838.2403999567,8,17,8,0,0,2120.7915246486664,2012.1545791625977,3091.4890170097347,3333.9174628257747,3394.524574279785,115.72441220283508,60808544256,21318209536,82126753792,12.691549553251921,15.01296705059229,gpu-to-gpu-p2p;host-to-device + helper-gpu-p2p,12343.94171833992,6570.616245269775,29696.797502040863,30338.278605937958,,,,,,,,,,,,,,51,252,9,20,92.74970722198486,13,34.75191068649292,12.765517274150625,13.045045476701572,18,4,18,45,0,0.6666666666666666
paper-faithful-v6,bursty,20,42,20.32,18.796666666666667,0.2,6096,5639,457,0.00984251968503937,0.3585958005249344,0.01755249343832021,9366.513519216078,1045.5400943756104,36765.84250926971,44927.69865989678,67228.33013534546,158.0176654263223,108.9437665610478,452.53058307700667,1378.9658232582192,2132.56399333477,26986.562439275276,22013.80938012153,72017.93773714443,85677.91971208993,89392.8948820103,8,16,8,0,0,17694.43193078041,2441.290497779846,69259.493625164,87075.34671545027,91529.30998802185,196.6788911819458,36763253760,11537100800,48300354560,12.00370400506894,11.905976281693329,gpu-to-gpu-p2p;host-to-device + helper-gpu-p2p,19891.327768564224,5932.79767036438,70662.75454759595,87355.99889993666,,,,,,,,,,,,,,61,336,9,18,91.43907713890076,12,22.841001749038696,14.272713386220858,10.516088440321173,18,4,18,56,0,0.47540983606557374
