implementation,workload,request_rate,seed,offered_rate,achieved_throughput,goodput,total_requests,completed_requests,failed_requests,joint_slo,ttft_slo,tpot_slo,ttft_mean,ttft_p50,ttft_p95,ttft_p99,ttft_max,tpot_mean,tpot_p50,tpot_p95,tpot_p99,tpot_max,e2e_mean,e2e_p50,e2e_p95,e2e_p99,e2e_max,migration_count,migration_decisions_logged,migration_success,migration_failed,migration_latency_is_submission_only,migration_latency_mean,migration_latency_p50,migration_latency_p95,migration_latency_p99,migration_latency_max,migration_total_time,migration_weight_bytes,migration_kv_bytes,migration_total_bytes,migration_bandwidth,migration_bandwidth_p50,migration_paths,service_downtime_mean,service_downtime_p50,service_downtime_p95,service_downtime_p99,admitted_requests,deferred_requests,requeued_requests,shed_requests,deadline_violations,alg2_rounds,alg2_eligible,alg2_pathological_rounds,queue_length_mean,queue_length_max,activations,deactivations,idle_evictions,alg1_cycles,alg1_placement_decisions,alg1_migrate_decisions,activation_count,activation_total_s,deactivation_count,deactivation_total_s,weight_transfer_total_s,weight_transfer_mean_gbps,weight_transfers,p2p_weight_transfers,page_locked_transfers,alg1_suppressed_by_tau,alg1_rejected_by_memory,alg1_convergence_gap_mean
paper-faithful-v6,bursty,20,0,19.533333333333335,11.543333333333333,0.29333333333333333,5860,3463,2397,0.015017064846416382,0.418259385665529,0.016723549488054608,634.730513234239,174.61347579956055,3153.862524032589,5080.989508628845,10963.079452514648,194.68821517755353,142.18008518218994,479.76050508576486,1568.2795064764878,2238.5107427835464,20863.98805707003,11900.805331999436,67687.78477292498,103484.7888618196,112646.16734813899,0,0,0,0,0,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,,nan,nan,nan,nan,,,,,,,,,,,,,,55,268,0,4,6.479663848876953,5,4.5338380336761475,9.669046546332538,8.499125572976551,10,0,10,93,0,0.0
paper-faithful-v6,bursty,20,42,20.32,17.173333333333332,0.38333333333333336,6096,5152,944,0.018864829396325458,0.47408136482939633,0.020013123359580054,1218.6218753271962,213.55414390563965,5966.305983066555,8583.680419921875,10385.261297225952,211.84529372496067,112.6314103332104,766.1590025380802,1708.5221809148788,2143.0785804986954,23345.387006480338,14877.003191038966,77831.37710767332,119883.24695953367,145890.83281089552,0,0,0,0,0,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,,nan,nan,nan,nan,,,,,,,,,,,,,,66,362,0,6,12.273996353149414,6,9.185529947280884,10.792643066728488,10.933983629535717,12,0,12,140,0,0.0
