Real trace file: /workspace/prism-merge/exp/workloads/final-compare/bursty_r20_s2.pkl
[PRISM_DIRECT] 8244 requests, span 419.9s
Starting TP benchmark: released-prototype_bursty_rate20_seed2
Generated 8244 requests
Request model_4#0 arrives at 1600829.975543668, sleeping for 0.0016283488366752863 seconds
Request model_4#1 arrives at 1600829.977706044, sleeping for 0.048473158618435264 seconds
Request model_1#0 arrives at 1600830.026374326, sleeping for 0.07580022024922073 seconds
Request model_1#1 arrives at 1600830.103158417, sleeping for 0.13772804359905422 seconds
Request model_3#0 arrives at 1600830.241315204, sleeping for 0.050820606062188745 seconds
Request model_4#2 arrives at 1600830.292478294, sleeping for 0.03192363120615482 seconds
Request model_3#1 arrives at 1600830.32561088, sleeping for 0.005585042526945472 seconds
Request model_1#2 arrives at 1600830.331466594, sleeping for 0.06557833822444081 seconds
Request model_3#2 arrives at 1600830.397323243, sleeping for 0.1147713481914252 seconds
Request model_1#3 arrives at 1600830.51252815, sleeping for 0.011667702347040176 seconds
Request model_4#3 arrives at 1600830.524605119, sleeping for 0.038613340351730585 seconds
Request model_3#3 arrives at 1600830.563582389, sleeping for 0.01312176906503737 seconds
Request model_4#4 arrives at 1600830.578549721, sleeping for 0.07293099747039378 seconds
Request model_1#4 arrives at 1600830.652376659, sleeping for 0.0411213671322912 seconds
Request model_4#5 arrives at 1600830.69412568, sleeping for 0.036506631411612034 seconds
Request model_1#5 arrives at 1600830.73181364, sleeping for 0.01648526219651103 seconds
Request model_3#4 arrives at 1600830.748540364, sleeping for 0.007471486693248153 seconds
Request model_4#6 arrives at 1600830.756630885, sleeping for 0.04902676190249622 seconds
Request model_1#6 arrives at 1600830.806589856, sleeping for 0.07753901882097125 seconds
Request model_1#7 arrives at 1600830.884578366, sleeping for 0 seconds
Request model_4#7 arrives at 1600830.885075049, sleeping for 0.0506053667049855 seconds
Request model_1#8 arrives at 1600830.935952337, sleeping for 0.053496736800298095 seconds
Request model_1#9 arrives at 1600830.990230011, sleeping for 0.08831241400912404 seconds
Request model_4#8 arrives at 1600831.079589285, sleeping for 0.08735066838562489 seconds
Request model_4#9 arrives at 1600831.167375648, sleeping for 0.10686548193916678 seconds
Request model_1#10 arrives at 1600831.274613195, sleeping for 0.07444203132763505 seconds
Request model_4#10 arrives at 1600831.349838944, sleeping for 0.10033138026483357 seconds
Request model_1#11 arrives at 1600831.450996596, sleeping for 0.021704227663576603 seconds
Request model_3#5 arrives at 1600831.47305534, sleeping for 0.021369369933381677 seconds
Request model_1#12 arrives at 1600831.495008573, sleeping for 0.006617989158257842 seconds
Request model_1#13 arrives at 1600831.501925155, sleeping for 0.049036257667467 seconds
Request model_1#14 arrives at 1600831.551889886, sleeping for 0.01854072674177587 seconds
Request model_1#15 arrives at 1600831.571937265, sleeping for 0.014576578745618463 seconds
Request model_1#16 arrives at 1600831.586795066, sleeping for 0.05344036151655018 seconds
Request model_3#6 arrives at 1600831.640719727, sleeping for 0.05834054807201028 seconds
Request model_4#11 arrives at 1600831.699843756, sleeping for 0.023025295231491327 seconds
Request model_1#17 arrives at 1600831.72319602, sleeping for 0.029378952691331506 seconds
Request model_4#12 arrives at 1600831.752965771, sleeping for 0.03140438185073435 seconds
Request model_1#18 arrives at 1600831.784637007, sleeping for 0.03816444077529013 seconds
Request model_3#7 arrives at 1600831.823518805, sleeping for 0.0588565357029438 seconds
Request model_3#8 arrives at 1600831.884223067, sleeping for 0.00907314894720912 seconds
Request model_1#19 arrives at 1600831.894911446, sleeping for 0.09282316965982318 seconds
Request model_1#20 arrives at 1600831.988392791, sleeping for 0.14226478268392384 seconds
Request model_1#21 arrives at 1600832.131429394, sleeping for 0.007543049985542893 seconds
Request model_1#22 arrives at 1600832.139146602, sleeping for 0.050561940064653754 seconds
Request model_4#13 arrives at 1600832.190710515, sleeping for 0.0034288775641471148 seconds
Request model_1#23 arrives at 1600832.194391243, sleeping for 0.015668930485844612 seconds
Request model_3#9 arrives at 1600832.211055317, sleeping for 0.054517557844519615 seconds
Request model_1#24 arrives at 1600832.265937745, sleeping for 0.08740457962267101 seconds
Request model_4#14 arrives at 1600832.354058339, sleeping for 0.016065595438703895 seconds
Request model_1#25 arrives at 1600832.370834344, sleeping for 0.00959445908665657 seconds
Request model_1#26 arrives at 1600832.381534074, sleeping for 0.03191569377668202 seconds
Request model_1#27 arrives at 1600832.414494709, sleeping for 0.009764342568814754 seconds
Request model_1#28 arrives at 1600832.425193918, sleeping for 0.06792900711297989 seconds
Request model_1#29 arrives at 1600832.493880849, sleeping for 0.04878746997565031 seconds
Request model_1#30 arrives at 1600832.543584288, sleeping for 0.08594027697108686 seconds
Request model_3#10 arrives at 1600832.630375304, sleeping for 0.00773940933868289 seconds
Request model_1#31 arrives at 1600832.639055148, sleeping for 0.011084664147347212 seconds
Request model_1#32 arrives at 1600832.650818136, sleeping for 0.016423871042206883 seconds
Request model_1#33 arrives at 1600832.66749224, sleeping for 0.0925467952620238 seconds
Request model_1#34 arrives at 1600832.761241007, sleeping for 0.14584381552413106 seconds
