arm,workload,rate,seed,migrations,near_n,far_n,ttft_near_ms,ttft_far_ms,tpot_near_ms,tpot_far_ms,ttft_ratio,tpot_ratio
paper-faithful-v3,bursty,20,1,12,3443,376,89.88761901855469,85.28506755828857,45.701272785663605,48.98731622490145,1.0539666742612412,0.9329205253018644
paper-faithful-v3,bursty,20,2,13,3136,393,204.78403568267822,164.3240451812744,145.4108287890752,96.47925719388128,1.2462207551960536,1.5071719353815378
paper-faithful-v3,bursty,20,3,13,3642,0,135.62512397766113,nan,67.27827186651021,nan,nan,nan
paper-faithful-v3,bursty,8,1,13,1530,0,116.40369892120361,nan,50.40159970521927,nan,nan,nan
paper-faithful-v3,bursty,8,2,12,1161,472,109.4214916229248,112.73157596588135,52.47335924821741,53.05435787886381,0.970637469452584,0.989048993261346
paper-faithful-v3,bursty,8,3,13,1598,0,120.19991874694824,nan,58.14394447952509,nan,nan,nan
paper-faithful-v3,steady,8,1,13,1439,0,112.20240592956543,nan,51.31896700177874,nan,nan,nan
paper-faithful-v3,steady,8,2,12,1314,0,111.8086576461792,nan,53.39578316346103,nan,nan,nan
paper-faithful-v3,steady,8,3,13,1424,0,119.57049369812012,nan,54.77488040924072,nan,nan,nan
paper-faithful-v4,bursty,20,1,13,3589,367,92.53525733947754,85.70289611816406,51.32261544716459,47.807277517115814,1.0797214741949124,1.0735314394087851
paper-faithful-v4,bursty,20,2,13,3487,0,280.52687644958496,nan,133.36498009230564,nan,nan,nan
paper-faithful-v4,bursty,20,3,13,3662,0,128.0806064605713,nan,74.17103396545507,nan,nan,nan
paper-faithful-v4,bursty,8,1,13,1367,169,118.14570426940918,90.89136123657227,51.35608029862245,41.69214020172755,1.299856253246106,1.231792852325064
paper-faithful-v4,bursty,8,2,15,1400,0,116.93823337554932,nan,49.89995874975826,nan,nan,nan
paper-faithful-v4,bursty,8,3,15,1601,0,132.76290893554688,nan,67.48450795809428,nan,nan,nan
paper-faithful-v4,steady,8,1,13,1450,0,117.66231060028076,nan,54.82508060916158,nan,nan,nan
paper-faithful-v4,steady,8,2,14,1434,0,113.97087574005127,nan,51.31795698537507,nan,nan,nan
paper-faithful-v4,steady,8,3,13,1462,0,120.33534049987793,nan,55.78157243629296,nan,nan,nan
released-prototype,bursty,20,1,6,1568,2018,374.44615364074707,233.89661312103271,149.64967767693662,166.72183200716972,1.6009045562664272,0.8976009672836432
released-prototype,bursty,20,2,3,895,784,405.7273864746094,153.8001298904419,193.838006074208,88.41577134820432,2.6380171899960394,2.1923464911121284
released-prototype,bursty,20,3,3,766,846,1352.2976636886597,173.47049713134766,173.5180489022839,113.40575148892958,7.7955484422502845,1.5300639220156516
released-prototype,bursty,8,1,2,308,308,87.82613277435303,58.70842933654785,35.93037805209558,27.848223673886267,1.495971426366852,1.2902215406215685
released-prototype,bursty,8,2,3,385,156,139.17875289916992,95.94392776489258,69.9001123189231,42.30096249949533,1.4506259660353165,1.6524473248039464
released-prototype,bursty,8,3,6,687,485,134.9339485168457,111.00101470947266,68.62614821579497,48.27064481274835,1.215610045277637,1.4216952866904877
