arm,workload,rate,seed,affected_n,control_n,tpot_affected_ms,tpot_control_ms,e2e_affected_ms,e2e_control_ms,tpot_ratio,e2e_ratio
paper-faithful-v3,bursty,20,2,569,181,128.2974909991026,154.60839757212887,32896.91143699747,37245.398143000784,0.8298222671847333,0.8832476782955134
paper-faithful-v4,bursty,8,2,96,20,49.294685252611416,46.91584001038237,16820.735430999775,17161.416967494006,1.050704522005843,0.980148402830633
released-prototype,bursty,20,1,158,533,49.50994632873882,173.74304874793634,16524.94215349725,60324.56854300108,0.28496073187116144,0.2739338639731472
released-prototype,bursty,20,2,305,85,125.81820910175642,85.98798042119935,34327.66839899705,25873.37498400302,1.4632069329394017,1.326756498532609
released-prototype,bursty,20,3,51,45,52.51701548695564,51.09907500445843,11789.509210007964,17586.48554199317,1.0277488483377342,0.6703732352809699
released-prototype,bursty,8,1,16,1,23.22293053662416,18.256386999267242,8459.934067999711,6706.2201959925005,1.2720441639167848,1.2615055606219423
released-prototype,bursty,8,2,38,10,42.1209736952778,27.61691529303789,14340.434833495237,10327.774240497092,1.5251874892014576,1.3885310135134217
released-prototype,bursty,8,3,42,20,32.83429551814133,40.07318464657879,10391.631569007586,12718.074105992855,0.8193582768057973,0.817075878187482
