Real trace file: /workspace/prism-exp/exp/workloads/paper-faithful-v4/bursty_r8_s3.pkl
[PRISM_DIRECT] 3372 requests, span 419.5s
Starting TP benchmark: paper-faithful-v3-alg2only_bursty_rate8_seed3
Generated 3372 requests
Request model_2#0 arrives at 138978.515993958, sleeping for 0.08008181126206182 seconds
Request model_5#0 arrives at 138978.597183939, sleeping for 0.02387493898277171 seconds
Request model_1#0 arrives at 138978.621340665, sleeping for 0.10106597308185883 seconds
Request model_3#0 arrives at 138978.723061948, sleeping for 0.0977266664558556 seconds
Request model_2#1 arrives at 138978.821211865, sleeping for 0.02707448331057094 seconds
Request model_6#0 arrives at 138978.849595667, sleeping for 0.18257580953650177 seconds
Request model_6#1 arrives at 138979.033221142, sleeping for 0.4991109851398505 seconds
Request model_6#2 arrives at 138979.53316229, sleeping for 0.04525788518367335 seconds
Request model_5#1 arrives at 138979.579422349, sleeping for 0.5776096305053215 seconds
Request model_3#1 arrives at 138980.158639406, sleeping for 0.22193214163416997 seconds
Request model_1#1 arrives at 138980.381515379, sleeping for 0.1303835996950511 seconds
Request model_6#3 arrives at 138980.512886306, sleeping for 0.16475360142067075 seconds
Request model_2#2 arrives at 138980.678120063, sleeping for 0.04874988613300957 seconds
Request model_2#3 arrives at 138980.727373637, sleeping for 0.2165348582493607 seconds
Request model_1#2 arrives at 138980.944798962, sleeping for 0.5850844664964825 seconds
Request model_3#2 arrives at 138981.53163556, sleeping for 0.02165528418845497 seconds
Request model_6#4 arrives at 138981.553983073, sleeping for 0.1290769798506517 seconds
Request model_6#5 arrives at 138981.683574867, sleeping for 0.022941263305256143 seconds
Request model_6#6 arrives at 138981.706916212, sleeping for 0.22903416492044926 seconds
Request model_6#7 arrives at 138981.936615596, sleeping for 0.08300138951744884 seconds
Request model_6#8 arrives at 138982.01992993, sleeping for 0.07766072719823569 seconds
Request model_6#9 arrives at 138982.098188827, sleeping for 0.2156225728977006 seconds
Request model_3#3 arrives at 138982.314471341, sleeping for 0.006117163226008415 seconds
Request model_6#10 arrives at 138982.321748402, sleeping for 0.08093370994902216 seconds
Request model_3#4 arrives at 138982.403258524, sleeping for 0.21474072561250068 seconds
Request model_3#5 arrives at 138982.618700016, sleeping for 0.18807013079640456 seconds
Request model_6#11 arrives at 138982.807153298, sleeping for 0.007665130513487384 seconds
Request model_3#6 arrives at 138982.8154153, sleeping for 0.11281133999000303 seconds
Request model_1#3 arrives at 138982.929222451, sleeping for 0.0961050805344712 seconds
Request model_6#12 arrives at 138983.026558176, sleeping for 0.1384609469678253 seconds
Request model_6#13 arrives at 138983.165879315, sleeping for 0.22652099104016088 seconds
Request model_6#14 arrives at 138983.393526105, sleeping for 0.034852255281293765 seconds
Request model_3#7 arrives at 138983.429171688, sleeping for 0.05173928843578324 seconds
Request model_3#8 arrives at 138983.481513197, sleeping for 0.017025891283992678 seconds
Request model_6#15 arrives at 138983.499722434, sleeping for 0 seconds
Request model_3#9 arrives at 138983.500376155, sleeping for 0.005060378345660865 seconds
Request model_3#10 arrives at 138983.505859493, sleeping for 0.026642643031664193 seconds
Request model_6#16 arrives at 138983.534085235, sleeping for 0.05941500948392786 seconds
Request model_3#11 arrives at 138983.595503747, sleeping for 0.1973810524214059 seconds
Request model_1#4 arrives at 138983.793923634, sleeping for 0.07612086608423851 seconds
Request model_3#12 arrives at 138983.870448428, sleeping for 0.0975164762348868 seconds
Request model_2#4 arrives at 138983.968740975, sleeping for 0.06543767510447651 seconds
Request model_2#5 arrives at 138984.035092435, sleeping for 0.0981382064637728 seconds
Request model_1#5 arrives at 138984.134409493, sleeping for 0.12394376771408133 seconds
Request model_5#2 arrives at 138984.258799639, sleeping for 0.26073332733358257 seconds
Request model_3#13 arrives at 138984.52011052, sleeping for 0.2560775142337661 seconds
Request model_3#14 arrives at 138984.776545854, sleeping for 0.09819944310584106 seconds
Request model_3#15 arrives at 138984.875831322, sleeping for 0.12559413464623503 seconds
Request model_6#17 arrives at 138985.002562862, sleeping for 0.2734699828433804 seconds
Request model_6#18 arrives at 138985.276844002, sleeping for 0.05304670502664521 seconds
Request model_1#6 arrives at 138985.331144433, sleeping for 0.09210325291496702 seconds
Request model_1#7 arrives at 138985.424442403, sleeping for 0.5870976380829234 seconds
Request model_6#19 arrives at 138986.012214532, sleeping for 0.019645287800813094 seconds
Request model_2#6 arrives at 138986.032548702, sleeping for 0.06834529459592886 seconds
Request model_6#20 arrives at 138986.101808876, sleeping for 0.1464746667770669 seconds
Request model_3#16 arrives at 138986.249356647, sleeping for 0.07642324690823443 seconds
Request model_6#21 arrives at 138986.326678672, sleeping for 0.05349968816153705 seconds
Request model_3#17 arrives at 138986.380664573, sleeping for 0.0656925103685353 seconds
Request model_3#18 arrives at 138986.446955052, sleeping for 0.12671720574144274 seconds
Request model_1#8 arrives at 138986.574285192, sleeping for 0.07052060024579987 seconds
Request model_3#19 arrives at 138986.645812319, sleeping for 0.054766618501162156 seconds
Request model_3#20 arrives at 138986.701391923, sleeping for 0.10278909598127939 seconds
Request model_6#22 arrives at 138986.804737587, sleeping for 0.04257800919003785 seconds
Request model_3#21 arrives at 138986.848068772, sleeping for 0.04394966032123193 seconds
Request model_3#22 arrives at 138986.892849729, sleeping for 0.019255163613706827 seconds
Request model_1#9 arrives at 138986.913214959, sleeping for 0.05116606497904286 seconds
Request model_5#3 arrives at 138986.965572398, sleeping for 0.11537518558907323 seconds
