model,model_path,source_gpu,target_gpu,migration_start,target_ready_time,migration_end,migration_latency_s,service_downtime_s,migration_total_s,ordering,readiness_barrier,latency_is_submission_only,weight_bytes,kv_bytes,total_bytes,transfer_path,effective_gbps,success,peak_kvpr_before,peak_kvpr_after,tau,alg1_cycle,migration_id,implementation,workload,request_rate,seed
model_1,meta-llama/Llama-3.2-1B,0,1,1787211098.289572,1787211099.1814952,1787211099.5860915,0.891923189163208,0.0,1.2965195178985596,target-first,1,0,2996965376,0,2996965376,gpu-to-gpu-p2p,12.301693349326221,True,0.0013264114310802036,0.0010962009489444606,0.00035,1,0,paper-faithful-v4,bursty,8,1
model_3,meta-llama/Llama-3.2-3B,1,0,1787211128.347064,1787211129.9496279,1787211136.3714952,1.6025638580322266,0.0,8.024431228637695,target-first,1,0,7213504512,0,7213504512,gpu-to-gpu-p2p,12.221058453151459,True,0.07281500042882086,0.04802146604210292,0.00035,7,1,paper-faithful-v4,bursty,8,1
model_4,Qwen/Qwen2.5-3B-Instruct,0,1,1787211161.4856048,1787211162.931767,1787211167.5330558,1.446162223815918,0.0,6.047451019287109,target-first,1,0,6794207232,0,6794207232,gpu-to-gpu-p2p,12.205651795099493,True,0.14238374352909042,0.11737717698057795,0.00035,13,2,paper-faithful-v4,bursty,8,1
model_3,meta-llama/Llama-3.2-3B,0,1,1787211192.6547751,1787211193.6121712,1787211198.882897,0.9573960304260254,0.0,6.228121757507324,target-first,1,0,7213504512,0,7213504512,host-to-device + helper-gpu-p2p,5.3258976233933835,True,0.11588030716951893,0.10203153656022675,0.00035,19,3,paper-faithful-v4,bursty,8,1
model_4,Qwen/Qwen2.5-3B-Instruct,1,0,1787211224.0377216,1787211225.5928001,1787211226.192387,1.5550785064697266,0.0,2.154665470123291,target-first,1,0,6794207232,0,6794207232,host-to-device + helper-gpu-p2p,9.040876676647471,True,0.12634421046826802,0.11176441107576361,0.00035,25,4,paper-faithful-v4,bursty,8,1
model_1,meta-llama/Llama-3.2-1B,1,0,1787211254.2244387,1787211255.0177999,1787211255.5479686,0.7933611869812012,0.0,1.3235299587249756,target-first,1,0,2996965376,0,2996965376,host-to-device + helper-gpu-p2p,12.369997239473426,True,0.13942590877239194,0.1350874806413437,0.00035,31,5,paper-faithful-v4,bursty,8,1
model_5,meta-llama/Llama-3.1-8B,0,1,1787211289.4605722,1787211291.523002,1787211303.4102883,2.062429666519165,0.0,13.949716091156006,target-first,1,0,16060522496,0,16060522496,gpu-to-gpu-p2p,12.219095543590793,True,0.07061841415536001,0.072064004130952,0.00035,38,6,paper-faithful-v4,bursty,8,1
model_1,meta-llama/Llama-3.2-1B,1,0,1787211303.447738,1787211304.1756985,1787211397.85951,0.7279605865478516,0.0,94.41177201271057,target-first,1,0,2996965376,0,2996965376,host-to-device + helper-gpu-p2p,12.369997239473426,True,,,,,7,paper-faithful-v4,bursty,8,1
model_1,meta-llama/Llama-3.2-1B,0,1,1787211338.7590797,1787211339.7492774,1787211340.1440954,0.9901976585388184,0.0,1.3850157260894775,target-first,1,0,2996965376,0,2996965376,gpu-to-gpu-p2p,12.301693349326221,True,0.0490276040345342,0.04790203646161573,0.00035,46,8,paper-faithful-v4,bursty,8,1
model_5,meta-llama/Llama-3.1-8B,1,0,1787211369.055472,1787211370.7732277,1787211382.1461642,1.7177557945251465,0.0,13.090692281723022,target-first,1,0,16060522496,0,16060522496,host-to-device + helper-gpu-p2p,12.790833531319338,True,0.14245258933677585,0.09164784311814615,0.00035,52,9,paper-faithful-v4,bursty,8,1
model_2,Qwen/Qwen2.5-1.5B-Instruct,1,0,1787211402.4271772,1787211403.656055,1787211407.491652,1.2288777828216553,0.0,5.064474821090698,target-first,1,0,3554176000,0,3554176000,gpu-to-gpu-p2p,10.943218108248326,True,0.07794444773310412,0.06999761482595063,0.00035,57,10,paper-faithful-v4,bursty,8,1
model_4,Qwen/Qwen2.5-3B-Instruct,0,1,1787211442.9978273,1787211444.3226612,1787211452.6759338,1.324833869934082,0.0,9.678106546401978,target-first,1,0,6794207232,0,6794207232,gpu-to-gpu-p2p,12.205651795099493,True,0.10701531113777503,0.08463471299473281,0.00035,65,11,paper-faithful-v4,bursty,8,1
model_6,Qwen/Qwen2.5-7B-Instruct,0,1,1787211473.0154803,1787211475.170462,1787211475.6579986,2.1549816131591797,0.0,2.6425182819366455,target-first,1,0,15231233024,0,15231233024,host-to-device + helper-gpu-p2p,7.63997600241747,True,0.16382825147675295,0.1255698559426265,0.00035,70,12,paper-faithful-v4,bursty,8,1
model_2,Qwen/Qwen2.5-1.5B-Instruct,0,1,1787211503.4659011,1787211504.3816948,1787211505.2071934,0.9157936573028564,0.0,1.7412922382354736,target-first,1,0,3554176000,0,3554176000,host-to-device + helper-gpu-p2p,3.722289076716822,True,0.11603952416398841,0.10907938063083394,0.00035,76,13,paper-faithful-v4,bursty,8,1
model_4,Qwen/Qwen2.5-3B-Instruct,0,1,1787211735.5581632,1787211736.9900122,1787211742.3739617,1.4318490028381348,0.0,6.81579852104187,target-first,1,0,6794207232,0,6794207232,gpu-to-gpu-p2p,11.854776769495484,True,0.02516662958660377,0.0236887325328967,0.00035,2,0,paper-faithful-v4,bursty,8,2
model_6,Qwen/Qwen2.5-7B-Instruct,1,0,1787211767.4361315,1787211769.5251179,1787211770.2127821,2.088986396789551,0.0,2.7766506671905518,target-first,1,0,15231233024,0,15231233024,gpu-to-gpu-p2p,11.922769232080675,True,0.07668664569107544,0.05968024520166948,0.00035,8,1,paper-faithful-v4,bursty,8,2
model_4,Qwen/Qwen2.5-3B-Instruct,1,0,1787211822.6607811,1787211823.6284878,1787211827.767192,0.9677066802978516,0.0,5.10641074180603,target-first,1,0,6794207232,0,6794207232,host-to-device + helper-gpu-p2p,5.62916735828741,True,0.04796057773591539,0.03607004427901241,0.00035,19,2,paper-faithful-v4,bursty,8,2
model_5,meta-llama/Llama-3.1-8B,0,1,1787211852.9370697,1787211855.1195543,1787211855.6446006,2.1824846267700195,0.0,2.707530975341797,target-first,1,0,16060522496,0,16060522496,gpu-to-gpu-p2p,12.520951843869014,True,0.13684522591949375,0.09792977954043129,0.00035,25,3,paper-faithful-v4,bursty,8,2
model_4,Qwen/Qwen2.5-3B-Instruct,0,1,1787211868.0200071,1787211914.376604,1787211914.376604,46.35659694671631,46.35659694671631,46.35659694671631,source-first,1,0,6794207232,0,6794207232,gpu-to-gpu-p2p,11.854776769495484,True,,,,,4,paper-faithful-v4,bursty,8,2
model_3,meta-llama/Llama-3.2-3B,1,0,1787211883.113103,1787211884.4868426,1787211892.2206578,1.3737397193908691,0.0,9.107554912567139,target-first,1,0,7213504512,0,7213504512,gpu-to-gpu-p2p,12.090918622576199,True,0.13418558543609557,0.08307461233976306,0.00035,31,5,paper-faithful-v4,bursty,8,2
model_1,meta-llama/Llama-3.2-1B,1,0,1787211917.4304376,1787211918.3286395,1787211924.8835418,0.8982019424438477,0.0,7.453104257583618,target-first,1,0,2996965376,0,2996965376,host-to-device + helper-gpu-p2p,12.531765909493394,True,0.08204190634281677,0.06167911358567408,0.00035,37,6,paper-faithful-v4,bursty,8,2
model_4,Qwen/Qwen2.5-3B-Instruct,1,0,1787211965.2877045,1787211966.6463308,1787211974.507807,1.358626365661621,0.0,9.220102548599243,target-first,1,0,6794207232,0,6794207232,host-to-device + helper-gpu-p2p,5.62916735828741,True,0.05831006593610646,0.03389747981129259,0.00035,46,7,paper-faithful-v4,bursty,8,2
model_4,Qwen/Qwen2.5-3B-Instruct,0,1,1787212030.1684515,1787212031.0700808,1787212031.5855496,0.9016292095184326,0.0,1.417098045349121,target-first,1,0,6794207232,0,6794207232,gpu-to-gpu-p2p,11.854776769495484,True,0.07595296143742751,0.0627288843438491,0.00035,58,8,paper-faithful-v4,bursty,8,2
model_6,Qwen/Qwen2.5-7B-Instruct,0,1,1787212060.5432084,1787212062.5270133,1787212072.5687773,1.9838049411773682,0.0,12.025568962097168,target-first,1,0,15231233024,0,15231233024,host-to-device + helper-gpu-p2p,7.890468282834965,True,0.07371639547727904,0.049396958279945606,0.00035,64,9,paper-faithful-v4,bursty,8,2
model_6,Qwen/Qwen2.5-7B-Instruct,1,0,1787212092.8695362,1787212094.1060476,1787212105.54804,1.236511468887329,0.0,12.67850375175476,target-first,1,0,15231233024,0,15231233024,gpu-to-gpu-p2p,11.922769232080675,True,0.11225929198239067,0.07594310442446667,0.00035,69,10,paper-faithful-v4,bursty,8,2
