Real trace file: /workspace/prism-exp/exp/workloads/paper-faithful-v4/bursty_r8_s2.pkl
[PRISM_DIRECT] 3365 requests, span 419.8s
Starting TP benchmark: tp-aa-paper_r8_s2
Generated 3365 requests
Request model_3#0 arrives at 1532396.012947324, sleeping for 0.1579850900452584 seconds
Request model_4#0 arrives at 1532396.171353756, sleeping for 0.15818552998825908 seconds
Request model_4#1 arrives at 1532396.330633994, sleeping for 0.03796535427682102 seconds
Request model_4#2 arrives at 1532396.369079233, sleeping for 0.18041803408414125 seconds
Request model_1#0 arrives at 1532396.550389128, sleeping for 0.01120984018780291 seconds
Request model_3#1 arrives at 1532396.562705247, sleeping for 0.09650135296396911 seconds
Request model_1#1 arrives at 1532396.659759006, sleeping for 0.07114210608415306 seconds
Request model_1#2 arrives at 1532396.733270106, sleeping for 0.05243586213327944 seconds
Request model_1#3 arrives at 1532396.786609574, sleeping for 0.32933533703908324 seconds
Request model_3#2 arrives at 1532397.116920895, sleeping for 0.4221097531262785 seconds
Request model_1#4 arrives at 1532397.540155352, sleeping for 0.0676784967072308 seconds
Request model_3#3 arrives at 1532397.610011073, sleeping for 0.17996862577274442 seconds
Request model_1#5 arrives at 1532397.790563112, sleeping for 0.23457501968368888 seconds
Request model_1#6 arrives at 1532398.027969277, sleeping for 0.14840749301947653 seconds
Request model_1#7 arrives at 1532398.178516416, sleeping for 0.0689474733080715 seconds
Request model_1#8 arrives at 1532398.248400487, sleeping for 0.20245301676914096 seconds
Request model_3#4 arrives at 1532398.451895199, sleeping for 0.07863154215738177 seconds
Request model_4#3 arrives at 1532398.531588099, sleeping for 0.1439303602091968 seconds
Request model_1#9 arrives at 1532398.676852585, sleeping for 0.010690993163734674 seconds
Request model_4#4 arrives at 1532398.688468798, sleeping for 0.16068674228154123 seconds
Request model_1#10 arrives at 1532398.849825993, sleeping for 0.4976709170732647 seconds
Request model_4#5 arrives at 1532399.348769247, sleeping for 0.02944746008142829 seconds
Request model_3#5 arrives at 1532399.379332922, sleeping for 0.05282210488803685 seconds
Request model_1#11 arrives at 1532399.433746719, sleeping for 0.09215799137018621 seconds
Request model_3#6 arrives at 1532399.526876476, sleeping for 0.23949176305904984 seconds
Request model_1#12 arrives at 1532399.768150583, sleeping for 0.1747308592312038 seconds
Request model_4#6 arrives at 1532399.944681179, sleeping for 0.030085990205407143 seconds
Request model_1#13 arrives at 1532399.975476276, sleeping for 0.06987148965708911 seconds
Request model_1#14 arrives at 1532400.046308594, sleeping for 0.1418047125916928 seconds
Request model_1#15 arrives at 1532400.188460835, sleeping for 0.17219984368421137 seconds
Request model_1#16 arrives at 1532400.361762396, sleeping for 0.23146628821268678 seconds
Request model_1#17 arrives at 1532400.593811197, sleeping for 0.06300250464119017 seconds
Request model_1#18 arrives at 1532400.657353838, sleeping for 0.05776916421018541 seconds
Request model_4#7 arrives at 1532400.715633515, sleeping for 0.04376117675565183 seconds
Request model_4#8 arrives at 1532400.760085632, sleeping for 0.11938195256516337 seconds
Request model_4#9 arrives at 1532400.881902699, sleeping for 0.34624454006552696 seconds
Request model_1#19 arrives at 1532401.230320474, sleeping for 0.05132829141803086 seconds
Request model_4#10 arrives at 1532401.282834816, sleeping for 0.09642745414748788 seconds
Request model_1#20 arrives at 1532401.380102996, sleeping for 0.022063166135922074 seconds
Request model_1#21 arrives at 1532401.402541496, sleeping for 0.01765030645765364 seconds
Request model_3#7 arrives at 1532401.420581261, sleeping for 0.15758459642529488 seconds
Request model_1#22 arrives at 1532401.579043212, sleeping for 0.09950211131945252 seconds
Request model_4#11 arrives at 1532401.679060465, sleeping for 0.21156647452153265 seconds
Request model_1#23 arrives at 1532401.891466269, sleeping for 0.027033424004912376 seconds
Request model_4#12 arrives at 1532401.919514544, sleeping for 0.37273850361816585 seconds
Request model_1#24 arrives at 1532402.293175442, sleeping for 0.4229174384381622 seconds
Request model_1#25 arrives at 1532402.719826655, sleeping for 0.04939611325971782 seconds
Request model_4#13 arrives at 1532402.769460482, sleeping for 0.2985325490590185 seconds
Request model_4#14 arrives at 1532403.068967305, sleeping for 0.28439154918305576 seconds
Request model_3#8 arrives at 1532403.354598456, sleeping for 0.18083298858255148 seconds
Request model_4#15 arrives at 1532403.536237724, sleeping for 0.026107432786375284 seconds
Request model_1#26 arrives at 1532403.562741736, sleeping for 0.01584981265477836 seconds
Request model_3#9 arrives at 1532403.579042297, sleeping for 0.2361118602566421 seconds
Request model_3#10 arrives at 1532403.818303086, sleeping for 0.07543980423361063 seconds
Request model_1#27 arrives at 1532403.89477819, sleeping for 0.024632336804643273 seconds
Request model_1#28 arrives at 1532403.920362935, sleeping for 0.1231583240441978 seconds
Request model_1#29 arrives at 1532404.044536641, sleeping for 0.27177192317321897 seconds
Request model_4#16 arrives at 1532404.3174329, sleeping for 0.3069640272296965 seconds
Request model_1#30 arrives at 1532404.625225138, sleeping for 0.20937207341194153 seconds
Request model_1#31 arrives at 1532404.836095379, sleeping for 0.09520453098230064 seconds
Request model_4#17 arrives at 1532404.93211671, sleeping for 0.0622386431787163 seconds
Request model_3#11 arrives at 1532404.995300387, sleeping for 0.06980986869893968 seconds
Request model_4#18 arrives at 1532405.065358708, sleeping for 0.057277171639725566 seconds
Request model_3#12 arrives at 1532405.12545701, sleeping for 0.00235365005210042 seconds
Request model_1#32 arrives at 1532405.133003041, sleeping for 0.09187806234695017 seconds
Request model_1#33 arrives at 1532405.225299731, sleeping for 0.04452706384472549 seconds
Request model_3#13 arrives at 1532405.270290972, sleeping for 0.06264890870079398 seconds
Request model_1#34 arrives at 1532405.404470178, sleeping for 0 seconds
Request model_1#35 arrives at 1532405.405486206, sleeping for 0.06313237710855901 seconds
Request model_1#36 arrives at 1532405.469736092, sleeping for 0.0005302869249135256 seconds
