migration_id,model,model_path,source_gpu,target_gpu,migration_start,target_ready_time,migration_end,migration_latency_s,service_downtime_s,migration_total_s,ordering,readiness_barrier,latency_is_submission_only,weight_bytes,kv_bytes,total_bytes,transfer_path,effective_gbps,success,peak_kvpr_before,peak_kvpr_after,tau,alg1_cycle
0,model_3,meta-llama/Llama-3.2-3B,1,0,1787157085.5394728,1787157087.0957074,1787157088.5421276,1.55623459815979,0.0,3.002654790878296,target-first,0,1,7213504512,0,7213504512,host-to-device + helper-gpu-p2p,12.790396972627162,True,0.0005167442199336827,,0.00035,1
1,model_3,meta-llama/Llama-3.2-3B,0,1,1787157115.8099318,1787157117.378489,1787157135.889438,1.5685572624206543,0.0,20.079506158828735,target-first,0,1,7213504512,0,7213504512,host-to-device + helper-gpu-p2p,6.033156097451532,True,0.10070501190699956,,0.00035,7
2,model_2,Qwen/Qwen2.5-1.5B-Instruct,1,0,1787157146.0292628,1787157147.5966897,1787157153.5411372,1.5674269199371338,0.0,7.511874437332153,target-first,0,1,3554176000,0,3554176000,host-to-device + helper-gpu-p2p,6.392878054704382,True,0.07601354893455294,,0.00035,10
3,model_2,Qwen/Qwen2.5-1.5B-Instruct,0,1,1787157179.0998662,1787157181.3003824,1787157195.0815473,2.2005162239074707,0.0,15.981681108474731,target-first,0,1,3554176000,0,3554176000,host-to-device + helper-gpu-p2p,4.028982516202787,True,0.06422391014707321,,0.00035,16
4,model_2,Qwen/Qwen2.5-1.5B-Instruct,1,0,1787157215.4627118,1787157216.9188411,1787157226.6765156,1.4561293125152588,0.0,11.213803768157959,target-first,0,1,3554176000,0,3554176000,host-to-device + helper-gpu-p2p,6.392878054704382,True,0.05761663920088602,,0.00035,21
5,model_4,Qwen/Qwen2.5-3B-Instruct,0,1,1787157247.028755,1787157249.2307973,1787157266.7623854,2.2020423412323,0.0,19.733630418777466,target-first,0,1,6794207232,0,6794207232,host-to-device + helper-gpu-p2p,6.443597875009819,True,0.08293606007607982,,0.00035,26
6,model_2,Qwen/Qwen2.5-1.5B-Instruct,0,1,1787157292.2891805,1787157294.1526093,1787157303.3747082,1.8634288311004639,0.0,11.085527658462524,target-first,0,1,3554176000,0,3554176000,host-to-device + helper-gpu-p2p,4.028982516202787,True,0.07605618759534225,,0.00035,32
7,model_6,Qwen/Qwen2.5-7B-Instruct,1,0,1787157323.848561,1787157326.3669038,1787157345.742355,2.5183427333831787,0.0,21.893794059753418,target-first,0,1,15231233024,0,15231233024,host-to-device + helper-gpu-p2p,11.199338703382347,True,0.09701599714015648,,0.00035,37
8,model_6,Qwen/Qwen2.5-7B-Instruct,0,1,1787157356.0250828,1787157358.7515085,1787157376.2736645,2.7264256477355957,0.0,20.248581647872925,target-first,0,1,15231233024,0,15231233024,host-to-device + helper-gpu-p2p,5.627745148192451,True,0.09135342756149518,,0.00035,40
9,model_4,Qwen/Qwen2.5-3B-Instruct,1,0,1787157386.5949092,1787157387.9597611,1787157403.3808985,1.364851951599121,0.0,16.78598928451538,target-first,0,1,6794207232,0,6794207232,host-to-device + helper-gpu-p2p,5.504924411846043,True,0.05406115096671786,,0.00035,43
10,model_4,Qwen/Qwen2.5-3B-Instruct,0,1,1787157418.8330452,1787157420.7656357,1787157431.2323358,1.9325904846191406,0.0,12.399290561676025,target-first,0,1,6794207232,0,6794207232,host-to-device + helper-gpu-p2p,6.443597875009819,True,0.08599770431980994,,0.00035,47
11,model_2,Qwen/Qwen2.5-1.5B-Instruct,1,0,1787157452.111319,1787157453.440541,1787157468.4385235,1.3292219638824463,0.0,16.32720446586609,target-first,0,1,3554176000,0,3554176000,host-to-device + helper-gpu-p2p,6.392878054704382,True,0.08048354329354414,,0.00035,52
12,model_4,Qwen/Qwen2.5-3B-Instruct,1,0,1787157499.277777,1787157501.5687935,1787157515.766965,2.2910165786743164,0.0,16.489187955856323,target-first,0,1,6794207232,0,6794207232,host-to-device + helper-gpu-p2p,5.504924411846043,True,0.07875597663185217,,0.00035,59
