Real trace file: /workspace/prism-exp/exp/workloads/paper-faithful-v4/steady_r8_s1.pkl
[PRISM_DIRECT] 3387 requests, span 419.8s
Starting TP benchmark: paper-faithful-v4_steady_rate8_seed1
Generated 3387 requests
Request model_2#0 arrives at 122378.610161091, sleeping for 0.002521850954508409 seconds
Request model_4#0 arrives at 122378.613314776, sleeping for 0.03835456243541557 seconds
Request model_5#0 arrives at 122378.652704647, sleeping for 0.18211219982185867 seconds
Request model_5#1 arrives at 122378.835505287, sleeping for 0.055981499201152474 seconds
Request model_2#1 arrives at 122378.892193952, sleeping for 1.1798577717709122 seconds
Request model_6#0 arrives at 122380.072719931, sleeping for 0.1837195714469999 seconds
Request model_5#2 arrives at 122380.256727743, sleeping for 0.10422257884056307 seconds
Request model_5#3 arrives at 122380.362596222, sleeping for 0.12806654749147128 seconds
Request model_6#1 arrives at 122380.491487521, sleeping for 0.008103906831820495 seconds
Request model_5#4 arrives at 122380.500297263, sleeping for 0.12250201545248274 seconds
Request model_4#1 arrives at 122380.623062314, sleeping for 0.14778962638229132 seconds
Request model_3#0 arrives at 122380.771985219, sleeping for 0.10805845596769359 seconds
Request model_3#1 arrives at 122380.880868572, sleeping for 0.340193346637534 seconds
Request model_3#2 arrives at 122381.22196476, sleeping for 0.20674237197090406 seconds
Request model_3#3 arrives at 122381.430961065, sleeping for 0.014960318032535724 seconds
Request model_1#0 arrives at 122381.446786015, sleeping for 0.5053737547132187 seconds
Request model_3#4 arrives at 122381.95309917, sleeping for 0.14744590433838312 seconds
Request model_6#2 arrives at 122382.101629765, sleeping for 0.2777013960876502 seconds
Request model_5#5 arrives at 122382.380069191, sleeping for 0.1865789594303351 seconds
Request model_4#2 arrives at 122382.566950816, sleeping for 0.046853122374159284 seconds
Request model_5#6 arrives at 122382.614431048, sleeping for 0.0010102168307639658 seconds
Request model_5#7 arrives at 122382.616184041, sleeping for 0.19595386061700992 seconds
Request model_5#8 arrives at 122382.813049929, sleeping for 0.26745299476897344 seconds
Request model_3#5 arrives at 122383.082132893, sleeping for 0.20212858138256706 seconds
Request model_5#9 arrives at 122383.284819189, sleeping for 0.13175239379052073 seconds
Request model_3#6 arrives at 122383.417069502, sleeping for 0.123761439579539 seconds
Request model_5#10 arrives at 122383.541773596, sleeping for 0.16586617844586726 seconds
Request model_3#7 arrives at 122383.708739465, sleeping for 0.20812178745109122 seconds
Request model_4#3 arrives at 122383.917530089, sleeping for 0.05572540457069408 seconds
Request model_4#4 arrives at 122383.973875313, sleeping for 0.03023220010800287 seconds
Request model_3#8 arrives at 122384.005148235, sleeping for 0.009923669960699044 seconds
Request model_5#11 arrives at 122384.016381929, sleeping for 0.13988126347248908 seconds
Request model_5#12 arrives at 122384.156703443, sleeping for 0.036457038615481 seconds
Request model_3#9 arrives at 122384.195324234, sleeping for 0.1741151925525628 seconds
Request model_3#10 arrives at 122384.371739866, sleeping for 0.09670700049900915 seconds
Request model_2#2 arrives at 122384.469092484, sleeping for 0.0010930238204309717 seconds
Request model_4#5 arrives at 122384.471319227, sleeping for 0.019119130476610735 seconds
Request model_1#1 arrives at 122384.491508153, sleeping for 0.02208595091360621 seconds
Request model_3#11 arrives at 122384.513973973, sleeping for 0.14681856508832425 seconds
Request model_3#12 arrives at 122384.661397466, sleeping for 0.10572561880690046 seconds
Request model_3#13 arrives at 122384.767742136, sleeping for 0.10611360051552765 seconds
Request model_3#14 arrives at 122384.875155677, sleeping for 0.0003710057935677469 seconds
Request model_4#6 arrives at 122384.876102098, sleeping for 0.12437487524584867 seconds
Request model_2#3 arrives at 122385.001613763, sleeping for 0.014039636196685024 seconds
Request model_5#13 arrives at 122385.016931793, sleeping for 0.03934268427838106 seconds
Request model_5#14 arrives at 122385.057359806, sleeping for 0.1773224204807775 seconds
Request model_5#15 arrives at 122385.23573191, sleeping for 0.02772741302032955 seconds
Request model_4#7 arrives at 122385.264043997, sleeping for 0.03637047337542754 seconds
Request model_3#15 arrives at 122385.302275938, sleeping for 0.23821695853257552 seconds
Request model_2#4 arrives at 122385.542752704, sleeping for 0.004942489875247702 seconds
Request model_6#3 arrives at 122385.548071571, sleeping for 0.0007792966498527676 seconds
Request model_3#16 arrives at 122385.549195602, sleeping for 0.17428996377566364 seconds
Request model_4#8 arrives at 122385.724096752, sleeping for 0.09772786396206357 seconds
Request model_5#16 arrives at 122385.822440481, sleeping for 0.15491023665526882 seconds
Request model_2#5 arrives at 122385.977906835, sleeping for 0.33665139722870663 seconds
Request model_5#17 arrives at 122386.315500298, sleeping for 0.21344231948023662 seconds
Request model_5#18 arrives at 122386.53008825, sleeping for 0.3520747481234139 seconds
Request model_4#9 arrives at 122386.883527564, sleeping for 0.0594618602481205 seconds
Request model_5#19 arrives at 122386.943415303, sleeping for 0.026827129971934482 seconds
Request model_1#2 arrives at 122386.9716447, sleeping for 0.4244858841120731 seconds
Request model_1#3 arrives at 122387.396791798, sleeping for 0.005542219427297823 seconds
Request model_1#4 arrives at 122387.403126607, sleeping for 0.08226556751469616 seconds
Request model_5#20 arrives at 122387.485936485, sleeping for 0.1701425200153608 seconds
Request model_2#6 arrives at 122387.656412179, sleeping for 0.2771205429598922 seconds
Request model_4#10 arrives at 122387.934128514, sleeping for 0.037729112038505264 seconds
Request model_1#5 arrives at 122387.972364874, sleeping for 0.05054455254867207 seconds
Request model_3#17 arrives at 122388.023863882, sleeping for 0.004539465036941692 seconds
Request model_5#21 arrives at 122388.029097469, sleeping for 0.004862485424382612 seconds
Request model_5#22 arrives at 122388.034353696, sleeping for 0.12127778402646072 seconds
Request model_6#4 arrives at 122388.156187286, sleeping for 0.16092831717105582 seconds
Request model_2#7 arrives at 122388.318399179, sleeping for 0.13239492900902405 seconds
Request model_5#23 arrives at 122388.451366873, sleeping for 0.10403819721250329 seconds
Request model_5#24 arrives at 122388.556043681, sleeping for 0.11990820901701227 seconds
Request model_2#8 arrives at 122388.67740311, sleeping for 0.08691135673143435 seconds
Request model_5#25 arrives at 122388.764732715, sleeping for 0.06410765585314948 seconds
Request model_5#26 arrives at 122388.82992395, sleeping for 0.14729667622304987 seconds
Request model_3#18 arrives at 122388.978323395, sleeping for 0.27681387089251075 seconds
Request model_2#9 arrives at 122389.25593282, sleeping for 0.026644512603525072 seconds
Request model_5#27 arrives at 122389.284268867, sleeping for 0.03700972310616635 seconds
Request model_5#28 arrives at 122389.322548867, sleeping for 0.06222879813867621 seconds
Request model_6#5 arrives at 122389.38515783, sleeping for 0.1102170196827501 seconds
Request model_5#29 arrives at 122389.496538286, sleeping for 0.27806457589031197 seconds
Request model_3#19 arrives at 122389.775148392, sleeping for 0.3929082284012111 seconds
Request model_2#10 arrives at 122390.168848079, sleeping for 0.13877178258553613 seconds
Request model_5#30 arrives at 122390.309318453, sleeping for 0.11704068109975196 seconds
Request model_5#31 arrives at 122390.426846488, sleeping for 0.2563324224902317 seconds
Request model_6#6 arrives at 122390.684438746, sleeping for 0.05710248164541554 seconds
Request model_1#6 arrives at 122390.742756583, sleeping for 0.35221457468287554 seconds
Request model_6#7 arrives at 122391.095389576, sleeping for 0.2539386942225974 seconds
Request model_3#20 arrives at 122391.34976061, sleeping for 0.021891548836720176 seconds
Request model_1#7 arrives at 122391.372106929, sleeping for 0.12958332177367993 seconds
Request model_3#21 arrives at 122391.50246043, sleeping for 0.1491083818837069 seconds
Request model_4#11 arrives at 122391.652282947, sleeping for 0.13684244529576972 seconds
Request model_5#32 arrives at 122391.789635588, sleeping for 0.296021752350498 seconds
Request model_6#8 arrives at 122392.087936039, sleeping for 0.14096446364419535 seconds
Request model_5#33 arrives at 122392.229543805, sleeping for 0.028201411420013756 seconds
Request model_3#22 arrives at 122392.258903164, sleeping for 0.041446691160672344 seconds
Request model_5#34 arrives at 122392.30123338, sleeping for 0.01997955099795945 seconds
Request model_4#12 arrives at 122392.321533026, sleeping for 0.0724326474883128 seconds
Request model_1#8 arrives at 122392.394951273, sleeping for 0.44731600425438955 seconds
Request model_6#9 arrives at 122392.842972121, sleeping for 0 seconds
Request model_5#35 arrives at 122392.843674872, sleeping for 0.008902621833840385 seconds
Request model_6#10 arrives at 122392.853210925, sleeping for 0.2648738114949083 seconds
Request model_3#23 arrives at 122393.118947224, sleeping for 0.06306290248176083 seconds
Request model_3#24 arrives at 122393.182277947, sleeping for 0.04865706723649055 seconds
Request model_4#13 arrives at 122393.231540182, sleeping for 0.011792776640504599 seconds
Request model_5#36 arrives at 122393.243829368, sleeping for 0.21252001472748816 seconds
Request model_6#11 arrives at 122393.456914978, sleeping for 0.40959339105756953 seconds
Request model_5#37 arrives at 122393.866817186, sleeping for 0.006526885539642535 seconds
Request model_5#38 arrives at 122393.874080226, sleeping for 0.10530215654580388 seconds
Request model_3#25 arrives at 122393.980324205, sleeping for 0.06303116831986699 seconds
Request model_3#26 arrives at 122394.043669708, sleeping for 0.015318131685489789 seconds
Request model_5#39 arrives at 122394.05971134, sleeping for 0.030476244690362364 seconds
Request model_5#40 arrives at 122394.091077571, sleeping for 0.06459685941808857 seconds
Request model_3#27 arrives at 122394.156358066, sleeping for 0.3199219345115125 seconds
Request model_5#41 arrives at 122394.477120668, sleeping for 0.057368606692762114 seconds
Request model_1#9 arrives at 122394.534826474, sleeping for 0.07044762995792553 seconds
Request model_3#28 arrives at 122394.606133477, sleeping for 0.07833404488337692 seconds
Request model_3#29 arrives at 122394.685140581, sleeping for 0.11663981150195468 seconds
Request model_3#30 arrives at 122394.802492705, sleeping for 0.3599961442814674 seconds
Request model_2#11 arrives at 122395.163159109, sleeping for 0.16765280066465493 seconds
Request model_6#12 arrives at 122395.33161539, sleeping for 0.04981424234574661 seconds
Request model_5#42 arrives at 122395.381929136, sleeping for 0.05856436863541603 seconds
Request model_5#43 arrives at 122395.441238274, sleeping for 0 seconds
Request model_3#31 arrives at 122395.441880175, sleeping for 0.017093595874030143 seconds
Request model_3#32 arrives at 122395.459717229, sleeping for 0.15458290648530237 seconds
Request model_6#13 arrives at 122395.615117833, sleeping for 0.17815909994533285 seconds
Request model_5#44 arrives at 122395.794778819, sleeping for 0.37554047582671046 seconds
