window,t_start_s,offered_rate_rps,completed,out_tok_per_s,attain_both,ttft_mean_ms,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,tpot_p50_ms,tpot_p95_ms,e2e_p50_s,e2e_p95_s,model_1_rate_rps,model_1_ttft_p95_ms,model_4_rate_rps,model_4_ttft_p95_ms,model_5_rate_rps,model_5_ttft_p95_ms
0,0.0,7.817,469,1611.5,0.3561,72.6,63.3,151.1,205.3,35.92,42.67,3.81,22.65,2.8,76.6,2.7,161.9,2.317,165.8
1,60.0,11.517,691,2336.3,0.3386,76.6,67.0,150.6,213.7,41.17,51.32,4.11,25.87,4.067,92.8,3.95,148.5,3.5,167.1
2,120.0,16.5,990,3525.4,0.301,87.7,74.7,186.5,259.2,58.49,87.78,5.69,44.38,5.567,108.9,5.267,192.5,5.667,212.2
3,180.0,23.0,1380,4811.3,0.2413,101.2,83.7,227.8,366.9,96.97,154.58,6.98,81.81,7.433,94.0,7.6,266.7,7.967,284.9
4,240.0,30.75,1845,6085.1,0.0396,1008.1,117.3,5551.8,6116.9,109.35,205.08,10.33,58.59,10.433,129.4,9.917,5790.4,10.4,5834.4
