Real trace file: /workspace/prism-exp/exp/workloads/paper-faithful-v4/bursty_r8_s1.pkl
[PRISM_DIRECT] 3387 requests, span 419.6s
Starting TP benchmark: paper-faithful-v3_bursty_rate8_seed1
Generated 3387 requests
Request model_2#52 arrives at 147249.750798984, sleeping for 0.05484123699716292 seconds
Request model_2#53 arrives at 147249.806067499, sleeping for 0.11082527396501973 seconds
Request model_2#54 arrives at 147249.91743366, sleeping for 0.1884018704877235 seconds
Request model_5#14 arrives at 147250.106890432, sleeping for 0.10136976497597061 seconds
Request model_3#9 arrives at 147250.209268419, sleeping for 0.05516828945837915 seconds
Request model_6#4 arrives at 147250.264949685, sleeping for 0.018208808498457074 seconds
Request model_2#55 arrives at 147250.285225166, sleeping for 0.019021614105440676 seconds
Request model_6#5 arrives at 147250.305488777, sleeping for 0.2871291891206056 seconds
Request model_2#56 arrives at 147250.59387468, sleeping for 0.002193660824559629 seconds
Request model_3#10 arrives at 147250.597132036, sleeping for 0.10385960334679112 seconds
Request model_5#15 arrives at 147250.702432147, sleeping for 0.14144200607552193 seconds
Request model_3#11 arrives at 147250.844433886, sleeping for 0.04591993859503418 seconds
Request model_2#57 arrives at 147250.891454188, sleeping for 0.041481000545900315 seconds
Request model_2#58 arrives at 147250.933723143, sleeping for 0.02806682838127017 seconds
Request model_6#6 arrives at 147250.962994508, sleeping for 0.05963238709955476 seconds
Request model_5#16 arrives at 147251.024668573, sleeping for 0.16431558359181508 seconds
Request model_5#17 arrives at 147251.190351228, sleeping for 0.13466380248428322 seconds
Request model_2#59 arrives at 147251.326779818, sleeping for 0.348295921983663 seconds
Request model_2#60 arrives at 147251.676834536, sleeping for 0.08598729892401025 seconds
Request model_2#61 arrives at 147251.765059062, sleeping for 0.005695487721823156 seconds
Request model_2#62 arrives at 147251.771387511, sleeping for 0.023719779652310535 seconds
Request model_3#12 arrives at 147251.795738409, sleeping for 0.15552306940662675 seconds
Request model_3#13 arrives at 147251.951578929, sleeping for 0.027636741433525458 seconds
Request model_2#63 arrives at 147251.979933292, sleeping for 0.04570244054775685 seconds
Request model_2#64 arrives at 147252.026333564, sleeping for 0.20912860668613575 seconds
Request model_2#65 arrives at 147252.237586328, sleeping for 0.06826082305633463 seconds
Request model_2#66 arrives at 147252.307060795, sleeping for 0.16080638210405596 seconds
Request model_5#18 arrives at 147252.468413543, sleeping for 0.15659344411687925 seconds
Request model_2#67 arrives at 147252.626090836, sleeping for 0.0871304600732401 seconds
Request model_2#68 arrives at 147252.713850531, sleeping for 0.16706064433674328 seconds
Request model_6#7 arrives at 147252.881759619, sleeping for 0.0642919535166584 seconds
Request model_3#14 arrives at 147252.946538729, sleeping for 0.15710560235311277 seconds
Request model_2#69 arrives at 147253.103920141, sleeping for 0.11414102479466237 seconds
Request model_2#70 arrives at 147253.218783688, sleeping for 0.07282390410546213 seconds
Request model_2#71 arrives at 147253.293238152, sleeping for 0.016690906806616113 seconds
Request model_2#72 arrives at 147253.310585239, sleeping for 0.4122239016578533 seconds
Request model_2#73 arrives at 147253.723979705, sleeping for 0.25546977695194073 seconds
Request model_2#74 arrives at 147253.980392239, sleeping for 0.08416054100962356 seconds
Request model_2#75 arrives at 147254.06533145, sleeping for 0.36076058459002525 seconds
Request model_2#76 arrives at 147254.426920096, sleeping for 0.19089497192180716 seconds
Request model_2#77 arrives at 147254.619096912, sleeping for 0.1308100577443838 seconds
Request model_2#78 arrives at 147254.750993235, sleeping for 0.06178440974326804 seconds
Request model_2#79 arrives at 147254.814932723, sleeping for 0.13243630895158276 seconds
Request model_2#80 arrives at 147254.948485409, sleeping for 0.0594415241794195 seconds
Request model_5#19 arrives at 147255.009989163, sleeping for 0.21172360196942464 seconds
Request model_2#81 arrives at 147255.2222493, sleeping for 0.15223518942366354 seconds
Request model_2#82 arrives at 147255.375453485, sleeping for 0.13729909507674165 seconds
Request model_2#83 arrives at 147255.513854018, sleeping for 0.17145875006099232 seconds
Request model_3#15 arrives at 147255.687102445, sleeping for 0.3547084853926208 seconds
Request model_2#84 arrives at 147256.042742512, sleeping for 0.33502523688366637 seconds
Request model_2#85 arrives at 147256.378628929, sleeping for 0.25743995056836866 seconds
Request model_6#8 arrives at 147256.636594386, sleeping for 0.06497858045622706 seconds
Request model_2#86 arrives at 147256.702483437, sleeping for 0.06370049505494535 seconds
Request model_2#87 arrives at 147256.766761386, sleeping for 0.04087513335980475 seconds
