Real trace file: /workspace/prism-exp/exp/workloads/paper-faithful-v4/steady_r8_s2.pkl
[PRISM_DIRECT] 3365 requests, span 419.5s
Starting TP benchmark: paper-faithful-v3-alg2only_steady_rate8_seed2
Generated 3365 requests
Request model_5#18 arrives at 145417.842351341, sleeping for 0.6201208119455259 seconds
Request model_5#19 arrives at 145418.463195092, sleeping for 0.15132056412403472 seconds
Request model_3#10 arrives at 145418.615424331, sleeping for 0.007922572287498042 seconds
Request model_6#29 arrives at 145418.623867117, sleeping for 0.21047334891045466 seconds
Request model_1#12 arrives at 145418.835359869, sleeping for 0.03062775792204775 seconds
Request model_6#30 arrives at 145418.866755379, sleeping for 0.0780991579813417 seconds
Request model_6#31 arrives at 145418.945169478, sleeping for 0.12315653412952088 seconds
Request model_3#11 arrives at 145419.068688353, sleeping for 0.1352709409839008 seconds
Request model_4#5 arrives at 145419.204621632, sleeping for 0.25780097977258265 seconds
Request model_6#32 arrives at 145419.463426644, sleeping for 0.11701884635840543 seconds
Request model_4#6 arrives at 145419.580943148, sleeping for 0.07578567243763246 seconds
Request model_2#5 arrives at 145419.657334063, sleeping for 0.19664055021712556 seconds
Request model_5#20 arrives at 145419.854492458, sleeping for 0.08262474229559302 seconds
Request model_6#33 arrives at 145419.937632326, sleeping for 0.2876880299008917 seconds
Request model_5#21 arrives at 145420.226139075, sleeping for 0.013883043313398957 seconds
Request model_1#13 arrives at 145420.241460414, sleeping for 0.2747127939655911 seconds
Request model_6#34 arrives at 145420.517105978, sleeping for 0.15602267003851011 seconds
Request model_3#12 arrives at 145420.673528696, sleeping for 0.04276514356024563 seconds
Request model_3#13 arrives at 145420.716963398, sleeping for 0.02943323494400829 seconds
Request model_5#22 arrives at 145420.746826905, sleeping for 0.054994117555906996 seconds
Request model_1#14 arrives at 145420.80219028, sleeping for 0.042333584337029606 seconds
Request model_6#35 arrives at 145420.845326262, sleeping for 0.2314554238691926 seconds
Request model_6#36 arrives at 145421.077135803, sleeping for 0.2691389127576258 seconds
Request model_1#15 arrives at 145421.347828328, sleeping for 0.23941524952533655 seconds
Request model_5#23 arrives at 145421.588305646, sleeping for 0.18001958492095582 seconds
Request model_1#16 arrives at 145421.769178219, sleeping for 0.27305602963315323 seconds
Request model_4#7 arrives at 145422.043252301, sleeping for 0.2672532769793179 seconds
Request model_1#17 arrives at 145422.312926514, sleeping for 0.005715006380341947 seconds
Request model_1#18 arrives at 145422.319364296, sleeping for 0.0074746433820109814 seconds
Request model_6#37 arrives at 145422.327865522, sleeping for 0.12303241153131239 seconds
Request model_1#19 arrives at 145422.451743138, sleeping for 0.09926856448873878 seconds
Request model_5#24 arrives at 145422.551446987, sleeping for 0.3528227884962689 seconds
Request model_3#14 arrives at 145422.905443531, sleeping for 0.06558403422241099 seconds
Request model_1#20 arrives at 145422.971778067, sleeping for 0.05812654597684741 seconds
Request model_1#21 arrives at 145423.03111207, sleeping for 0.14970749552594498 seconds
