migration_id,model,model_path,source_gpu,target_gpu,migration_start,target_ready_time,migration_end,migration_latency_s,service_downtime_s,migration_total_s,ordering,readiness_barrier,latency_is_submission_only,weight_bytes,kv_bytes,total_bytes,transfer_path,effective_gbps,success,peak_kvpr_before,peak_kvpr_after,tau,alg1_cycle
0,model_2,Qwen/Qwen2.5-1.5B-Instruct,1,0,1787134504.8475077,1787134505.6690505,1787134516.3328345,0.8215427398681641,0.0,11.485326766967773,target-first,1,0,3554176000,0,3554176000,host-to-device + helper-gpu-p2p,9.35082976908289,True,0.04510463071936391,0.02694699940894911,0.00035,2
1,model_4,Qwen/Qwen2.5-3B-Instruct,0,1,1787134536.4931297,1787134537.4779513,1787134538.0572047,0.9848215579986572,0.0,1.564074993133545,target-first,1,0,6794207232,0,6794207232,host-to-device + helper-gpu-p2p,14.6221289403073,True,0.1506991902749132,0.13576342075030562,0.00035,7
2,model_1,meta-llama/Llama-3.2-1B,0,1,1787134566.7856596,1787134567.451283,1787134574.0871003,0.6656234264373779,0.0,7.301440715789795,target-first,1,0,2996965376,0,2996965376,host-to-device + helper-gpu-p2p,19.391482779529063,True,0.23262246277835025,0.16948412570479396,0.00035,13
3,model_2,Qwen/Qwen2.5-1.5B-Instruct,0,1,1787134599.5144188,1787134600.6253195,1787134602.064704,1.110900640487671,0.0,2.5502851009368896,target-first,1,0,3554176000,0,3554176000,host-to-device + helper-gpu-p2p,8.37848843492544,True,0.23390001753393153,0.2222730493429948,0.00035,19
4,model_4,Qwen/Qwen2.5-3B-Instruct,1,0,1787134630.0317464,1787134631.069713,1787134631.7288678,1.0379667282104492,0.0,1.6971213817596436,target-first,1,0,6794207232,0,6794207232,host-to-device + helper-gpu-p2p,12.42729148626816,True,0.3283414291256665,0.2929676042902803,0.00035,25
5,model_1,meta-llama/Llama-3.2-1B,0,1,1787134676.2224998,1787134676.6412988,1787134795.7749248,0.41879892349243164,0.0,119.55242490768433,target-first,1,0,2996965376,0,2996965376,host-to-device + helper-gpu-p2p,19.391482779529063,True,,,,
6,model_5,meta-llama/Llama-3.1-8B,0,1,1787134696.642295,1787134698.1452613,1787134711.0747843,1.5029664039611816,0.0,14.432489395141602,target-first,1,0,16060522496,0,16060522496,host-to-device + helper-gpu-p2p,21.34325910537341,True,0.20066377870476826,0.15874984322439809,0.00035,38
7,model_1,meta-llama/Llama-3.2-1B,1,0,1787134731.6095204,1787134732.153363,1787134733.2738233,0.5438425540924072,0.0,1.6643028259277344,target-first,1,0,2996965376,0,2996965376,host-to-device + helper-gpu-p2p,9.627839533371573,True,0.14041719145654502,0.13214410963816278,0.00035,43
8,model_2,Qwen/Qwen2.5-1.5B-Instruct,1,0,1787134762.74744,1787134764.6267831,1787134774.651568,1.879343032836914,0.0,11.904127836227417,target-first,1,0,3554176000,0,3554176000,host-to-device + helper-gpu-p2p,9.35082976908289,True,0.3538562689847489,0.3388596256048539,0.00035,31
9,model_5,meta-llama/Llama-3.1-8B,1,0,1787134826.1333685,1787134827.4906013,1787134845.6367874,1.3572328090667725,0.0,19.503418922424316,target-first,1,0,16060522496,0,16060522496,host-to-device + helper-gpu-p2p,14.177766036225776,True,0.2847967483920213,0.20944849616278927,0.00035,54
10,model_6,Qwen/Qwen2.5-7B-Instruct,0,1,1787134856.336749,1787134858.6699672,1787134862.386682,2.3332180976867676,0.0,6.049932956695557,target-first,1,0,15231233024,0,15231233024,host-to-device + helper-gpu-p2p,9.368822768561365,True,0.24376586422214058,0.17398671889394432,0.00035,63
11,model_4,Qwen/Qwen2.5-3B-Instruct,0,1,1787134888.9393556,1787134890.715563,1787134909.0141788,1.776207447052002,0.0,20.074823141098022,target-first,1,0,6794207232,0,6794207232,host-to-device + helper-gpu-p2p,14.6221289403073,True,0.25266547286539953,0.2008474101320264,0.00035,69
12,model_2,Qwen/Qwen2.5-1.5B-Instruct,0,1,1787134919.701704,1787134922.7283487,1787134933.7361696,3.026644706726074,0.0,14.034465551376343,target-first,1,0,3554176000,0,3554176000,host-to-device + helper-gpu-p2p,8.37848843492544,True,0.31037950090199085,0.2851367777913098,0.00035,72
