window,t_start_s,offered_rate_rps,completed,out_tok_per_s,attain_both,ttft_mean_ms,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,tpot_p50_ms,tpot_p95_ms,e2e_p50_s,e2e_p95_s,model_1_rate_rps,model_1_ttft_p95_ms,model_4_rate_rps,model_4_ttft_p95_ms,model_5_rate_rps,model_5_ttft_p95_ms
0,0.0,8.847,1327,1811.4,0.9857,54.0,46.1,108.5,147.5,21.83,30.36,3.09,14.34,7.933,99.6,0.467,154.9,0.447,140.8
1,150.0,17.307,2596,3650.2,0.4892,87.3,73.7,190.5,270.5,40.82,123.97,6.21,57.75,8.193,110.7,8.58,216.9,0.533,155.0
2,300.0,24.307,3646,4731.9,0.2071,126.5,98.5,286.3,507.1,97.13,146.76,8.67,55.84,8.227,270.9,8.04,250.0,8.04,334.4
