Real trace file: /workspace/prism-exp/exp/workloads/paper-faithful-v4/steady_r8_s3.pkl
[PRISM_DIRECT] 3372 requests, span 419.6s
Starting TP benchmark: paper-faithful-v4_steady_rate8_seed3
Generated 3372 requests
Request model_4#7 arrives at 190537.820127133, sleeping for 0.29779233792214654 seconds
Request model_5#17 arrives at 190538.118998201, sleeping for 0 seconds
Request model_5#18 arrives at 190538.119291844, sleeping for 0.11332239638431929 seconds
Request model_4#8 arrives at 190538.233178151, sleeping for 0.0074445444624871016 seconds
Request model_1#8 arrives at 190538.240778078, sleeping for 0.02307479566661641 seconds
Request model_6#32 arrives at 190538.264387928, sleeping for 0.09044195772730745 seconds
Request model_4#9 arrives at 190538.355364279, sleeping for 0.03427414287580177 seconds
Request model_3#9 arrives at 190538.389963725, sleeping for 0.014983622560976073 seconds
Request model_6#33 arrives at 190538.405558429, sleeping for 0.13419354884536006 seconds
Request model_4#10 arrives at 190538.539872971, sleeping for 0.02901961372117512 seconds
Request model_2#6 arrives at 190538.56973816, sleeping for 0.02822830161312595 seconds
Request model_5#19 arrives at 190538.598348278, sleeping for 0.1337107333529275 seconds
Request model_4#11 arrives at 190538.733123902, sleeping for 0.26819843260454945 seconds
Request model_6#34 arrives at 190539.001673417, sleeping for 0.0857900757691823 seconds
Request model_4#12 arrives at 190539.088359002, sleeping for 0.0010587454307824373 seconds
Request model_3#10 arrives at 190539.089999657, sleeping for 0.18752800952643156 seconds
Request model_5#20 arrives at 190539.27876392, sleeping for 0.0794625939161051 seconds
Request model_4#13 arrives at 190539.358394787, sleeping for 0.0482419686159119 seconds
Request model_1#9 arrives at 190539.406989979, sleeping for 0.017537146020913497 seconds
Request model_2#7 arrives at 190539.426586816, sleeping for 0.1922221579879988 seconds
Request model_2#8 arrives at 190539.619592914, sleeping for 0.11017581936903298 seconds
Request model_4#14 arrives at 190539.730317102, sleeping for 0.020910249557346106 seconds
Request model_6#35 arrives at 190539.751957098, sleeping for 0.005949308339040726 seconds
Request model_4#15 arrives at 190539.758774528, sleeping for 0.2209697879734449 seconds
Request model_3#11 arrives at 190539.980063769, sleeping for 0.09227782627567649 seconds
Request model_2#9 arrives at 190540.07275358, sleeping for 0.004423886974109337 seconds
Request model_6#36 arrives at 190540.07746805, sleeping for 0.5595495548914187 seconds
Request model_6#37 arrives at 190540.637446488, sleeping for 0.18508248621947132 seconds
Request model_6#38 arrives at 190540.823635648, sleeping for 0.1541714170598425 seconds
Request model_6#39 arrives at 190540.978032744, sleeping for 0.006315556005574763 seconds
Request model_3#12 arrives at 190540.98498321, sleeping for 0.01359267657971941 seconds
Request model_4#16 arrives at 190540.998819511, sleeping for 0.016681361506925896 seconds
Request model_6#40 arrives at 190541.016412251, sleeping for 0.027001806301996112 seconds
Request model_4#17 arrives at 190541.043994598, sleeping for 0.5245906933560036 seconds
Request model_6#41 arrives at 190541.570086599, sleeping for 0.015655648021493107 seconds
Request model_5#21 arrives at 190541.586756442, sleeping for 0.4347743269172497 seconds
Request model_6#42 arrives at 190542.022517715, sleeping for 0.22001872115652077 seconds
Request model_5#22 arrives at 190542.242963556, sleeping for 0.0559308422380127 seconds
Request model_4#18 arrives at 190542.299586708, sleeping for 0.09060615146881901 seconds
Request model_1#10 arrives at 190542.391267433, sleeping for 0.10300321690738201 seconds
Request model_6#43 arrives at 190542.495878874, sleeping for 0.11783976297010668 seconds
Request model_2#10 arrives at 190542.615613798, sleeping for 0.046302143891807646 seconds
Request model_6#44 arrives at 190542.662252282, sleeping for 0.030638930649729446 seconds
Request model_6#45 arrives at 190542.693858181, sleeping for 0.022432469384511933 seconds
Request model_4#19 arrives at 190542.716503205, sleeping for 0.29544050598633476 seconds
Request model_3#13 arrives at 190543.013873668, sleeping for 0 seconds
Request model_6#46 arrives at 190543.014173943, sleeping for 0.020408162410603836 seconds
Request model_4#20 arrives at 190543.034971711, sleeping for 0.0812059802992735 seconds
Request model_5#23 arrives at 190543.116640297, sleeping for 0.010834059969056398 seconds
Request model_2#11 arrives at 190543.127842968, sleeping for 0.1604572469368577 seconds
Request model_6#47 arrives at 190543.288581253, sleeping for 0.012659835803788155 seconds
Request model_4#21 arrives at 190543.303304796, sleeping for 0.09706902047037147 seconds
Request model_3#14 arrives at 190543.400996879, sleeping for 0.005658766604028642 seconds
Request model_4#22 arrives at 190543.407748848, sleeping for 0.02817148854956031 seconds
Request model_4#23 arrives at 190543.436581146, sleeping for 0.07581128299352713 seconds
Request model_3#15 arrives at 190543.513303143, sleeping for 0.018720708700129762 seconds
Request model_3#16 arrives at 190543.533295371, sleeping for 0.012635295075597242 seconds
Request model_5#24 arrives at 190543.546997024, sleeping for 0.18565736370510422 seconds
Request model_6#48 arrives at 190543.733763291, sleeping for 0.1788408147986047 seconds
Request model_4#24 arrives at 190543.913166809, sleeping for 0.11689538988866843 seconds
Request model_3#17 arrives at 190544.030886296, sleeping for 0.23348114179680124 seconds
Request model_5#25 arrives at 190544.264906494, sleeping for 0.03195903750020079 seconds
Request model_4#25 arrives at 190544.297505871, sleeping for 0.022026222839485854 seconds
Request model_4#26 arrives at 190544.32009957, sleeping for 0.2066372915287502 seconds
Request model_1#11 arrives at 190544.527062623, sleeping for 0.06443218138883822 seconds
Request model_5#26 arrives at 190544.59169573, sleeping for 0.044775508635211736 seconds
Request model_4#27 arrives at 190544.637187162, sleeping for 0.6678897081874311 seconds
Request model_2#12 arrives at 190545.305495509, sleeping for 0.08965081072528847 seconds
Request model_3#18 arrives at 190545.395554664, sleeping for 0.055088542809244245 seconds
Request model_3#19 arrives at 190545.451381152, sleeping for 0.032175734027987346 seconds
Request model_2#13 arrives at 190545.484286634, sleeping for 0.3337860999745317 seconds
Request model_4#28 arrives at 190545.818258826, sleeping for 0.18251776389661245 seconds
Request model_3#20 arrives at 190546.00119087, sleeping for 0.38983308101887815 seconds
Request model_1#12 arrives at 190546.391657696, sleeping for 0.27104502980364487 seconds
Request model_3#21 arrives at 190546.663395337, sleeping for 0.2867992948158644 seconds
Request model_4#29 arrives at 190546.950524547, sleeping for 0.08540324136265554 seconds
Request model_6#49 arrives at 190547.036368786, sleeping for 0.1120814218884334 seconds
Request model_5#27 arrives at 190547.149061986, sleeping for 0.09080591701786034 seconds
Request model_5#28 arrives at 190547.240720489, sleeping for 0.2510207479353994 seconds
Request model_3#22 arrives at 190547.492538156, sleeping for 0.11735167689039372 seconds
Request model_2#14 arrives at 190547.610252081, sleeping for 0.16828589647775516 seconds
Request model_4#30 arrives at 190547.778799821, sleeping for 0.1934629687166307 seconds
Request model_6#50 arrives at 190547.973235272, sleeping for 0.11450669475016184 seconds
Request model_4#31 arrives at 190548.088904957, sleeping for 0.06517833381076343 seconds
Request model_4#32 arrives at 190548.154578078, sleeping for 0.06735791999381036 seconds
Request model_1#13 arrives at 190548.22229057, sleeping for 0.02822204295080155 seconds
Request model_3#23 arrives at 190548.250883506, sleeping for 0.015035659627756104 seconds
Request model_1#14 arrives at 190548.266062451, sleeping for 0.07579030265333131 seconds
Request model_3#24 arrives at 190548.342683761, sleeping for 0.04082670091884211 seconds
Request model_5#29 arrives at 190548.384514262, sleeping for 0.0735446626204066 seconds
Request model_5#30 arrives at 190548.459121577, sleeping for 0.0021473213855642825 seconds
Request model_5#31 arrives at 190548.461724611, sleeping for 0.1060851547808852 seconds
Request model_6#51 arrives at 190548.567983119, sleeping for 0.09730451978975907 seconds
Request model_3#25 arrives at 190548.665700519, sleeping for 0.1453277476830408 seconds
Request model_5#32 arrives at 190548.812637938, sleeping for 0.004981997859431431 seconds
Request model_4#33 arrives at 190548.818225743, sleeping for 0.015394374582683668 seconds
Request model_5#33 arrives at 190548.833816931, sleeping for 0.09836221762816422 seconds
Request model_4#34 arrives at 190548.932924712, sleeping for 0.08031743497122079 seconds
Request model_6#52 arrives at 190549.014152653, sleeping for 0.012907863012515008 seconds
Request model_6#53 arrives at 190549.02873814, sleeping for 0.1823863017198164 seconds
Request model_2#15 arrives at 190549.212265727, sleeping for 0.028891566151287407 seconds
Request model_6#54 arrives at 190549.241864543, sleeping for 0.16965977972722612 seconds
Request model_4#35 arrives at 190549.412088843, sleeping for 0.20414972817525268 seconds
Request model_6#55 arrives at 190549.617212243, sleeping for 0.08808692064485513 seconds
Request model_6#56 arrives at 190549.705861791, sleeping for 0.06697579051251523 seconds
Request model_6#57 arrives at 190549.773213977, sleeping for 0.1432714573747944 seconds
