Real trace file: /workspace/prism-exp/exp/workloads/paper-faithful-v4/bursty_r8_s1.pkl
[PRISM_DIRECT] 3387 requests, span 419.6s
Starting TP benchmark: tp-aa-off_r8_s1
Generated 3387 requests
Request model_5#0 arrives at 1527355.787613188, sleeping for 0.19896358624100685 seconds
Request model_2#0 arrives at 1527355.987021028, sleeping for 0.1780494679696858 seconds
Request model_2#1 arrives at 1527356.165520926, sleeping for 0.03569124499335885 seconds
Request model_2#2 arrives at 1527356.201637848, sleeping for 0.08899884205311537 seconds
Request model_5#1 arrives at 1527356.291504912, sleeping for 0.08270991663448513 seconds
Request model_2#3 arrives at 1527356.374473416, sleeping for 0.13292486337013543 seconds
Request model_2#4 arrives at 1527356.50849323, sleeping for 0.09798433817923069 seconds
Request model_5#2 arrives at 1527356.607620171, sleeping for 0.06620200257748365 seconds
Request model_2#5 arrives at 1527356.674587878, sleeping for 0.03224253421649337 seconds
Request model_2#6 arrives at 1527356.707396777, sleeping for 0.25284024025313556 seconds
Request model_2#7 arrives at 1527356.96078739, sleeping for 0.38934984151273966 seconds
Request model_5#3 arrives at 1527357.351534221, sleeping for 0.14812537864781916 seconds
Request model_2#8 arrives at 1527357.500166952, sleeping for 0.13568318635225296 seconds
Request model_3#0 arrives at 1527357.636798186, sleeping for 0.7009166427887976 seconds
Request model_5#4 arrives at 1527358.339964969, sleeping for 0.04446497024036944 seconds
Request model_3#1 arrives at 1527358.385630752, sleeping for 0.011280017672106624 seconds
Request model_3#2 arrives at 1527358.397891501, sleeping for 0.04469766351394355 seconds
Request model_2#9 arrives at 1527358.443712424, sleeping for 0.20552596380002797 seconds
Request model_5#5 arrives at 1527358.65085225, sleeping for 0.13802725123241544 seconds
Request model_2#10 arrives at 1527358.789269597, sleeping for 0.11973022506572306 seconds
Request model_2#11 arrives at 1527358.91064558, sleeping for 0.06350266560912132 seconds
Request model_2#12 arrives at 1527358.974869677, sleeping for 0.04697994515299797 seconds
Request model_2#13 arrives at 1527359.022995827, sleeping for 0.16153146815486252 seconds
Request model_2#14 arrives at 1527359.185341637, sleeping for 0.04313096683472395 seconds
Request model_2#15 arrives at 1527359.229521388, sleeping for 0.06145241530612111 seconds
Request model_3#3 arrives at 1527359.291244387, sleeping for 0.03815438784658909 seconds
Request model_3#4 arrives at 1527359.330374452, sleeping for 0.2112813286948949 seconds
Request model_2#16 arrives at 1527359.54188887, sleeping for 0.08747560111805797 seconds
Request model_2#17 arrives at 1527359.631008058, sleeping for 0 seconds
Request model_2#18 arrives at 1527359.631396721, sleeping for 0.0022298346739262342 seconds
Request model_5#6 arrives at 1527359.634266392, sleeping for 0.37614180613309145 seconds
Request model_2#19 arrives at 1527360.011340174, sleeping for 0.0808919791597873 seconds
Request model_2#20 arrives at 1527360.092986608, sleeping for 0.33056032098829746 seconds
Request model_2#21 arrives at 1527360.424587759, sleeping for 0.05391605733893812 seconds
Request model_2#22 arrives at 1527360.479039985, sleeping for 0.024465913884341717 seconds
Request model_2#23 arrives at 1527360.504300849, sleeping for 0.09051673160865903 seconds
Request model_6#0 arrives at 1527360.595524143, sleeping for 0.15199453802779317 seconds
Request model_2#24 arrives at 1527360.74786773, sleeping for 0.3111509564332664 seconds
Request model_2#25 arrives at 1527361.060110561, sleeping for 0.11470667622052133 seconds
Request model_2#26 arrives at 1527361.175107497, sleeping for 0.2612808309495449 seconds
Request model_2#27 arrives at 1527361.437330924, sleeping for 0.04292454267852008 seconds
Request model_2#28 arrives at 1527361.48081017, sleeping for 0.2360476041212678 seconds
Request model_3#5 arrives at 1527361.718797741, sleeping for 0.2206439203582704 seconds
Request model_3#6 arrives at 1527361.940685735, sleeping for 0.09435309609398246 seconds
Request model_2#29 arrives at 1527362.035919937, sleeping for 0.03870083251968026 seconds
Request model_2#30 arrives at 1527362.075374594, sleeping for 0.10585136525332928 seconds
Request model_3#7 arrives at 1527362.181578556, sleeping for 0.06215795036405325 seconds
Request model_2#31 arrives at 1527362.244521714, sleeping for 0.07136807590723038 seconds
Request model_2#32 arrives at 1527362.317226553, sleeping for 0.023655175929889083 seconds
Request model_5#7 arrives at 1527362.341949623, sleeping for 0.018492454662919044 seconds
Request model_2#33 arrives at 1527362.361599245, sleeping for 0.005089320708066225 seconds
Request model_6#1 arrives at 1527362.367135956, sleeping for 0.09182545426301658 seconds
Request model_2#34 arrives at 1527362.459688559, sleeping for 0.08687510783784091 seconds
Request model_2#35 arrives at 1527362.548330703, sleeping for 0.07391181588172913 seconds
Request model_2#36 arrives at 1527362.622931736, sleeping for 0.27512323297560215 seconds
Request model_6#2 arrives at 1527362.898830472, sleeping for 0.19386065495200455 seconds
Request model_2#37 arrives at 1527363.093603108, sleeping for 0.26372245978564024 seconds
Request model_2#38 arrives at 1527363.358469755, sleeping for 0.05853584851138294 seconds
Request model_2#39 arrives at 1527363.417335533, sleeping for 0.12896550819277763 seconds
Request model_2#40 arrives at 1527363.548390256, sleeping for 0.03511651232838631 seconds
Request model_2#41 arrives at 1527363.584131416, sleeping for 0.02268492733128369 seconds
Request model_5#8 arrives at 1527363.607859788, sleeping for 0.02769386675208807 seconds
Request model_2#42 arrives at 1527363.635688001, sleeping for 0.020852277521044016 seconds
Request model_2#43 arrives at 1527363.657340818, sleeping for 0.08311350853182375 seconds
Request model_2#44 arrives at 1527363.741249948, sleeping for 0.11605214071460068 seconds
Request model_5#9 arrives at 1527363.857956067, sleeping for 0.06909616431221366 seconds
Request model_2#45 arrives at 1527363.927534722, sleeping for 0.213481041835621 seconds
Request model_2#46 arrives at 1527364.142338245, sleeping for 0.024797268910333514 seconds
Request model_5#10 arrives at 1527364.168211983, sleeping for 0.07161161792464554 seconds
Request model_2#47 arrives at 1527364.241976489, sleeping for 0.13735967525281012 seconds
Request model_2#48 arrives at 1527364.379757901, sleeping for 0.06411791150458157 seconds
Request model_5#11 arrives at 1527364.444826284, sleeping for 0.006413377821445465 seconds
Request model_5#12 arrives at 1527364.451543523, sleeping for 0.2127794388215989 seconds
Request model_5#13 arrives at 1527364.665413218, sleeping for 0.09477661876007915 seconds
Request model_3#8 arrives at 1527364.761229885, sleeping for 0.05592981283552945 seconds
Request model_2#49 arrives at 1527364.817946838, sleeping for 0.14220276987180114 seconds
Request model_2#50 arrives at 1527364.961992165, sleeping for 0.045692757004871964 seconds
Request model_6#3 arrives at 1527365.140252701, sleeping for 0 seconds
Request model_2#51 arrives at 1527365.140552084, sleeping for 0.0044952726457268 seconds
Request model_2#52 arrives at 1527365.145299698, sleeping for 0.05488978000357747 seconds
Request model_2#53 arrives at 1527365.200807722, sleeping for 0.11063395789824426 seconds
Request model_2#54 arrives at 1527365.312424723, sleeping for 0.18796012457460165 seconds
Request model_5#14 arrives at 1527365.501230666, sleeping for 0.10157881816849113 seconds
Request model_3#9 arrives at 1527365.603829972, sleeping for 0.05515584349632263 seconds
Request model_6#4 arrives at 1527365.659445207, sleeping for 0.01826258352957666 seconds
Request model_2#55 arrives at 1527365.678998439, sleeping for 0.019797628046944737 seconds
Request model_6#5 arrives at 1527365.699562269, sleeping for 0.28760482417419553 seconds
Request model_2#56 arrives at 1527365.989340576, sleeping for 0.001277061877772212 seconds
Request model_3#10 arrives at 1527365.991091348, sleeping for 0.1044497184921056 seconds
Request model_5#15 arrives at 1527366.096808657, sleeping for 0.1416149130091071 seconds
Request model_3#11 arrives at 1527366.239523895, sleeping for 0.04537977674044669 seconds
Request model_2#57 arrives at 1527366.285909122, sleeping for 0.04157561343163252 seconds
Request model_2#58 arrives at 1527366.329496989, sleeping for 0.02684282953850925 seconds
Request model_6#6 arrives at 1527366.357495803, sleeping for 0.05968061927706003 seconds
Request model_5#16 arrives at 1527366.417971312, sleeping for 0.1655624615959823 seconds
Request model_5#17 arrives at 1527366.584351592, sleeping for 0.13521289569325745 seconds
Request model_2#59 arrives at 1527366.720367941, sleeping for 0.3492574258707464 seconds
Request model_2#60 arrives at 1527367.071549725, sleeping for 0.08582150703296065 seconds
Request model_2#61 arrives at 1527367.158519917, sleeping for 0.006784519646316767 seconds
Request model_2#62 arrives at 1527367.166228503, sleeping for 0.023428274784237146 seconds
Request model_3#12 arrives at 1527367.189859705, sleeping for 0.15595114044845104 seconds
Request model_3#13 arrives at 1527367.346698026, sleeping for 0.02706768154166639 seconds
Request model_2#63 arrives at 1527367.374381267, sleeping for 0.04580365284346044 seconds
Request model_2#64 arrives at 1527367.421053717, sleeping for 0.20895788073539734 seconds
Request model_2#65 arrives at 1527367.631241645, sleeping for 0.06915508327074349 seconds
Request model_2#66 arrives at 1527367.700968012, sleeping for 0.1614487322513014 seconds
Request model_5#18 arrives at 1527367.862739618, sleeping for 0.15681653609499335 seconds
Request model_2#67 arrives at 1527368.020078052, sleeping for 0.08769278111867607 seconds
Request model_2#68 arrives at 1527368.108809447, sleeping for 0.16665121540427208 seconds
Request model_6#7 arrives at 1527368.276683838, sleeping for 0.06391710159368813 seconds
Request model_3#14 arrives at 1527368.341404759, sleeping for 0.15678902924992144 seconds
Request model_2#69 arrives at 1527368.499303207, sleeping for 0.11330730584450066 seconds
Request model_2#70 arrives at 1527368.613350486, sleeping for 0.07280649337917566 seconds
Request model_2#71 arrives at 1527368.687053012, sleeping for 0.01742553384974599 seconds
Request model_2#72 arrives at 1527368.704762351, sleeping for 0.4125961468089372 seconds
Request model_2#73 arrives at 1527369.118931312, sleeping for 0.2550663771107793 seconds
Request model_2#74 arrives at 1527369.374297679, sleeping for 0.08480375818908215 seconds
Request model_2#75 arrives at 1527369.460527986, sleeping for 0.36011332576163113 seconds
Request model_2#76 arrives at 1527369.821673252, sleeping for 0.19069109298288822 seconds
Request model_2#77 arrives at 1527370.013527417, sleeping for 0.13092836970463395 seconds
Request model_2#78 arrives at 1527370.145313626, sleeping for 0.06201264588162303 seconds
Request model_2#79 arrives at 1527370.208023581, sleeping for 0.13389495806768537 seconds
Request model_2#80 arrives at 1527370.343724718, sleeping for 0.05875071231275797 seconds
Request model_5#19 arrives at 1527370.404438349, sleeping for 0.21182372304610908 seconds
Request model_2#81 arrives at 1527370.617303717, sleeping for 0.15172970946878195 seconds
Request model_2#82 arrives at 1527370.77038248, sleeping for 0.13691954710520804 seconds
Request model_2#83 arrives at 1527370.908096432, sleeping for 0.1717657430563122 seconds
Request model_3#15 arrives at 1527371.08112473, sleeping for 0.35523532750084996 seconds
Request model_2#84 arrives at 1527371.437161859, sleeping for 0.3351562370080501 seconds
Request model_2#85 arrives at 1527371.773244752, sleeping for 0.25737366476096213 seconds
Request model_6#8 arrives at 1527372.031860683, sleeping for 0.06426171050406992 seconds
Request model_2#86 arrives at 1527372.097274348, sleeping for 0.06345914117991924 seconds
Request model_2#87 arrives at 1527372.161467845, sleeping for 0.04071828140877187 seconds
Request model_2#88 arrives at 1527372.202709105, sleeping for 0.22437231498770416 seconds
Request model_2#89 arrives at 1527372.427775171, sleeping for 0.035837126430124044 seconds
Request model_2#90 arrives at 1527372.463974615, sleeping for 0.04797077924013138 seconds
Request model_5#20 arrives at 1527372.51281314, sleeping for 0.10907608573324978 seconds
Request model_3#16 arrives at 1527372.62292496, sleeping for 0.006430401466786861 seconds
Request model_2#91 arrives at 1527372.62978655, sleeping for 0.1485045626759529 seconds
Request model_2#92 arrives at 1527372.778628553, sleeping for 0.011023365892469883 seconds
Request model_6#9 arrives at 1527372.790443138, sleeping for 0.030394839821383357 seconds
Request model_5#21 arrives at 1527372.821192792, sleeping for 0.0871704772580415 seconds
Request model_5#22 arrives at 1527372.910048228, sleeping for 0.06998551054857671 seconds
Request model_3#17 arrives at 1527372.980779182, sleeping for 0.3941029207780957 seconds
Request model_2#93 arrives at 1527373.376048616, sleeping for 0.10188995930366218 seconds
Request model_2#94 arrives at 1527373.47832318, sleeping for 0.15399571205489337 seconds
Request model_5#23 arrives at 1527373.633589389, sleeping for 0.4388786326162517 seconds
Request model_2#95 arrives at 1527374.073525957, sleeping for 0.20389231853187084 seconds
Request model_2#96 arrives at 1527374.278026354, sleeping for 0.007522401632741094 seconds
Request model_2#97 arrives at 1527374.286660367, sleeping for 0.07386257429607213 seconds
Request model_5#24 arrives at 1527374.360917647, sleeping for 0.24677649117074907 seconds
Request model_2#98 arrives at 1527374.609697436, sleeping for 0.019516165368258953 seconds
Request model_5#25 arrives at 1527374.630085714, sleeping for 0.048879485577344894 seconds
