Real trace file: /workspace/prism-exp/exp/workloads/paper-faithful-v4/bursty_r8_s3.pkl
[PRISM_DIRECT] 3372 requests, span 419.5s
Starting TP benchmark: paper-faithful-v3_bursty_rate8_seed3
Generated 3372 requests
Request model_2#0 arrives at 148460.063270554, sleeping for 0.08008169123786502 seconds
Request model_5#0 arrives at 148460.144452698, sleeping for 0.023882855952251703 seconds
Request model_1#0 arrives at 148460.168738092, sleeping for 0.10094525205204263 seconds
Request model_3#0 arrives at 148460.270441766, sleeping for 0.09762352443067357 seconds
Request model_2#1 arrives at 148460.368755544, sleeping for 0.0268077602959238 seconds
Request model_6#0 arrives at 148460.397080754, sleeping for 0.18236740850261413 seconds
Request model_6#1 arrives at 148460.580707733, sleeping for 0.4989011601137463 seconds
Request model_6#2 arrives at 148461.080713418, sleeping for 0.04498348315246403 seconds
Request model_5#1 arrives at 148461.125993322, sleeping for 0.5783152934745885 seconds
Request model_3#1 arrives at 148461.704900208, sleeping for 0.22294819561648183 seconds
Request model_1#1 arrives at 148461.928422914, sleeping for 0.13075299069168977 seconds
Request model_6#3 arrives at 148462.059823799, sleeping for 0.1650928643939551 seconds
Request model_2#2 arrives at 148462.226949195, sleeping for 0.047197500098263845 seconds
Request model_2#3 arrives at 148462.275287023, sleeping for 0.2158980782260187 seconds
Request model_1#2 arrives at 148462.491717218, sleeping for 0.5854429364553653 seconds
Request model_3#2 arrives at 148463.078577286, sleeping for 0.02199041415587999 seconds
Request model_6#4 arrives at 148463.101050888, sleeping for 0.12928585082408972 seconds
Request model_6#5 arrives at 148463.231413032, sleeping for 0.022379784262739122 seconds
Request model_6#6 arrives at 148463.254053353, sleeping for 0.22917384988977574 seconds
Request model_6#7 arrives at 148463.485121749, sleeping for 0.0817721024795901 seconds
Request model_6#8 arrives at 148463.567419446, sleeping for 0.07744799717329443 seconds
Request model_6#9 arrives at 148463.645703986, sleeping for 0.21538423988386057 seconds
Request model_3#3 arrives at 148463.862187061, sleeping for 0.005678149202140048 seconds
Request model_6#10 arrives at 148463.8685281, sleeping for 0.08143077790737152 seconds
Request model_3#4 arrives at 148463.951019287, sleeping for 0.2142567085684277 seconds
Request model_3#5 arrives at 148464.166453391, sleeping for 0.18759347178274766 seconds
Request model_6#11 arrives at 148464.354498196, sleeping for 0.007597018498927355 seconds
Request model_3#6 arrives at 148464.362776938, sleeping for 0.11272630796884187 seconds
Request model_1#3 arrives at 148464.476153668, sleeping for 0.09645053950953297 seconds
Request model_6#12 arrives at 148464.573483765, sleeping for 0.1388121739437338 seconds
Request model_6#13 arrives at 148464.712675891, sleeping for 0.22700117103522643 seconds
Request model_6#14 arrives at 148464.940630073, sleeping for 0.03502487324294634 seconds
Request model_3#7 arrives at 148464.975926843, sleeping for 0.052260749420383945 seconds
Request model_3#8 arrives at 148465.028721467, sleeping for 0.01709422725252807 seconds
Request model_6#15 arrives at 148465.046981033, sleeping for 0 seconds
Request model_3#9 arrives at 148465.047904904, sleeping for 0.004808525322005153 seconds
Request model_3#10 arrives at 148465.053412602, sleeping for 0.02636623999569565 seconds
Request model_6#16 arrives at 148465.081699072, sleeping for 0.05907778846449219 seconds
Request model_3#11 arrives at 148465.142965008, sleeping for 0.19719644740689546 seconds
Request model_1#4 arrives at 148465.341390538, sleeping for 0.07593070805887692 seconds
Request model_3#12 arrives at 148465.417702046, sleeping for 0.09753958421060815 seconds
Request model_2#4 arrives at 148465.516154645, sleeping for 0.06530066108098254 seconds
Request model_2#5 arrives at 148465.582521669, sleeping for 0.09798553842119873 seconds
Request model_1#5 arrives at 148465.681144798, sleeping for 0.12448510868125595 seconds
Request model_5#2 arrives at 148465.806846935, sleeping for 0.2599626073206309 seconds
Request model_3#13 arrives at 148466.067221523, sleeping for 0.25624321721261367 seconds
Request model_3#14 arrives at 148466.323913365, sleeping for 0.09810860810102895 seconds
Request model_3#15 arrives at 148466.423368115, sleeping for 0.12533402763074264 seconds
Request model_6#17 arrives at 148466.549556413, sleeping for 0.27375341780134477 seconds
Request model_6#18 arrives at 148466.824148151, sleeping for 0.05301921200589277 seconds
Request model_1#6 arrives at 148466.878420298, sleeping for 0.09210401389282197 seconds
Request model_1#7 arrives at 148466.971702309, sleeping for 0.5871143780532293 seconds
Request model_6#19 arrives at 148467.5602747, sleeping for 0.018861825781641528 seconds
Request model_2#6 arrives at 148467.579649107, sleeping for 0.06852165557211265 seconds
Request model_6#20 arrives at 148467.648935825, sleeping for 0.14662431372562423 seconds
Request model_3#16 arrives at 148467.796301243, sleeping for 0.07675547688268125 seconds
Request model_6#21 arrives at 148467.873354652, sleeping for 0.05410042413859628 seconds
Request model_3#17 arrives at 148467.92861837, sleeping for 0.06501533935079351 seconds
Request model_3#18 arrives at 148467.993938622, sleeping for 0.12701049170573242 seconds
Request model_1#8 arrives at 148468.121254192, sleeping for 0.07082832622108981 seconds
Request model_3#19 arrives at 148468.192573393, sleeping for 0.0552822804893367 seconds
Request model_3#20 arrives at 148468.248884242, sleeping for 0.10257348295999691 seconds
Request model_6#22 arrives at 148468.351841948, sleeping for 0.04275028416304849 seconds
Request model_3#21 arrives at 148468.395162249, sleeping for 0.04413301931344904 seconds
Request model_3#22 arrives at 148468.440513153, sleeping for 0.018868435581680387 seconds
Request model_1#9 arrives at 148468.460859011, sleeping for 0.05079875895171426 seconds
Request model_5#3 arrives at 148468.512163804, sleeping for 0.1160605855693575 seconds
Request model_3#23 arrives at 148468.62949916, sleeping for 0.0076705483661498874 seconds
Request model_6#23 arrives at 148468.637991262, sleeping for 0.24794749470311217 seconds
Request model_6#24 arrives at 148468.886978753, sleeping for 0.2969813954550773 seconds
Request model_3#24 arrives at 148469.184493403, sleeping for 0.1813937094702851 seconds
Request model_6#25 arrives at 148469.366909471, sleeping for 0.17922246211674064 seconds
Request model_6#26 arrives at 148469.546729505, sleeping for 0.2612879640364554 seconds
Request model_1#10 arrives at 148469.809155265, sleeping for 0.08782144141150638 seconds
Request model_6#27 arrives at 148469.898486891, sleeping for 0.027796938753454015 seconds
Request model_1#11 arrives at 148469.926744921, sleeping for 0.1002806154137943 seconds
Request model_1#12 arrives at 148470.027620784, sleeping for 0.10737616487313062 seconds
Request model_6#28 arrives at 148470.136129387, sleeping for 0.08469926859834231 seconds
Request model_3#25 arrives at 148470.221853318, sleeping for 0.007684656651690602 seconds
Request model_6#29 arrives at 148470.23011998, sleeping for 0.013726220233365893 seconds
Request model_3#26 arrives at 148470.245394541, sleeping for 0.21337918433710001 seconds
Request model_6#30 arrives at 148470.459588454, sleeping for 0.10510796008748002 seconds
Request model_6#31 arrives at 148470.565969874, sleeping for 0.154409340582788 seconds
Request model_3#27 arrives at 148470.723221766, sleeping for 0.05936050627497025 seconds
Request model_3#28 arrives at 148470.783276411, sleeping for 0.2253209640039131 seconds
Request model_3#29 arrives at 148471.009923641, sleeping for 0.3445567914750427 seconds
Request model_3#30 arrives at 148471.355139499, sleeping for 0.15940954047255218 seconds
Request model_3#31 arrives at 148471.515423205, sleeping for 0.30768572335364297 seconds
Request model_3#32 arrives at 148471.824167791, sleeping for 0.010202527744695544 seconds
Request model_2#7 arrives at 148471.836020828, sleeping for 0.11967233975883573 seconds
Request model_6#32 arrives at 148471.95774958, sleeping for 0.036524499591905624 seconds
Request model_3#33 arrives at 148471.995882764, sleeping for 0.044000496971420944 seconds
Request model_1#13 arrives at 148472.040963188, sleeping for 0.029338182706851512 seconds
Request model_2#8 arrives at 148472.07136753, sleeping for 0.00878738978644833 seconds
Request model_3#34 arrives at 148472.080994444, sleeping for 0.14812062220880762 seconds
Request model_1#14 arrives at 148472.229511464, sleeping for 0.16922689162311144 seconds
Request model_1#15 arrives at 148472.399605484, sleeping for 0.3719108230434358 seconds
Request model_1#16 arrives at 148472.772444871, sleeping for 0.08898463231162168 seconds
Request model_3#35 arrives at 148472.862321388, sleeping for 0.11961256054928526 seconds
Request model_1#17 arrives at 148472.983785349, sleeping for 0.006096460594562814 seconds
Request model_6#33 arrives at 148472.990628079, sleeping for 0.06525615209829994 seconds
Request model_3#36 arrives at 148473.056888723, sleeping for 0.09200181672349572 seconds
Request model_3#37 arrives at 148473.150118375, sleeping for 0.7474526853475254 seconds
Request model_3#38 arrives at 148473.898958363, sleeping for 0.041741379944141954 seconds
Request model_1#18 arrives at 148473.942054114, sleeping for 0.3771867566392757 seconds
Request model_3#39 arrives at 148474.320165848, sleeping for 0.002447994367685169 seconds
Request model_3#40 arrives at 148474.322909712, sleeping for 0.4198024851793889 seconds
Request model_3#41 arrives at 148474.743082565, sleeping for 0.058639449533075094 seconds
Request model_6#34 arrives at 148474.80278816, sleeping for 0.036523449525702745 seconds
Request model_1#19 arrives at 148474.841353024, sleeping for 0 seconds
Request model_6#35 arrives at 148474.842218026, sleeping for 0.01792447830666788 seconds
Request model_3#42 arrives at 148474.860822922, sleeping for 0.02676614298252389 seconds
Request model_1#20 arrives at 148474.889196612, sleeping for 0.08288856456056237 seconds
Request model_1#21 arrives at 148474.97264472, sleeping for 0.1924243059474975 seconds
Request model_1#22 arrives at 148475.166730124, sleeping for 0.1849299309833441 seconds
Request model_6#36 arrives at 148475.352817877, sleeping for 0.03274978630361147 seconds
Request model_6#37 arrives at 148475.385879994, sleeping for 0.004145402956055477 seconds
Request model_1#23 arrives at 148475.39031983, sleeping for 0.008782978431554511 seconds
Request model_6#38 arrives at 148475.399802794, sleeping for 0.1849056709324941 seconds
Request model_3#43 arrives at 148475.585254946, sleeping for 0.07081410285900347 seconds
Request model_3#44 arrives at 148475.656712857, sleeping for 0.03153710134210996 seconds
Request model_3#45 arrives at 148475.689157293, sleeping for 0.05332402614294551 seconds
Request model_3#46 arrives at 148475.743498379, sleeping for 0.11196785641368479 seconds
Request model_3#47 arrives at 148475.856100419, sleeping for 0.11277289257850498 seconds
Request model_6#39 arrives at 148475.969633649, sleeping for 0.15877743938472122 seconds
Request model_6#40 arrives at 148476.129018374, sleeping for 0.32118743276805617 seconds
Request model_3#48 arrives at 148476.45136969, sleeping for 0.18171872844686732 seconds
Request model_3#49 arrives at 148476.633886638, sleeping for 0.4046228671213612 seconds
Request model_6#41 arrives at 148477.039643272, sleeping for 0.1502902343054302 seconds
Request model_6#42 arrives at 148477.190810685, sleeping for 0.13478373852558434 seconds
Request model_3#50 arrives at 148477.326740698, sleeping for 0.04563768292427994 seconds
Request model_3#51 arrives at 148477.373118953, sleeping for 0.331317933392711 seconds
Request model_6#43 arrives at 148477.705736973, sleeping for 0.03915231421706267 seconds
Request model_3#52 arrives at 148477.74597316, sleeping for 0.040062461484922096 seconds
Request model_3#53 arrives at 148477.787226999, sleeping for 0.13503209449118003 seconds
Request model_1#24 arrives at 148477.923288171, sleeping for 0.27275233005639166 seconds
Request model_6#44 arrives at 148478.197640389, sleeping for 0.22867545782355592 seconds
Request model_3#54 arrives at 148478.427205594, sleeping for 0.0846792567463126 seconds
Request model_1#25 arrives at 148478.512572114, sleeping for 0.010397753241704777 seconds
Request model_6#45 arrives at 148478.5239363, sleeping for 0.11928614042699337 seconds
Request model_1#26 arrives at 148478.644748451, sleeping for 0.005099199595861137 seconds
Request model_6#46 arrives at 148478.650320279, sleeping for 0.1359231507522054 seconds
Request model_2#9 arrives at 148478.787390973, sleeping for 0.004713325353804976 seconds
Request model_3#55 arrives at 148478.79261217, sleeping for 0.013274682103656232 seconds
Request model_1#27 arrives at 148478.80650171, sleeping for 0.4889672310091555 seconds
Request model_3#56 arrives at 148479.296656693, sleeping for 0.08156913364655338 seconds
Request model_1#28 arrives at 148479.378486229, sleeping for 0.09756609858595766 seconds
Request model_5#4 arrives at 148479.476906828, sleeping for 0.2555819866829552 seconds
Request model_6#47 arrives at 148479.733425011, sleeping for 0.059915280842687935 seconds
Request model_6#48 arrives at 148479.795074728, sleeping for 0.18900485010817647 seconds
Request model_1#29 arrives at 148479.984900147, sleeping for 0.05221707938471809 seconds
Request model_3#57 arrives at 148480.039108343, sleeping for 0.29031722064246424 seconds
Request model_5#5 arrives at 148480.331432087, sleeping for 0.12328157629235648 seconds
Request model_6#49 arrives at 148480.455063832, sleeping for 0.1608510647492949 seconds
Request model_6#50 arrives at 148480.617154431, sleeping for 0.04572145958081819 seconds
Request model_6#51 arrives at 148480.664167517, sleeping for 0.07368577222223394 seconds
Request model_3#58 arrives at 148480.739640374, sleeping for 0.018898427515523508 seconds
Request model_3#59 arrives at 148480.760016803, sleeping for 0.027645389025565237 seconds
Request model_2#10 arrives at 148480.788361413, sleeping for 0.2139185680425726 seconds
Request model_3#60 arrives at 148481.002787116, sleeping for 0.29570355522446334 seconds
Request model_6#52 arrives at 148481.298795705, sleeping for 0.04508673489908688 seconds
Request model_3#61 arrives at 148481.34428308, sleeping for 0.02989925179281272 seconds
Request model_6#53 arrives at 148481.374643443, sleeping for 0.14308667107252404 seconds
