Real trace file: /workspace/prism-exp/exp/workloads/paper-faithful-v4/bursty_r8_s1.pkl
[PRISM_DIRECT] 3387 requests, span 419.6s
Starting TP benchmark: paper-faithful-v4_bursty_rate8_seed1
Generated 3387 requests
Request model_5#0 arrives at 139623.922208808, sleeping for 0.19896401627920568 seconds
Request model_2#0 arrives at 139624.121515537, sleeping for 0.1781498989148531 seconds
Request model_2#1 arrives at 139624.300928532, sleeping for 0.03488017912604846 seconds
Request model_2#2 arrives at 139624.336177633, sleeping for 0.08905520720873028 seconds
Request model_5#1 arrives at 139624.42585742, sleeping for 0.08295372861903161 seconds
Request model_2#3 arrives at 139624.509100256, sleeping for 0.13289520333637483 seconds
Request model_2#4 arrives at 139624.64262496, sleeping for 0.09844933811109513 seconds
Request model_5#2 arrives at 139624.741954274, sleeping for 0.06646475967136212 seconds
Request model_2#5 arrives at 139624.809297421, sleeping for 0.032129291124874726 seconds
Request model_2#6 arrives at 139624.84253059, sleeping for 0.2523025870905258 seconds
Request model_2#7 arrives at 139625.095239632, sleeping for 0.38949381941347383 seconds
Request model_5#3 arrives at 139625.486069796, sleeping for 0.14818623359315097 seconds
Request model_2#8 arrives at 139625.634613076, sleeping for 0.1358334823162295 seconds
Request model_3#0 arrives at 139625.771066475, sleeping for 0.7012447238375898 seconds
Request model_5#4 arrives at 139626.475090597, sleeping for 0.0439344423066359 seconds
Request model_3#1 arrives at 139626.519369414, sleeping for 0.012138035555835813 seconds
Request model_3#2 arrives at 139626.532582657, sleeping for 0.044603617337998 seconds
Request model_2#9 arrives at 139626.577813116, sleeping for 0.2060217417019885 seconds
Request model_5#5 arrives at 139626.785465469, sleeping for 0.1380105421121698 seconds
Request model_2#10 arrives at 139626.924133812, sleeping for 0.11946210006135516 seconds
Request model_2#11 arrives at 139627.045441514, sleeping for 0.06330320151755586 seconds
Request model_2#12 arrives at 139627.109782327, sleeping for 0.046664165070978925 seconds
Request model_2#13 arrives at 139627.15708582, sleeping for 0.1620378650550265 seconds
Request model_2#14 arrives at 139627.320581786, sleeping for 0.04248764776275493 seconds
Request model_2#15 arrives at 139627.363774661, sleeping for 0.06179705209797248 seconds
