arm,stage,n,mean,p50,p95,p99,max
D0,frontend_wait,958,0.0007827418831046788,0.00064849853515625,0.0012304186820983887,0.0029664087295532154,0.038578033447265625
D0,local_scheduler_wait,958,0.005765808151261045,0.005733966827392578,0.010495197772979737,0.011163141727447506,0.012102127075195312
D0,prefill_wait,958,0.09870665904624477,0.04530596733093262,0.3534844636917114,0.5125396966934204,0.6065497398376465
D0,actual_prefill_service,958,0.06773616476198328,0.043589234352111816,0.1934422850608825,0.4294620442390439,0.8905420303344727
D0,decode_start_wait,958,0.08297333363949133,0.03522145748138428,0.2883221626281736,0.6765646743774392,1.281346321105957
D0,ttft,958,0.17299137384259378,0.11580932140350342,0.5083606839179993,0.7488817930221533,0.929257869720459
D0,tpot,958,0.0556555008815868,0.051630008748561274,0.09276213034987449,0.12730963373329565,0.18091879785060883
D0,e2e,958,9.539608432504977,6.94522750377655,26.668944823741914,31.089875218868254,34.526729106903076
D1-audit-off,frontend_wait,958,0.000734938211381311,0.0006576776504516602,0.001271843910217285,0.0019953274726867616,0.00728154182434082
D1-audit-off,local_scheduler_wait,958,0.005946725544700543,0.005918264389038086,0.010793066024780272,0.011579611301422118,0.012476682662963867
D1-audit-off,prefill_wait,958,0.11191555527904089,0.0516352653503418,0.44221813678741456,0.6986206912994383,0.8918185234069824
D1-audit-off,actual_prefill_service,958,0.0692441948769237,0.04382658004760742,0.19686121940612777,0.4349251604080172,1.3088347911834717
D1-audit-off,decode_start_wait,958,0.09750132346700775,0.03660869598388672,0.32928974628448476,0.8804819226264949,2.8397936820983887
D1-audit-off,ttft,958,0.18784141391204642,0.11757767200469971,0.5850186944007872,0.8337858343124389,1.4073338508605957
D1-audit-off,tpot,958,0.05923367667994566,0.05314433957273895,0.10293993304987423,0.15600867961315393,0.27821210452488493
D1-audit-off,e2e,958,9.874336499510827,6.967739820480347,26.658710372447963,32.34534170389175,35.29478859901428
