implementation,workload,request_rate,seed,migration_count,migration_decisions_logged,migration_success,migration_failed,migration_latency_is_submission_only,migration_latency_mean,migration_latency_p50,migration_latency_p95,migration_latency_p99,migration_latency_max,migration_total_time,migration_weight_bytes,migration_kv_bytes,migration_total_bytes,migration_bandwidth,migration_bandwidth_p50,migration_paths,service_downtime_mean,service_downtime_p50,service_downtime_p95,service_downtime_p99,weight_transfers,p2p_weight_transfers,page_locked_transfers
paper-faithful-v4,bursty,8,1,14,26,14,0,0,1312.09397315979,1276.8558263778687,2094.82284784317,2142.949860095978,2154.9816131591797,167.03830695152283,101258122240,0,101258122240,10.54699498452024,12.212373669345144,gpu-to-gpu-p2p;host-to-device + helper-gpu-p2p,0.0,0.0,0.0,0.0,25,8,25
paper-faithful-v4,bursty,8,2,12,25,12,0,0,5153.609911600749,1366.1830425262451,22060.835170745817,41497.444591522246,46356.59694671631,120.08357095718384,109489903616,0,109489903616,10.512085453250341,11.854776769495484,gpu-to-gpu-p2p;host-to-device + helper-gpu-p2p,3863.0497455596924,0.0,20860.468626022306,41257.371282577544,27,8,27
paper-faithful-v4,bursty,8,3,12,24,12,0,0,3973.697066307068,1484.9934577941895,15862.661707401254,29335.677025318164,32703.930854797363,133.427077293396,97674933248,0,97674933248,9.557195771445308,10.597237994621,gpu-to-gpu-p2p;host-to-device + helper-gpu-p2p,2725.3275712331138,0.0,14716.76888465879,29106.49846076967,24,7,24
paper-faithful-v4,steady,8,1,13,28,13,0,0,1286.308215214656,1252.5420188903809,1675.2904415130615,1702.3289394378662,1709.0885639190674,116.8786518573761,70452905984,0,70452905984,9.3740063952912,10.376531703208034,gpu-to-gpu-p2p;host-to-device + helper-gpu-p2p,0.0,0.0,0.0,0.0,20,4,20
paper-faithful-v4,steady,8,2,14,28,14,0,0,1254.0837185723442,1193.5287714004517,1950.5541920661924,2193.9514756202693,2254.800796508789,142.1551432609558,89312734208,0,89312734208,8.965439872398228,11.908083518125842,gpu-to-gpu-p2p;host-to-device + helper-gpu-p2p,0.0,0.0,0.0,0.0,20,3,20
paper-faithful-v4,steady,8,3,13,28,13,0,0,1070.978329731868,994.187593460083,1434.2296600341795,1489.075813293457,1502.7873516082764,101.84715509414673,55821149184,0,55821149184,10.218918459858635,11.496141141782296,gpu-to-gpu-p2p;host-to-device + helper-gpu-p2p,0.0,0.0,0.0,0.0,19,3,19
