implementation,workload,request_rate,seed,ttft_mean,ttft_p50,ttft_p95,ttft_p99,ttft_max,tpot_mean,tpot_p50,tpot_p95,tpot_p99,tpot_max,e2e_mean,e2e_p50,e2e_p95,e2e_p99,e2e_max
paper-faithful-v6,bursty,2,1,223.00300111420796,102.6298999786377,544.1895246505732,4156.89509391785,7693.769693374634,39.04740107642616,37.98216643649111,59.58067643291808,85.6741492888508,113.29448584354284,6685.202039214909,4962.318414123729,17818.326467368737,21523.28487326857,23650.28379508294
paper-faithful-v6,bursty,2,2,419.487786953012,108.41262340545654,2595.962500572198,6880.277481079104,10758.28242301941,42.20869149400271,39.62828801760911,67.85618883356376,89.10813409090044,127.31780111789703,6650.268825475581,4327.59329804685,20258.035037724767,23949.65067593382,25124.01609006338
paper-faithful-v6,bursty,2,3,187.00698121863218,93.62959861755371,259.3099355697631,3772.5166320800936,7406.009674072266,33.854519341132104,33.74926204787952,53.27804535627362,72.5919008255005,88.45674991607666,5903.833409263961,4819.6874561253935,15376.87496081926,17251.794632379897,21831.67423401028
paper-faithful-v6,bursty,4,1,162.0203971466749,104.84397411346436,254.11443710327117,1853.8795828819427,8066.06912612915,43.07790394110207,40.74219569918655,69.84036043905485,82.92216146880007,123.21920692920685,7554.016802002029,5354.006274952553,19594.7549823788,27290.72942846223,34346.069579944015
paper-faithful-v6,bursty,4,2,587.7782090867381,117.09880828857422,3992.1870112419065,9534.475293159487,16629.512548446655,50.08119895525593,42.94611637790998,86.24574223924968,169.7163932879766,299.95574874262655,8230.598837102714,5579.956259927712,25546.08063849154,32007.618564663004,39537.764634005725
paper-faithful-v6,bursty,4,3,207.28387563944463,109.93170738220215,410.72316169738684,3844.209022521963,6979.149341583252,48.208255033171696,43.13179850578308,84.76658049655161,127.6715022325515,180.51369488239288,8566.364274320293,6754.111202200875,22921.971402643234,31545.37551571614,32803.4094190225
paper-faithful-v6,bursty,8,1,195.2107878862131,124.9396800994873,464.7296786308288,2032.9608869552535,7201.215982437134,69.15818005253577,57.05940309498045,168.94945294358007,237.93997785983905,513.8093829154968,11456.082459870853,7627.15484155342,29026.579398964506,68756.60707047203,81795.29353394173
paper-faithful-v6,bursty,8,2,338.29079269863234,119.71664428710938,1296.575903892517,5872.790086269379,7540.59362411499,65.09588527943599,54.390663683632795,132.98696652054787,174.82025176286714,302.6403486728668,10765.163755593629,6784.9950100062415,34516.1226777127,48460.87488316698,57755.42488601059
paper-faithful-v6,bursty,8,3,263.4667860531914,126.39188766479492,696.384525299072,4669.993619918816,10427.953958511353,70.1831006183066,54.98346996804079,153.73645169394345,226.64782963301005,409.5582515001297,11017.910966545263,7336.885816184804,35172.01754469423,45504.04725139029,51995.20610203035
paper-faithful-v6,bursty,14,1,343.7736736876624,158.06353092193604,1433.8530898094177,2491.7270898818965,7968.343257904053,182.7228831357313,85.953652445443,528.29919519806,2057.1026084863547,3212.393820285797,20390.872536504412,13016.57508208882,66175.73051690124,97505.82228373963,113677.41458280943
paper-faithful-v6,bursty,14,2,112.82265634946926,84.14387702941895,206.9538354873657,286.726810932161,4660.782337188721,31.998040006159975,30.908756686127894,51.91689759492874,65.12166657126872,90.93904495239258,4845.1739570203545,3092.527407919988,13152.484175236896,14804.803090484349,14991.156954085454
paper-faithful-v6,bursty,14,3,538.5224097298632,158.6005687713623,2621.3963627815237,4800.512399673437,7454.004526138306,183.9131703937679,82.9278534432705,673.6681660971577,1877.7555064856956,2693.977013230324,20490.04616295966,13656.784684048034,73059.73164704625,109652.44638626928,120395.97881608643
paper-faithful-v6,bursty,20,1,835.6444343156827,215.6461477279663,3825.889825820923,5634.180629253385,7914.551019668579,237.1373413948006,132.67531441856164,863.4558729827404,1862.7577416598797,2940.9970194101334,26287.635409089315,18289.82626553625,78924.53688866226,105559.23324326283,119019.54554999247
paper-faithful-v6,bursty,20,2,17506.353677541087,2041.009545326233,69829.66074943542,96784.805197716,112881.48975372314,69.52229165030555,63.57015955906648,128.73945472508493,212.77337610721588,375.12828409671783,27866.312846611057,15975.40847689379,86474.56940320552,108835.31833471732,126024.54772079363
paper-faithful-v6,bursty,20,3,995.6288611811309,211.51256561279297,4201.012611389159,5894.269504547119,7675.604581832886,223.5803552186468,135.5151500966814,762.8845199884145,1636.613582224627,2281.261831521988,26698.751310575004,18830.119816120714,85850.29470128937,118485.82981157117,135618.95922897384
paper-faithful-v6,steady,4,1,112.29368498901916,101.68516635894775,214.24998044967649,289.4658589363097,631.3309669494629,42.35494003886935,41.97907292594512,55.76323241591452,65.56444828326882,108.46602215486415,7218.262907168204,5262.828818056732,18305.972237349488,20817.840821982827,22819.06115799211
paper-faithful-v6,steady,4,2,114.35897346478183,103.78861427307129,211.62278652191156,309.06954526901194,611.8795871734619,43.78388457233188,43.79450809210539,59.29736905502822,73.69934008486806,88.95155787467957,7362.226681685161,5181.266849394888,19091.67734106304,22836.557077553585,25429.697341052815
paper-faithful-v6,steady,4,3,120.01530997169989,111.82451248168945,226.988971233368,313.4663009643555,789.9129390716553,47.61353445019055,47.159199159414996,65.93381992230813,75.96664556264878,108.78172516822815,8460.179330031666,6806.60593661014,21209.751342749223,23848.77446975559,26135.451747104526
paper-faithful-v6,steady,8,1,125.49923565454942,109.33983325958252,243.07608604431144,421.17303133010836,1451.519250869751,50.92309313606905,48.83923978842242,73.1400990858674,93.53966198688329,169.03865337371826,8560.052757167836,6015.9142524935305,23309.161635208868,27350.12197511037,30142.883230000734
paper-faithful-v6,steady,8,2,119.58133054918669,109.17556285858154,226.0028600692749,357.62242794036865,664.9124622344971,49.71226188786667,48.92779886722565,68.84986516164274,81.88688279766785,109.35619473457336,8385.832321085189,6008.703096071258,22438.23017188115,25519.6760158008,28402.326511917636
paper-faithful-v6,steady,8,3,136.58243592252435,120.18084526062012,263.6186122894287,433.006229400633,2094.0113067626953,55.69049561728739,55.28274178504944,78.91290944109679,97.45998495333899,266.1771923303604,9335.812325538185,6874.240219825879,25173.60221110284,27705.77932551503,30207.680515013635
paper-faithful-v6,steady,20,1,174.1499349980535,136.58249378204346,367.7559375762939,919.1719627380406,4358.270168304443,107.76344200894214,77.20651295745657,241.2370666861534,321.11437946558,812.4394714832306,17428.55387985475,9624.156321049668,71829.24277255077,84781.51391266615,96788.89607195742
paper-faithful-v6,steady,20,2,156.12765814854646,134.30321216583252,317.3764944076538,630.4861307144165,3081.127882003784,87.73672404177941,77.56346357720238,149.34075852943113,196.951443799164,358.40801894664764,14571.400272277662,8984.421162982471,46601.90359177068,53740.82388905808,62919.63486908935
paper-faithful-v6,steady,20,3,179.90375980376564,148.8966941833496,392.9942846298218,893.5031175613395,2140.9637928009033,119.65201578733162,119.07292902469635,212.94302493333817,293.8266812001957,749.9809414148331,19693.600133512206,11176.024991087615,67639.09282849636,77188.5972405551,81266.45948993973
