request_id,model,arrival_time,completion_time,prompt_tokens,output_tokens,ttft_s,tpot_s,e2e_s,ttft_slo_s,tpot_slo_s,ttft_slo_met,tpot_slo_met,joint_slo_met,success,in_measurement_window
model_3#0,model_3,0.15798739989438207,6.82154026481473,21,217,0.1506977081298828,0.02998532567705427,6.663552864920348,0.2780747413635254,0.03177899122238159,1,1,1,1,0
model_1#0,model_1,0.26534373247895354,16.23983928356219,45,384,0.14201712608337402,0.04121288408835729,15.974495551083237,0.11985421180725098,0.019033251330256462,0,0,0,1,0
model_4#0,model_4,0.32701601678574405,2.241572245807144,423,50,0.08420944213867188,0.03652923583984375,1.9145562290214002,0.26418447494506836,0.0371999591588974,1,1,1,1,0
model_1#1,model_1,0.4215027941066906,12.193928312012194,8,291,0.08621406555175781,0.04013919666460699,11.772425517905504,0.11985421180725098,0.019033251330256462,1,0,0,1,0
model_4#1,model_4,0.5781529496410717,4.65661750379818,328,101,0.036702632904052734,0.039970282280799185,4.078464554157108,0.26418447494506836,0.0371999591588974,1,0,0,1,0
model_4#2,model_4,0.6011617500205335,17.140690636109635,369,384,0.047652244567871094,0.04273292856911818,16.5395288860891,0.26418447494506836,0.0371999591588974,1,0,0,1,0
model_3#1,model_3,0.6462611159366264,11.891555376030569,234,370,0.1352710723876953,0.030010570062173378,11.245294260093942,0.2780747413635254,0.03177899122238159,1,1,1,1,0
model_3#2,model_3,0.6880911729460956,7.130436068044454,21,228,0.20671725273132324,0.027327256244525575,6.442344895098358,0.2780747413635254,0.03177899122238159,1,1,1,1,0
model_1#2,model_1,0.772756734088367,1.9099473740610537,1286,16,0.2131357192993164,0.057402074337005615,1.1371906399726868,0.11985421180725098,0.019033251330256462,0,0,0,1,0
model_1#3,model_1,0.9085861567623422,9.349841814695994,13,204,0.09038305282592773,0.040906123086517934,8.441255657933652,0.11985421180725098,0.019033251330256462,1,0,0,1,0
model_1#4,model_1,1.0139060359003804,13.479329076923694,17,298,0.028884410858154297,0.04171661242542651,12.465423041023314,0.11985421180725098,0.019033251330256462,1,0,0,1,0
model_4#3,model_4,1.021846832703753,12.299660590706347,19,289,0.046288490295410156,0.03884094149183649,11.277813758002594,0.26418447494506836,0.0371999591588974,1,0,0,1,0
model_1#5,model_1,1.1029993169916585,2.3124298991145356,64,41,0.10019040107727051,0.026961867402239544,1.2094305821228772,0.11985421180725098,0.019033251330256462,1,0,0,1,0
model_4#4,model_4,1.3051265218786547,8.902226499889757,14,196,0.03638172149658203,0.03854165515121149,7.5970999780111015,0.26418447494506836,0.0371999591588974,1,0,0,1,0
model_1#6,model_1,1.3735125581516463,5.859717817256837,313,127,0.10457873344421387,0.03445653464850478,4.486205259105191,0.11985421180725098,0.019033251330256462,1,0,0,1,0
model_1#7,model_1,1.4971581856368417,17.316815881815025,21,384,0.11229443550109863,0.040874277551968895,15.819657696178183,0.11985421180725098,0.019033251330256462,1,0,0,1,0
model_3#3,model_3,1.5260840539550637,2.5995303668743226,14,49,0.10249447822570801,0.01971171826732402,1.073446312919259,0.2780747413635254,0.03177899122238159,1,1,1,1,0
model_1#8,model_1,1.5754191047029087,9.511436091780801,40,204,0.034951210021972656,0.0386923446374781,7.936016987077892,0.11985421180725098,0.019033251330256462,1,0,0,1,0
model_1#9,model_1,1.5948878447020554,17.317151125702832,603,384,0.20120477676391602,0.040391133477290474,15.722263281000778,0.11985421180725098,0.019033251330256462,0,0,0,1,0
model_1#10,model_1,1.6646931394335578,9.336817440516944,12,194,0.131636381149292,0.03884242736187178,7.672124301083386,0.11985421180725098,0.019033251330256462,0,0,0,1,0
model_4#5,model_4,1.7393553797308026,3.5480316996261148,719,51,0.03721284866333008,0.03463615155687519,1.8086763198953122,0.26418447494506836,0.0371999591588974,1,1,1,1,0
