case	model	model_path	requests	completed	slo_ttft_s	slo_tpot_ms	req_tput_rps	out_tok_tput	attain_ttft	attain_tpot	attain_both	violation_rate	goodput_rps	goodput_tok_s	ttft_p50_ms	ttft_p99_ms	tpot_p50_ms	tpot_p99_ms
A	model_1	meta-llama/Llama-3.1-8B	296	296	0.2143485546	22.92579678	0.4910545350532959	143.42608050011046	1.0	1.0	1.0	0.0	0.4910545350532959	143.42608050011046	33.45370292663574	77.68799066543586	13.55523827197803	14.685875779719325
A	ALL	-	296	296			0.4910545350532959	143.42608050011046	1.0	1.0	1.0	0.0	0.4910545350532959	143.42608050011046	33.45370292663574	77.68799066543586	13.55523827197803	14.685875779719325
B	model_1	meta-llama/Llama-3.1-8B	296	296	0.2143485546	22.92579678	0.48387083273852255	141.32788123111138	1.0	0.34797297297297297	0.34797297297297297	0.652027027027027	0.16837397220293185	43.15931664176511	54.679036140441895	141.10779762268075	28.04993233667679	31.12671098799276
B	model_4	meta-llama/Llama-3.1-8B	262	262	0.2324957371	22.46220606	0.4282910749239625	131.6684462626927	0.9809160305343512	0.08396946564885496	0.08396946564885496	0.916030534351145	0.03596337270353884	10.87074674902424	59.97800827026367	2976.587014198274	28.281621369954102	31.414229743108397
B	ALL	-	558	558			0.9121619076624851	272.9963274938041	0.9910394265232975	0.22401433691756273	0.22401433691756273	0.7759856630824373	0.20433734490647068	54.03006339078935	58.26675891876221	195.35345554351755	28.195961012969853	31.197150289081033
C	model_1	meta-llama/Llama-3.1-8B	296	296	0.2143485546	22.92579678	0.49086893146722055	143.3718698310762	1.0	1.0	1.0	0.0	0.49086893146722055	143.3718698310762	36.31103038787842	90.97570180892966	14.264467949505793	22.06116551678307
C	model_2	meta-llama/Llama-3.2-3B	22	22	0.20386198760000002	19.214485432	0.036483501663104226	7.571984936078814	1.0	0.4090909090909091	0.4090909090909091	0.5909090909090908	0.014925068862179003	3.7760424221312876	44.67427730560303	80.05622386932373	20.68968875366345	21.732132444526385
C	ALL	-	318	318			0.5273524331303248	150.943854767155	1.0	0.9591194968553459	0.9591194968553459	0.04088050314465408	0.5057940003293995	147.14791225320747	36.63432598114014	89.77022886276242	14.286414427416664	22.049471800093297
