model,model_path,source_gpu,target_gpu,migration_start,target_ready_time,migration_end,migration_latency_s,service_downtime_s,migration_total_s,ordering,readiness_barrier,latency_is_submission_only,weight_bytes,kv_bytes,total_bytes,transfer_path,effective_gbps,success,peak_kvpr_before,peak_kvpr_after,tau,alg1_cycle,migration_id,implementation,workload,request_rate,seed
model_1,meta-llama/Llama-3.2-1B,0,1,1787314000.4382937,1787314000.4469898,1787314000.4469898,0.00869607925415039,0.00869607925415039,0.00869607925415039,source-first,0,1,2996965376,0,2996965376,host-to-device + helper-gpu-p2p,9.23226808516424,True,,,,,0,released-prototype,bursty,14,1
model_4,Qwen/Qwen2.5-3B-Instruct,0,1,1787314025.8743265,1787314025.8790731,1787314025.8790731,0.004746675491333008,0.004746675491333008,0.004746675491333008,source-first,0,1,6794207232,0,6794207232,host-to-device + helper-gpu-p2p,5.657823045898161,True,,,,,1,released-prototype,bursty,14,1
model_3,meta-llama/Llama-3.2-3B,1,0,1787315941.497245,1787315941.5029724,1787315941.5029724,0.005727291107177734,0.005727291107177734,0.005727291107177734,source-first,0,1,7213504512,0,7213504512,host-to-device + helper-gpu-p2p,10.677164805343994,True,,,,,0,released-prototype,bursty,14,2
model_2,Qwen/Qwen2.5-1.5B-Instruct,1,0,1787315976.9498465,1787315976.9537652,1787315976.954301,0.003918647766113281,0.003918647766113281,0.004454612731933594,source-first,0,1,3554176000,0,3554176000,host-to-device + helper-gpu-p2p,6.013467471087471,True,,,,,1,released-prototype,bursty,14,2
model_5,meta-llama/Llama-3.1-8B,1,0,1787315981.9891624,1787315981.995085,1787315981.995085,0.005922555923461914,0.005922555923461914,0.005922555923461914,source-first,0,1,16060522496,0,16060522496,host-to-device + helper-gpu-p2p,5.907996136706364,True,,,,,2,released-prototype,bursty,14,2
model_1,meta-llama/Llama-3.2-1B,1,0,1787316262.38164,1787316262.3868902,1787316262.3868902,0.005250215530395508,0.005250215530395508,0.005250215530395508,source-first,0,1,2996965376,0,2996965376,host-to-device + helper-gpu-p2p,3.0770602096163784,True,,,,,3,released-prototype,bursty,14,2
model_5,meta-llama/Llama-3.1-8B,0,1,1787316672.0591106,1787316672.0676942,1787316672.0676942,0.008583545684814453,0.008583545684814453,0.008583545684814453,source-first,0,1,16060522496,0,16060522496,host-to-device + helper-gpu-p2p,8.382304657322218,True,,,,,0,released-prototype,bursty,14,3
model_3,meta-llama/Llama-3.2-3B,1,0,1787316707.7390778,1787316707.7520194,1787316707.7523415,0.012941598892211914,0.012941598892211914,0.013263702392578125,source-first,0,1,7213504512,0,7213504512,host-to-device + helper-gpu-p2p,10.637726885038685,True,,,,,1,released-prototype,bursty,14,3
model_1,meta-llama/Llama-3.2-1B,0,1,1787316784.8692899,1787316784.8763175,1787316784.8763175,0.007027626037597656,0.007027626037597656,0.007027626037597656,source-first,0,1,2996965376,0,2996965376,host-to-device + helper-gpu-p2p,7.27918775723251,True,,,,,2,released-prototype,bursty,14,3
model_3,meta-llama/Llama-3.2-3B,0,1,1787316800.168803,1787316800.1763515,1787316800.1764894,0.00754857063293457,0.00754857063293457,0.0076863765716552734,source-first,0,1,7213504512,0,7213504512,host-to-device + helper-gpu-p2p,5.457886381921128,True,,,,,3,released-prototype,bursty,14,3
model_4,Qwen/Qwen2.5-3B-Instruct,0,1,1787316805.277775,1787316805.2825313,1787316805.2825313,0.00475621223449707,0.00475621223449707,0.00475621223449707,source-first,0,1,6794207232,0,6794207232,host-to-device + helper-gpu-p2p,9.452964150660305,True,,,,,4,released-prototype,bursty,14,3
model_1,meta-llama/Llama-3.2-1B,0,1,1787304508.1266882,1787304508.137031,1787304508.137031,0.010342836380004883,0.010342836380004883,0.010342836380004883,source-first,0,1,2996965376,0,2996965376,host-to-device + helper-gpu-p2p,7.6132142153367415,True,,,,,0,released-prototype,bursty,2,1
model_4,Qwen/Qwen2.5-3B-Instruct,0,1,1787304528.2156243,1787304528.2220178,1787304528.2220178,0.0063934326171875,0.0063934326171875,0.0063934326171875,source-first,0,1,6794207232,0,6794207232,host-to-device + helper-gpu-p2p,6.357390576057076,True,,,,,1,released-prototype,bursty,2,1
model_6,Qwen/Qwen2.5-7B-Instruct,1,0,1787304578.70909,1787304578.71571,1787304578.71571,0.006619930267333984,0.006619930267333984,0.006619930267333984,source-first,0,1,15231233024,0,15231233024,host-to-device + helper-gpu-p2p,11.549667657977375,True,,,,,2,released-prototype,bursty,2,1
model_5,meta-llama/Llama-3.1-8B,0,1,1787305747.3726873,1787305787.5859485,1787305787.5859485,40.213261127471924,40.213261127471924,40.213261127471924,source-first,0,1,16060522496,0,16060522496,host-to-device + helper-gpu-p2p,10.649487043573348,True,,,,,0,released-prototype,bursty,2,2
model_5,meta-llama/Llama-3.1-8B,1,0,1787305807.7252276,1787305807.7304769,1787305807.7304769,0.0052492618560791016,0.0052492618560791016,0.0052492618560791016,source-first,0,1,16060522496,0,16060522496,host-to-device + helper-gpu-p2p,6.266491992819771,True,,,,,1,released-prototype,bursty,2,2
model_5,meta-llama/Llama-3.1-8B,0,1,1787307301.1406965,1787307301.1464086,1787307301.1464086,0.005712032318115234,0.005712032318115234,0.005712032318115234,source-first,0,1,16060522496,0,16060522496,host-to-device + helper-gpu-p2p,8.163982999736769,True,,,,,0,released-prototype,bursty,2,3
model_6,Qwen/Qwen2.5-7B-Instruct,1,0,1787317084.0976746,1787317084.1070626,1787317084.1070626,0.009387969970703125,0.009387969970703125,0.009387969970703125,source-first,0,1,15231233024,0,15231233024,host-to-device + helper-gpu-p2p,8.14285483261814,True,,,,,0,released-prototype,bursty,20,1
model_1,meta-llama/Llama-3.2-1B,0,1,1787317149.7994535,1787317149.804397,1787317149.804397,0.0049436092376708984,0.0049436092376708984,0.0049436092376708984,source-first,0,1,2996965376,0,2996965376,host-to-device + helper-gpu-p2p,4.857892279025987,True,,,,,1,released-prototype,bursty,20,1
model_6,Qwen/Qwen2.5-7B-Instruct,0,1,1787317159.8995502,1787317159.904436,1787317159.904436,0.00488591194152832,0.00488591194152832,0.00488591194152832,source-first,0,1,15231233024,0,15231233024,host-to-device + helper-gpu-p2p,7.053306841233596,True,,,,,2,released-prototype,bursty,20,1
model_4,Qwen/Qwen2.5-3B-Instruct,0,1,1787317175.0177243,1787317175.0233488,1787317175.0233488,0.005624532699584961,0.005624532699584961,0.005624532699584961,source-first,0,1,6794207232,0,6794207232,host-to-device + helper-gpu-p2p,6.492143424006938,True,,,,,3,released-prototype,bursty,20,1
model_5,meta-llama/Llama-3.1-8B,0,1,1787317322.5565746,1787317322.5609858,1787317322.5615056,0.004411220550537109,0.004411220550537109,0.004930973052978516,source-first,0,1,16060522496,0,16060522496,host-to-device + helper-gpu-p2p,12.970543719824894,True,,,,,4,released-prototype,bursty,20,1
model_2,Qwen/Qwen2.5-1.5B-Instruct,1,0,1787317404.874254,1787317404.8784404,1787317404.8784404,0.004186391830444336,0.004186391830444336,0.004186391830444336,source-first,0,1,3554176000,0,3554176000,host-to-device + helper-gpu-p2p,7.658688904765444,True,,,,,5,released-prototype,bursty,20,1
model_3,meta-llama/Llama-3.2-3B,1,0,1787317816.7935538,1787317816.7987695,1787317816.7987695,0.005215644836425781,0.005215644836425781,0.005215644836425781,source-first,0,1,7213504512,0,7213504512,host-to-device + helper-gpu-p2p,8.662486816771171,True,,,,,0,released-prototype,bursty,20,2
model_5,meta-llama/Llama-3.1-8B,1,0,1787317847.3047252,1787317847.3093505,1787317847.3098247,0.0046253204345703125,0.0046253204345703125,0.00509953498840332,source-first,0,1,16060522496,0,16060522496,host-to-device + helper-gpu-p2p,4.891212267355289,True,,,,,1,released-prototype,bursty,20,2
model_1,meta-llama/Llama-3.2-1B,1,0,1787318145.6137946,1787318145.6193724,1787318145.6193724,0.005577802658081055,0.005577802658081055,0.005577802658081055,source-first,0,1,2996965376,0,2996965376,host-to-device + helper-gpu-p2p,3.8062884546100526,True,,,,,2,released-prototype,bursty,20,2
