exp_name	time_scale	replication	Mean E2E Latency (s)	P99 E2E Latency (s)	P95 E2E Latency (s)	Request Tput (req/s)	Output Token Tput (tok/s)	Input+Output token Tput (tok/s)	Mean TTFT (s)	P99 TTFT (s)	P95 TTFT (s)	Mean TPOT (ms)	P99 TPOT (ms)	P95 TPOT (ms)	Mean ITL (ms)	P99 ITL (ms)	P95 ITL (ms)	SLO Attainment	Median E2E Latency (ms)	Median TTFT (s)	Median TPOT (ms)	Median ITL (ms)	Average Attainment TTFT	Average Attainment TPOT
smoke_static	1	1	4.589211261303475	6.4285804362501935	6.2220406659413126	3.490037791471156	1301.3914669672006	2649.8693604709997	0.024096600214640298	0.03958752632141113	0.03273735046386718	12.231502578757233	13.126462182815873	13.029271679133853	12.250362729248954	30.56965827941896	13.364505767822262	0.0	4539.745721500367	0.023183345794677734	12.538444208924398	11.906862258911133	0	0
smoke_elastic	1	1	4.7296240579608515	6.595235778139904	6.3872910782229155	3.4864930792622135	1300.0696880933885	2647.1779786478232	0.02388432224591573	0.04672802925109862	0.03352197408676147	12.61112613672976	13.849358492458178	13.632704924763553	12.626771158802056	30.997486114501953	14.803028106689451	0.0	4649.2157028988	0.02339041233062744	12.786502208552726	12.007951736450195	0	0
smoke_prism	1	1	5.18224039846488	7.342664345214143	7.119882262777536	3.4632797796477752	1291.4137388334098	2629.5528940272343	0.03193489114443461	0.06094953298568725	0.041459000110626205	13.801635493284833	15.33843537605498	14.99949975094471	13.82048613793723	32.92223930358887	18.636226654052734	0.0	5078.951351344585	0.031063318252563477	14.203973063305865	13.186931610107422	0	0
