Real trace file: /workspace/prism-merge/exp/workloads/final-compare/steady_r4_s1.pkl
[PRISM_DIRECT] 1736 requests, span 419.8s
Starting TP benchmark: released-prototype_steady_rate4_seed1
Generated 1736 requests
Request model_1#7 arrives at 1602089.820098371, sleeping for 0.5865971960593015 seconds
Request model_3#12 arrives at 1602090.407563394, sleeping for 0.09590702666901052 seconds
Request model_6#15 arrives at 1602090.503904366, sleeping for 0.276720309862867 seconds
Request model_2#15 arrives at 1602090.781180954, sleeping for 0.12112359865568578 seconds
Request model_5#21 arrives at 1602090.903107718, sleeping for 0.14373125764541328 seconds
Request model_2#16 arrives at 1602091.048624418, sleeping for 0.11791476467624307 seconds
Request model_6#16 arrives at 1602091.167032216, sleeping for 0.010419226018711925 seconds
Request model_5#22 arrives at 1602091.17819568, sleeping for 0.48807758232578635 seconds
Request model_3#13 arrives at 1602091.666855012, sleeping for 0.5860711259301752 seconds
Request model_4#7 arrives at 1602092.254053322, sleeping for 0.022362630115821958 seconds
Request model_6#17 arrives at 1602092.276853294, sleeping for 0.09992188378237188 seconds
Request model_3#14 arrives at 1602092.377595858, sleeping for 0.1420181638095528 seconds
Request model_5#23 arrives at 1602092.521379386, sleeping for 0.28771799174137414 seconds
Request model_6#18 arrives at 1602092.809808848, sleeping for 0.14684800733812153 seconds
Request model_5#24 arrives at 1602092.957386114, sleeping for 0.044974323362112045 seconds
Request model_5#25 arrives at 1602093.003104417, sleeping for 0.007568331900984049 seconds
Request model_3#15 arrives at 1602093.011763661, sleeping for 0.2878477945923805 seconds
Request model_4#8 arrives at 1602093.300391845, sleeping for 0.5380758326500654 seconds
Request model_6#19 arrives at 1602093.839109152, sleeping for 0.374253295827657 seconds
Request model_5#26 arrives at 1602094.214222493, sleeping for 0.15112331858836114 seconds
Request model_3#16 arrives at 1602094.366499544, sleeping for 0.17395022488199174 seconds
Request model_5#27 arrives at 1602094.542378493, sleeping for 0.18560431920923293 seconds
Request model_3#17 arrives at 1602094.728509418, sleeping for 0.06309171975590289 seconds
Request model_2#17 arrives at 1602094.792265715, sleeping for 0.8086512582376599 seconds
Request model_3#18 arrives at 1602095.602073164, sleeping for 0.176550698466599 seconds
Request model_1#8 arrives at 1602095.78030857, sleeping for 0.25918682920746505 seconds
Request model_1#9 arrives at 1602096.040370629, sleeping for 0.26341649587266147 seconds
Request model_3#19 arrives at 1602096.304307538, sleeping for 0.03637754777446389 seconds
Request model_6#20 arrives at 1602096.342305542, sleeping for 0.15614281967282295 seconds
Request model_3#20 arrives at 1602096.498826935, sleeping for 0.1262417770922184 seconds
Request model_3#21 arrives at 1602096.625626175, sleeping for 0.275091327726841 seconds
Request model_1#10 arrives at 1602096.901219131, sleeping for 0.10589916142635047 seconds
Request model_2#18 arrives at 1602097.008163813, sleeping for 0.03506956994533539 seconds
Request model_1#11 arrives at 1602097.044468465, sleeping for 0.031316614244133234 seconds
Request model_3#22 arrives at 1602097.076394614, sleeping for 0.34709056629799306 seconds
Request model_5#28 arrives at 1602097.423968749, sleeping for 0.035147697664797306 seconds
Request model_3#23 arrives at 1602097.459886308, sleeping for 0.4559317911043763 seconds
Request model_5#29 arrives at 1602097.916931323, sleeping for 0.22734001046046615 seconds
Request model_3#24 arrives at 1602098.144823131, sleeping for 0.03951615979894996 seconds
Request model_6#21 arrives at 1602098.185039853, sleeping for 0.044000505935400724 seconds
Request model_5#30 arrives at 1602098.23013266, sleeping for 0.2994988183490932 seconds
Request model_4#9 arrives at 1602098.529862147, sleeping for 0.5496104729827493 seconds
Request model_2#19 arrives at 1602099.080518474, sleeping for 0.36354538379237056 seconds
Request model_5#31 arrives at 1602099.444711583, sleeping for 0.08565312717109919 seconds
Request model_1#12 arrives at 1602099.531044591, sleeping for 0.13797742780297995 seconds
Request model_5#32 arrives at 1602099.670087493, sleeping for 0.20645963749848306 seconds
Request model_3#25 arrives at 1602099.878006291, sleeping for 0.2701746413949877 seconds
Request model_3#26 arrives at 1602100.148909781, sleeping for 0.47843564325012267 seconds
Request model_3#27 arrives at 1602100.62771139, sleeping for 0.9238395711872727 seconds
Request model_5#33 arrives at 1602101.552225198, sleeping for 0.08082823688164353 seconds
Request model_2#20 arrives at 1602101.633277036, sleeping for 0.08556304057128727 seconds
Request model_4#10 arrives at 1602101.720893133, sleeping for 0.12141904002055526 seconds
Request model_3#28 arrives at 1602101.842645845, sleeping for 0.06507690739817917 seconds
Request model_3#29 arrives at 1602101.90871778, sleeping for 0.7824221642222255 seconds
Request model_3#30 arrives at 1602102.69198123, sleeping for 0.6527450245339423 seconds
Request model_5#34 arrives at 1602103.345854931, sleeping for 0.05491836089640856 seconds
Request model_2#21 arrives at 1602103.401296847, sleeping for 0.616417912999168 seconds
Request model_6#22 arrives at 1602104.018916266, sleeping for 0.06675984524190426 seconds
Request model_5#35 arrives at 1602104.087848292, sleeping for 0.23093168158084154 seconds
Request model_5#36 arrives at 1602104.319034305, sleeping for 0.2606924844440073 seconds
Request model_2#22 arrives at 1602104.580731146, sleeping for 0.22896225028671324 seconds
Request model_1#13 arrives at 1602104.810175536, sleeping for 0.20435514580458403 seconds
Request model_5#37 arrives at 1602105.015369794, sleeping for 0.2512161696795374 seconds
Request model_6#23 arrives at 1602105.266768478, sleeping for 0.1383780895266682 seconds
Request model_5#38 arrives at 1602105.405712639, sleeping for 0.0823142935987562 seconds
Request model_3#31 arrives at 1602105.48858374, sleeping for 0.2217886063735932 seconds
Request model_2#23 arrives at 1602105.711590782, sleeping for 0.26293550385162234 seconds
Request model_2#24 arrives at 1602105.975086406, sleeping for 0.574803247814998 seconds
Request model_3#32 arrives at 1602106.550881032, sleeping for 0.5623761198949069 seconds
Request model_5#39 arrives at 1602107.114747948, sleeping for 0.18273787293583155 seconds
Request model_3#33 arrives at 1602107.29790538, sleeping for 0.2847897552419454 seconds
Request model_5#40 arrives at 1602107.583647662, sleeping for 0.06179483700543642 seconds
Request model_3#34 arrives at 1602107.646502783, sleeping for 0.3826122274622321 seconds
Request model_5#41 arrives at 1602108.029843826, sleeping for 0.026669349055737257 seconds
Request model_6#24 arrives at 1602108.05841494, sleeping for 0.12493330403231084 seconds
Request model_3#35 arrives at 1602108.184225263, sleeping for 0.35588201810605824 seconds
Request model_6#25 arrives at 1602108.541490641, sleeping for 0.280302926665172 seconds
Request model_3#36 arrives at 1602108.823109971, sleeping for 0.2994555823970586 seconds
Request model_5#42 arrives at 1602109.123621253, sleeping for 0.06511333165690303 seconds
Request model_6#26 arrives at 1602109.189613028, sleeping for 0.11908422992564738 seconds
Request model_3#37 arrives at 1602109.309526737, sleeping for 0.0014828357379883528 seconds
Request model_3#38 arrives at 1602109.311341021, sleeping for 0.10845588380470872 seconds
Request model_5#43 arrives at 1602109.420094136, sleeping for 0.08417481044307351 seconds
Request model_2#25 arrives at 1602109.505108823, sleeping for 0.14374987431801856 seconds
Request model_6#27 arrives at 1602109.651025486, sleeping for 0.1241314101498574 seconds
Request model_3#39 arrives at 1602109.775846752, sleeping for 0.6070386399514973 seconds
Request model_6#28 arrives at 1602110.384925637, sleeping for 0.06663417839445174 seconds
Request model_3#40 arrives at 1602110.452219801, sleeping for 0.14531746576540172 seconds
Request model_5#44 arrives at 1602110.598111544, sleeping for 0.2655192099045962 seconds
Request model_6#29 arrives at 1602110.863944117, sleeping for 0.4078977662138641 seconds
Request model_2#26 arrives at 1602111.273154624, sleeping for 0.07788207614794374 seconds
Request model_6#30 arrives at 1602111.352174356, sleeping for 0.26499761128798127 seconds
Request model_2#27 arrives at 1602111.617721886, sleeping for 0.22573450533673167 seconds
Request model_5#45 arrives at 1602111.844123693, sleeping for 0.029009150806814432 seconds
Request model_6#31 arrives at 1602111.874115478, sleeping for 0.1479387665167451 seconds
Request model_6#32 arrives at 1602112.022217618, sleeping for 0.45633457275107503 seconds
Request model_2#28 arrives at 1602112.479043302, sleeping for 0.04788597673177719 seconds
Request model_2#29 arrives at 1602112.528072749, sleeping for 0.1916414713487029 seconds
Request model_4#11 arrives at 1602112.720081708, sleeping for 0.3016837015748024 seconds
Request model_3#41 arrives at 1602113.022416044, sleeping for 0.068480109795928 seconds
Request model_5#46 arrives at 1602113.09127492, sleeping for 0.6299472448881716 seconds
Request model_5#47 arrives at 1602113.722131928, sleeping for 0.10940713412128389 seconds
Request model_5#48 arrives at 1602113.832484445, sleeping for 0.16359403380192816 seconds
Request model_5#49 arrives at 1602113.996772397, sleeping for 0.016519788652658463 seconds
Request model_6#33 arrives at 1602114.014038456, sleeping for 0.041550940135493875 seconds
Request model_5#50 arrives at 1602114.056218862, sleeping for 0.15808025910519063 seconds
Request model_2#30 arrives at 1602114.215180313, sleeping for 0.8052065349183977 seconds
Request model_5#51 arrives at 1602115.021025303, sleeping for 0.023704821709543467 seconds
Request model_1#14 arrives at 1602115.045177344, sleeping for 0.30269293673336506 seconds
Request model_2#31 arrives at 1602115.349288854, sleeping for 0.05292067350819707 seconds
Request model_2#32 arrives at 1602115.403932193, sleeping for 0.10327107389457524 seconds
Request model_1#15 arrives at 1602115.509129051, sleeping for 0.6283856895752251 seconds
Request model_4#12 arrives at 1602116.13873583, sleeping for 0.05203747795894742 seconds
Request model_5#52 arrives at 1602116.190967121, sleeping for 0.07927122246474028 seconds
Request model_3#42 arrives at 1602116.270729179, sleeping for 0.03306119376793504 seconds
Request model_3#43 arrives at 1602116.304527533, sleeping for 0.06443186546675861 seconds
Request model_6#34 arrives at 1602116.369306718, sleeping for 0.1424639264587313 seconds
